year,on_PRON accompagne_VERB,on_PRON raccompagne_VERB
1800,4.4018301892378986e-08,0.0
1801,6.429192911383552e-08,0.0
1802,1.3874608839614666e-07,0.0
1803,7.02122129325744e-08,0.0
1804,6.673997354766925e-08,0.0
1805,7.675769708725966e-08,0.0
1806,9.509507847837995e-08,0.0
1807,1.1672516109229036e-07,0.0
1808,2.605985116588272e-07,0.0
1809,9.262025102430016e-08,0.0
1810,9.594519667643908e-08,0.0
1811,1.178326058948187e-07,0.0
1812,1.733685301985588e-07,0.0
1813,4.313612333994854e-08,0.0
1814,1.1957372869630944e-07,0.0
1815,8.091670444798638e-09,0.0
1816,3.7081662185300956e-08,0.0
1817,8.251429228778306e-08,0.0
1818,6.437435651207579e-08,0.0
1819,9.212434637362321e-08,0.0
1820,3.797273961936298e-08,0.0
1821,7.297501447567356e-08,0.0
1822,6.316138012607553e-08,0.0
1823,6.324919477052049e-08,0.0
1824,8.757957292715446e-08,0.0
1825,9.5979331149465e-08,1.7610886082763955e-09
1826,9.953022228614827e-08,0.0
1827,4.3321183085254233e-08,0.0
1828,7.888179176518406e-08,0.0
1829,6.858540690934944e-08,0.0
1830,8.349468494373014e-08,0.0
1831,4.833273781201797e-08,0.0
1832,9.606278261742318e-08,0.0
1833,8.803557616232638e-08,0.0
1834,7.841006244291293e-08,0.0
1835,8.092504089063368e-08,0.0
1836,7.661655043733617e-08,0.0
1837,3.409366566842209e-08,0.0
1838,4.860364644088122e-08,0.0
1839,7.480878316812323e-08,6.9914751765765e-10
1840,4.9683571923253567e-08,0.0
1841,4.6227949912491795e-08,0.0
1842,4.829950750462331e-08,0.0
1843,5.079943443675461e-08,5.906911071384968e-10
1844,5.0494764369801715e-08,0.0
1845,4.910600726049097e-08,0.0
1846,6.557041665189445e-08,0.0
1847,4.584240098637338e-08,5.393223645455691e-10
1848,7.964769821455775e-08,0.0
1849,4.608678128015242e-08,8.379414939696517e-10
1850,4.5486274302675156e-08,0.0
1851,4.901573547044791e-08,0.0
1852,2.864640014088593e-08,0.0
1853,8.062107781370287e-08,0.0
1854,4.728054836533602e-08,0.0
1855,4.82931277190346e-08,0.0
1856,4.7630142052668134e-08,0.0
1857,5.760180687985894e-08,4.881509085841174e-10
1858,4.7468658337379566e-08,0.0
1859,4.532034303394994e-08,0.0
1860,5.492620758218436e-08,0.0
1861,4.3386867432104737e-08,9.431927461278633e-10
1862,4.1565474839799776e-08,0.0
1863,4.0955890234783965e-08,0.0
1864,3.404256831984753e-08,0.0
1865,4.471502279557171e-08,0.0
1866,4.2330833505133114e-08,0.0
1867,3.2513836956127307e-08,0.0
1868,3.3591144088518377e-08,0.0
1869,3.857980157562224e-08,0.0
1870,3.956493488388446e-08,5.734048791339319e-10
1871,3.186353136896969e-08,0.0
1872,4.7169246286671296e-08,0.0
1873,3.172582374588728e-08,0.0
1874,4.002988296392118e-08,0.0
1875,3.947853866037576e-08,0.0
1876,8.82718174111119e-08,0.0
1877,6.061119872668996e-08,0.0
1878,4.16697121252696e-08,0.0
1879,3.1768492281258887e-08,0.0
1880,2.1178893083728667e-08,0.0
1881,3.207353516110345e-08,6.972507571312292e-10
1882,5.058092789056445e-08,0.0
1883,3.4756365452359717e-08,0.0
1884,3.762967271114803e-08,0.0
1885,2.2559724754955823e-08,0.0
1886,4.711028633863634e-08,0.0
1887,5.09256130598601e-08,0.0
1888,3.6775565259716814e-08,0.0
1889,3.4458251363389536e-08,0.0
1890,3.211649390877369e-08,6.554386478008212e-10
1891,4.143242904319777e-08,0.0
1892,4.5133288661958204e-08,0.0
1893,3.6334658393144537e-08,0.0
1894,4.285046761864919e-08,6.301539290376468e-10
1895,2.2268872967856623e-08,0.0
1896,2.7716036132829913e-08,0.0
1897,2.85508954256386e-08,0.0
1898,3.677930759948822e-08,0.0
1899,4.0351322283527224e-08,0.0
1900,3.4780055724326076e-08,1.5573159428683425e-09
1901,4.135666786808656e-08,0.0
1902,2.6515533324555918e-08,9.820567692386817e-10
1903,4.266173991851474e-08,5.400220270956879e-10
1904,2.8485513503540005e-08,0.0
