year,son_DET emplacement_NOUN,son_DET remplacement_NOUN
1800,1.7921737915926883e-07,4.433271798554017e-07
1801,2.2621234041508842e-07,6.905429685843956e-07
1802,4.072869046467531e-07,1.4187906174356613e-06
1803,1.170203560718619e-07,3.179052985302633e-07
1804,3.5100283035660595e-07,2.9415026925327936e-07
1805,3.496739715558306e-07,3.411453368684647e-07
1806,5.561621350125279e-07,5.071737927409004e-07
1807,2.476850973209821e-07,4.3558412698985194e-07
1808,4.124254715520692e-07,3.6483791632235807e-07
1809,5.828298910159901e-07,3.0948717721912544e-07
1810,3.48678884876108e-07,2.667744638529257e-07
1811,4.7885166765127e-07,4.3121721660099865e-07
1812,3.9741402702020423e-07,2.1871108213389334e-07
1813,4.975033078835622e-07,3.4221326927763585e-07
1814,3.9648132421632454e-07,1.793605939326426e-07
1815,3.2906127422904774e-07,2.643278946834471e-07
1816,2.1785476178592944e-07,3.453229719951878e-07
1817,2.0395042277243647e-07,2.444291233860696e-07
1818,3.2306389385894363e-07,4.1485696522514104e-07
1819,2.1840715458409932e-07,4.471653527460262e-07
1820,2.0410347190136235e-07,4.794058234836029e-07
1821,3.964318366911357e-07,4.3686393036423965e-07
1822,3.5691192579179187e-07,3.3786326980589365e-07
1823,7.135299924243554e-07,4.773337831665003e-07
1824,3.612657408780251e-07,5.507407880855908e-07
1825,4.6668846920283613e-07,5.036713162098749e-07
1826,4.1485606416813425e-07,4.016440868781501e-07
1827,2.6545747289219435e-07,5.226193818819169e-07
1828,3.751471275847962e-07,5.136488472889944e-07
1829,6.172686539684946e-07,6.30985782290594e-07
1830,3.705076707660737e-07,5.708949233351746e-07
1831,3.9445750310562744e-07,5.597243193378176e-07
1832,4.086050751084258e-07,7.07617385131698e-07
1833,4.3670280192031896e-07,6.231992006888731e-07
1834,5.470035375765292e-07,7.738326148754027e-07
1835,4.575668341999517e-07,5.702568302012878e-07
1836,3.898034997007471e-07,5.941143026433338e-07
1837,6.345596261780884e-07,7.264038242027482e-07
1838,5.453708098457355e-07,7.265298243019913e-07
1839,5.935762494857499e-07,9.270696210705864e-07
1840,4.3186489762092606e-07,7.739171739018502e-07
1841,4.770467576520332e-07,8.455862188228025e-07
1842,4.856783810680554e-07,7.479715371516704e-07
1843,6.231791012112353e-07,7.566753144061522e-07
1844,6.657624638251036e-07,7.832176720512507e-07
1845,5.998745251645232e-07,8.370341708641149e-07
1846,6.13551755179742e-07,7.195181996877409e-07
1847,4.832328279746889e-07,8.914998730347179e-07
1848,5.253529913318289e-07,8.56011616146013e-07
1849,4.441089913598262e-07,1.1236795294244928e-06
1850,4.901655170641561e-07,7.040188698681504e-07
1851,7.075034567094463e-07,7.868315279324634e-07
1852,7.285300327453115e-07,7.03138891111621e-07
1853,6.073454414945445e-07,7.936697414834271e-07
1854,5.133316420824485e-07,7.486952320334694e-07
1855,7.04230544101847e-07,7.530543939537893e-07
1856,5.027050633543695e-07,7.144521365631817e-07
1857,7.610272376723515e-07,5.662550455198812e-07
1858,5.074741906696545e-07,5.613046236696562e-07
1859,5.37733530592277e-07,6.838788921825767e-07
1860,5.080674121415996e-07,7.978031284494591e-07
1861,4.6310764645340896e-07,6.182628384809874e-07
1862,5.832720013643211e-07,7.13841807220561e-07
1863,6.288227751838349e-07,6.807668064823247e-07
1864,6.933176770473892e-07,6.477677576555152e-07
1865,6.335412550129149e-07,6.598995696549537e-07
1866,4.6466602299233273e-07,6.821589586536447e-07
1867,4.877075419074117e-07,5.488529701835887e-07
1868,4.816377323635379e-07,6.407016766019069e-07
1869,5.088627048621674e-07,7.315511689753862e-07
1870,5.527623159196082e-07,7.379720985412064e-07
1871,5.183134703656833e-07,9.920179122602235e-07
1872,4.807634788051018e-07,8.067150893964481e-07
1873,5.90818633128265e-07,8.440266134890351e-07
1874,5.418970445703053e-07,8.33457985294217e-07
1875,5.492666304007798e-07,9.42335523390625e-07
1876,6.160888830208933e-07,8.101660036174962e-07
1877,6.153891973781356e-07,6.772373417618383e-07
1878,6.226300470757451e-07,7.742111911568372e-07
1879,6.188746368707143e-07,7.22122235785605e-07
1880,5.64128708191447e-07,9.100506037640343e-07
1881,6.888837660312674e-07,8.645909375104566e-07
1882,6.788492683540426e-07,8.199434340383505e-07
1883,6.515238659687839e-07,7.741189982368724e-07
1884,6.562086731776162e-07,7.955044782903542e-07
1885,6.987069269825952e-07,8.650043312741218e-07
1886,6.924566591237635e-07,9.344615659045985e-07
1887,6.209007317181658e-07,8.663883228621216e-07
1888,6.841523472189692e-07,8.280842784813558e-07
1889,6.164894585936054e-07,8.934085045098072e-07
1890,7.714513046153115e-07,9.490751793350682e-07
1891,6.788544126834495e-07,9.9692806365681e-07
1892,6.437762216648935e-07,1.0299165733584914e-06
1893,7.119129534771673e-07,9.397743392369762e-07
1894,6.937994747602261e-07,1.0101367280412887e-06
1895,6.716773626180839e-07,1.0965916139582532e-06
1896,6.704922057565454e-07,1.1941483117894336e-06
1897,8.39046748524197e-07,1.1723347643766147e-06
1898,6.976751834031347e-07,1.0632049232128793e-06
1899,7.412482396773612e-07,1.4200348665838192e-06
1900,9.245265388813095e-07,1.1498183027924824e-06
1901,8.260156221240322e-07,1.0495651867614697e-06
1902,8.701022977675166e-07,1.1765039751310269e-06
1903,8.715955459592806e-07,1.107045148884822e-06
1904,9.921558046244172e-07,1.0120418814096865e-06
1905,8.664914687983583e-07,1.061568141835778e-06
1906,8.652518594942649e-07,9.640201525940029e-07
1907,9.267403484614078e-07,1.1530254742098123e-06
1908,8.953462398153533e-07,1.1247080689003042e-06
1909,8.554029449214795e-07,9.610218363320655e-07
1910,9.085056262847502e-07,1.0159230079409554e-06
1911,8.92226729831691e-07,9.991662315300687e-07
1912,9.085230630034857e-07,1.081475790698505e-06
1913,9.635532336460528e-07,1.0579464237991942e-06
1914,9.810729650894245e-07,1.0205837899235348e-06
1915,8.635298343051545e-07,1.0956108837945067e-06
1916,6.845188949000658e-07,1.096548700729727e-06
1917,8.104187543267471e-07,1.0231673490679327e-06
1918,7.960058852063412e-07,1.3450546276772002e-06
1919,8.213400803924742e-07,1.1390108429765178e-06
1920,8.609627499822636e-07,1.175210316617381e-06
1921,8.420895341032519e-07,1.1578730294559136e-06
1922,7.274644602262015e-07,1.0594715362799434e-06
1923,9.798519968740038e-07,9.34203413294199e-07
1924,8.211964868110044e-07,8.637388280163805e-07
1925,7.753715287606155e-07,9.227471302608592e-07
1926,9.162125778061636e-07,9.986940145978451e-07
1927,9.276155168436162e-07,1.014579460445475e-06
1928,1.0009212090267283e-06,1.0397698080311102e-06
1929,9.057150336388986e-07,1.0093208508976659e-06
1930,8.371371791326965e-07,1.3055979639631232e-06
1931,9.945470864636263e-07,1.0127956375782787e-06
1932,8.866265375218063e-07,1.0641709868863813e-06
1933,9.176530042509512e-07,1.0679186317474887e-06
1934,9.920748595959594e-07,9.69309809306651e-07
1935,1.0831296677338287e-06,9.395102864573346e-07
1936,9.275406398501218e-07,9.67552209019118e-07
1937,8.599733973824186e-07,1.0085486046307324e-06
1938,8.414424002012311e-07,8.686693426795955e-07
1939,9.727016134775113e-07,8.992901783244633e-07
1940,9.559901741340582e-07,9.382396655155389e-07
1941,1.077298492191403e-06,9.710443524824086e-07
1942,1.0468030708921106e-06,9.64879319553802e-07
1943,1.1032293443236085e-06,6.967764427656675e-07
1944,1.037859149732867e-06,9.221844479156971e-07
