year,aucun_DET enseignement_NOUN,aucun_DET renseignement_NOUN
1800,6.288328791015374e-08,3.961647352390685e-07
1801,1.4287095950749062e-08,3.69083307250051e-07
1802,2.2378401354217203e-09,5.415572843503469e-07
1803,7.801356893821776e-09,3.1985564419301227e-07
1804,0.0,6.278501132328529e-07
1805,2.842877711017877e-09,5.031893692830636e-07
1806,1.152667650217154e-08,5.187004443740761e-07
1807,2.8469551160981155e-09,5.722379796679888e-07
1808,1.8128591960930862e-08,6.911525929353957e-07
1809,0.0,6.664139959866588e-07
1810,7.020380277111826e-09,4.446240779998334e-07
1811,2.5070768572277302e-08,8.173070091821444e-07
1812,1.3336041604361526e-08,7.734903846312591e-07
1813,0.0,4.975033220944169e-07
1814,5.349351184236184e-08,6.010153583702049e-07
1815,2.4275012222574333e-08,8.873865406933135e-07
1816,1.3905623319487859e-08,4.5888558020124037e-07
1817,2.646684760243545e-08,5.698156890776573e-07
1818,3.337929754820834e-08,5.781770888724225e-07
1819,2.2772310259711048e-08,5.744832810572476e-07
1820,4.746592452420373e-09,8.116673342328795e-07
1821,2.2681422962023134e-08,5.571740757659427e-07
1822,2.2056354964661296e-08,5.985292688137633e-07
1823,6.028439258898288e-08,6.60163475885156e-07
1824,3.2842340402794434e-08,7.59584343867914e-07
1825,3.3460683113162304e-08,6.736163857823385e-07
1826,6.429828403042848e-08,9.019375881713643e-07
1827,3.594736597278825e-08,7.95450636914552e-07
1828,3.118582486694166e-08,7.420391860968323e-07
1829,3.1720752247110795e-08,6.747089287273411e-07
1830,6.053365098068753e-08,9.92543100153398e-07
1831,8.575163490398552e-08,8.13860978610137e-07
1832,5.276688197497492e-08,8.483290723226844e-07
1833,7.18184978154568e-08,8.270710516455893e-07
1834,9.147840351886316e-08,9.57722857464205e-07
1835,6.277362984974388e-08,8.894191552144548e-07
1836,1.2366179724665471e-07,9.12677866615752e-07
1837,1.1550099277002346e-07,1.0304635953417574e-06
1838,5.9334322344284374e-08,7.846017417989515e-07
1839,1.3913036323032202e-07,1.0032766635248436e-06
1840,8.599079714954883e-08,1.0357113549019914e-06
1841,1.0529699601136144e-07,9.849121234140057e-07
1842,7.513256861102491e-08,1.018985511969106e-06
1843,1.1754752737846985e-07,1.028393199931088e-06
1844,1.2623690492929995e-07,9.539119361079429e-07
1845,8.928364980675951e-08,8.984167010339661e-07
1846,1.077228235502048e-07,8.758333951419672e-07
1847,1.2404414917455142e-07,1.0667796601637747e-06
1848,1.1102405750307298e-07,1.0145024909036238e-06
1849,1.7010211994517022e-07,1.0147471840582512e-06
1850,1.1609183125926847e-07,1.0611200789156783e-06
1851,9.158203084780325e-08,1.0319102194955576e-06
1852,1.2044509389852465e-07,9.869987316335482e-07
1853,1.2541056171322396e-07,1.002090137092182e-06
1854,1.2729377713016632e-07,9.887349250448096e-07
1855,1.1091498564042013e-07,1.0454666323767015e-06
1856,1.7240040239840937e-07,1.1084362032676154e-06
1857,1.2008512628725043e-07,9.714202846566877e-07
1858,1.6344878228657933e-07,9.249047590031978e-07
1859,1.2272137306368336e-07,1.0281098106190711e-06
1860,9.383226773351794e-08,1.2674222134023694e-06
1861,1.2120026715578547e-07,1.150695183582684e-06
1862,9.081152563261696e-08,1.1642850328286158e-06
1863,1.318579858633484e-07,1.0603579969625798e-06
1864,1.3041659752133228e-07,1.150734746602211e-06
1865,1.5014834175985925e-07,1.257198183779451e-06
1866,8.952727847955089e-08,1.1682336413798566e-06
1867,1.44613778729763e-07,1.0588834769009736e-06
1868,1.4226837408148896e-07,1.3599473653869154e-06
1869,1.2697149553986264e-07,1.2726451323885613e-06
1870,1.347501514814553e-07,1.1164193196577799e-06
1871,1.4763436517739592e-07,1.4582876630697683e-06
1872,1.3183200264776929e-07,1.4586182572884354e-06
1873,1.1852289105718228e-07,1.669496590750441e-06
1874,8.842421772570219e-08,1.6842423029572728e-06
1875,1.0985331755364314e-07,1.6443669519361492e-06
1876,1.2092029688659522e-07,1.423836522462807e-06
1877,9.710161386067284e-08,1.5183722830158786e-06
1878,1.4131467906963735e-07,1.529097264807433e-06
1879,1.4356913702329166e-07,1.5169454226082735e-06
1880,9.883483520489733e-08,1.530656380310802e-06
1881,1.1853262682492982e-07,1.872815548864537e-06
1882,1.1913139630337355e-07,1.7896331101496799e-06
1883,1.2575484742427534e-07,1.7207559501741798e-06
1884,1.4127632130822576e-07,1.6675886271855234e-06
1885,9.346171880864063e-08,1.746767317456488e-06
1886,1.0777284953356059e-07,1.506238426429718e-06
1887,1.416776693741184e-07,1.5760824041421984e-06
1888,1.3188478220627076e-07,1.6517301055785083e-06
1889,1.6602612440408393e-07,1.7354429182603326e-06
1890,1.0749193890546849e-07,1.6877544979365666e-06
1891,1.172856496367558e-07,1.771395723437763e-06
1892,1.103258191470502e-07,1.7401390337568046e-06
1893,1.2378417602043612e-07,1.759459571815114e-06
