year,ton_DET art_NOUN,ton_DET rare_ADJ
1800,2.924072983745418e-07,1.2576657937302116e-08
1801,3.166972817325586e-07,9.524730337773235e-09
1802,1.2755688771903806e-07,8.951360541686881e-09
1803,2.2038833602522345e-07,0.0
1804,3.930243153149604e-07,0.0
1805,2.4448748425776046e-07,3.980028751016107e-08
1806,5.042921031872538e-07,2.881669125542885e-09
1807,1.6797034518845066e-07,2.8469551160981155e-09
1808,4.328201370640272e-07,0.0
1809,2.7560172810581207e-07,2.259030518203531e-09
1810,3.299578850146645e-07,0.0
1811,3.68540277406737e-07,0.0
1812,8.268345208506389e-08,2.6672082320544632e-09
1813,3.795978926746102e-07,0.0
1814,2.2341407124315538e-07,6.293354282149721e-09
1815,7.552225866902518e-08,2.697223555614414e-09
1816,7.879853569647821e-08,0.0
1817,2.0706415870819228e-07,6.227493631882908e-09
1818,1.5497531258290564e-07,1.1921177378582115e-09
1819,1.9977526655168276e-07,6.210630232317271e-09
1820,2.741157132390981e-07,1.1866481131050932e-09
1821,1.863821275094324e-07,2.9584463767662328e-09
1822,2.2156611123591574e-07,7.017931125119503e-09
1823,1.6009952830131624e-07,5.929612356680991e-09
1824,2.2905426000363605e-07,1.8526447931321854e-08
1825,2.3334424592569292e-07,2.641632912414593e-09
1826,1.770404884915422e-07,7.0463874735082754e-09
1827,1.1890282447524214e-07,2.7651818612639545e-09
1828,1.164882235116238e-07,1.1006761724274838e-08
1829,1.3888545602469549e-07,4.286587973467704e-09
1830,1.3463518122591722e-07,8.349468672008697e-09
1831,1.07579318786577e-07,3.1182412207897414e-09
1832,1.5965364452696917e-07,2.705993873419743e-09
1833,2.0039677350869312e-07,5.791814139399776e-09
1834,1.3721760616647316e-07,9.334531370086552e-09
1835,1.3084142125308063e-07,3.025235173481633e-09
1836,1.801161051417921e-07,6.72075017860152e-09
1837,1.287209822065094e-07,2.7831563720326358e-09
1838,1.6032891592132614e-07,6.943378316748294e-09
1839,9.088917840571753e-08,2.7965900706306e-09
1840,1.1656529996795228e-07,4.458782232319436e-09
1841,1.8619590314017387e-07,1.0272877659645019e-08
1842,1.093447177247242e-07,9.391571076378114e-09
1843,1.264079002583074e-07,5.31621990873532e-09
1844,1.1141779476808722e-07,5.488561272137815e-10
1845,1.2611314748056657e-07,1.2276501593078137e-08
1846,9.191566885391467e-08,3.5127007969038004e-09
1847,5.878613684728862e-08,3.235934187273415e-09
1848,4.746680815070903e-08,3.218088684420195e-09
1849,1.0139092232464009e-07,1.6758829879393033e-09
1850,1.3238541907156787e-07,1.0183494048021657e-08
1851,9.222697094912746e-08,3.8696632564949596e-09
1852,9.244974674693651e-08,2.6042181744401205e-09
1853,7.524634249023165e-08,2.9859659189668264e-09
1854,9.404152412351152e-08,4.1565315633818045e-09
1855,1.0348527368364557e-07,2.653468555990912e-09
1856,5.798452090699513e-08,2.0708756931497874e-09
1857,1.4742157805613942e-07,1.9526035899275485e-08
1858,1.0668213468179033e-07,2.936205500958522e-09
1859,1.2730433596175317e-07,2.036869339860914e-09
1860,9.291683156220643e-08,8.238931314963338e-09
1861,1.0799556859897308e-07,9.431927239234028e-09
1862,9.894390110010143e-08,9.035972525772706e-10
1863,1.0139080242055343e-07,1.9978483312144135e-09
1864,1.2274503613518561e-07,5.274200631788517e-09
1865,7.436814275507686e-08,9.413688495385486e-09
