year,on_PRON emballe_VERB,on_PRON remballe_VERB
1800,0.0,3.144164484325529e-09
1801,3.095537426389683e-08,2.3811825844433088e-09
1802,1.1189200677108602e-08,0.0
1803,3.315576613260873e-08,0.0
1804,3.213406252200457e-08,0.0
1805,4.8328921309348516e-08,0.0
1806,3.1698360380971735e-08,0.0
1807,4.27043254092041e-08,0.0
1808,4.078933280027286e-08,0.0
1809,3.6144488291256494e-08,0.0
1810,2.574139346123161e-08,0.0
1811,2.2563691359778204e-08,0.0
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,1.1502966579257645e-08,0.0
1814,1.2586708120210233e-08,0.0
1815,3.7761129112467984e-08,0.0
1816,9.270415546325239e-09,0.0
1817,2.335310045342709e-08,0.0
1818,1.549753059215675e-08,0.0
1819,3.9333990287104825e-08,0.0
1820,8.306536791735653e-09,2.3732962262101864e-09
1821,1.8736827200882544e-08,0.0
1822,1.1028177482330648e-08,1.0025615893027862e-09
1823,9.882687113105248e-09,9.882686891060644e-10
1824,1.8526447931321854e-08,4.210556348027694e-09
1825,1.3208164340028361e-08,0.0
1826,1.056958154332932e-08,0.0
1827,1.2904182611350734e-08,0.0
1828,4.5861507036448756e-08,0.0
1829,3.943660953353856e-08,0.0
1830,5.218417697960831e-09,0.0
1831,1.091384405071949e-08,0.0
1832,2.164795120940255e-08,0.0
1833,1.853380560135065e-08,0.0
1834,1.3068342852307069e-08,0.0
1835,9.832014313815307e-09,0.0
1836,1.9490174807401672e-08,0.0
1837,1.4611571286238245e-08,0.0
1838,6.312161904276081e-09,0.0
1839,2.0974425751774106e-08,0.0
1840,2.229391071750797e-08,0.0
1841,1.733548105065097e-08,0.0
1842,1.2074877098200432e-08,0.0
1843,1.476727762295127e-08,0.0
1844,2.5796238034558883e-08,0.0
1845,1.6740683339566687e-08,0.0
1846,7.025401593807601e-09,0.0
1847,2.1033571329098777e-08,0.0
1848,1.769948759777762e-08,0.0
1849,5.02764896381791e-09,8.379414939696517e-10
1850,1.2220192857625989e-08,0.0
1851,1.6768540334055615e-08,6.449438760824933e-10
1852,3.5156944022674e-08,0.0
1853,1.1943863675867306e-08,0.0
1854,1.1950028078189234e-08,0.0
1855,5.837630823180007e-09,0.0
1856,7.248065037046558e-09,0.0
1857,1.9526036010297787e-08,0.0
1858,1.1744822003834088e-08,0.0
1859,2.8516170758052795e-08,0.0
1860,5.401077007860522e-08,0.0
1861,2.357981898626349e-08,0.0
1862,1.0391368765461095e-08,0.0
1863,8.490855574194711e-09,0.0
1864,1.9178911792039344e-08,0.0
1865,2.2122168097382655e-08,0.0
1866,1.9949012219910855e-08,0.0
1867,9.220341823379385e-09,0.0
1868,1.432563534464748e-08,0.0
1869,1.5138909237322196e-08,0.0
1870,1.3188312220080434e-08,0.0
1871,1.0621177493064238e-08,0.0
1872,1.2094678591978436e-08,0.0
1873,2.095101514498765e-08,0.0
1874,2.0911131493051016e-08,0.0
1875,1.3159512146643237e-08,5.721527140956084e-10
1876,2.478866134580926e-08,0.0
1877,1.4843558382438005e-08,0.0
1878,1.0266450689577766e-08,0.0
1879,1.588424547449563e-08,0.0
1880,8.984984534166074e-09,1.2835692508872398e-09
1881,1.4642265844244662e-08,0.0
1882,1.1979692793318009e-08,0.0
1883,2.3381554747903266e-08,0.0
