year,bien_ADV empli_VERB,bien_ADV rempli_VERB
1800,0.0,3.898763907272951e-07
1801,0.0,5.691026103704644e-07
1802,0.0,4.1623826518844e-07
1803,0.0,3.6276310311222915e-07
1804,0.0,5.907724016651628e-07
1805,0.0,3.7810272601745964e-07
1806,0.0,4.812387714991928e-07
1807,0.0,4.270432611974684e-07
1808,0.0,4.2375583575449127e-07
1809,0.0,4.3599288801488e-07
1810,0.0,4.727056079900649e-07
1811,0.0,4.41245504134713e-07
1812,0.0,3.494042744023318e-07
1813,2.8757416448144113e-09,4.3423699480626965e-07
1814,0.0,4.908816322313214e-07
1815,0.0,2.508417935587204e-07
1816,0.0,3.4532297377154464e-07
1817,0.0,3.985595924405061e-07
1818,0.0,5.197633186071471e-07
1819,0.0,3.498655019029684e-07
1820,0.0,3.500611853723967e-07
1821,5.9168927535324656e-09,3.4909669466287596e-07
1822,0.0,4.3110148340019805e-07
1823,0.0,4.2199073391202546e-07
1824,0.0,4.968456437381974e-07
1825,3.522177216552791e-09,4.7197175945257186e-07
1826,0.0,3.320610062473861e-07
1827,0.0,4.1201209910468606e-07
1828,3.668920500743411e-09,4.228431009778433e-07
1829,0.0,4.1837100184238807e-07
1830,2.0873671680021744e-09,2.901440439018188e-07
1831,0.0,4.1472608813819534e-07
1832,0.0,2.692463851872162e-07
1833,0.0,4.3670280547303264e-07
1834,5.600718555598405e-09,3.528452623413614e-07
1835,5.294161553592858e-09,3.29750633909498e-07
1836,4.704525213838906e-09,3.629205025390547e-07
1837,0.0,3.492861253562296e-07
1838,0.0,3.604244511734578e-07
1839,2.7965900706306e-09,4.2158595192631765e-07
1840,0.0,3.9046190636327083e-07
1841,0.0,3.6725538166137994e-07
1842,0.0,3.9310432953243435e-07
1843,0.0,2.658109963249444e-07
1844,1.1525978393933656e-08,3.122991358850413e-07
1845,0.0,3.236532108985557e-07
1846,0.0,3.518555331538664e-07
1847,0.0,3.4246968994011695e-07
1848,0.0,3.845615879072284e-07
1849,0.0,3.44393953355393e-07
1850,0.0,3.808626729551179e-07
1851,0.0,3.2569664654147346e-07
1852,0.0,3.391994312096358e-07
1853,5.971931837933653e-10,3.6189908314554486e-07
1854,1.558699391779328e-09,3.055050683542504e-07
