year,bien_ADV allumer_VERB,bien_ADV rallumer_VERB
1800,3.144164484325529e-09,0.0
1801,1.6668277424969347e-08,2.3811825844433088e-09
1802,2.2378401354217203e-09,0.0
1803,7.801356893821776e-09,0.0
1804,9.887403784603066e-09,7.4155526164076946e-09
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,8.627225156487839e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,3.113746815941454e-09,0.0
1818,1.1921177378582115e-09,0.0
1819,1.035105001712111e-09,0.0
1820,1.3053129244156025e-08,0.0
1821,4.930744257336528e-09,0.0
1822,1.604098542884458e-08,0.0
1823,3.755420863171821e-08,0.0
1824,2.7789671008804362e-08,0.0
1825,6.163809906922779e-09,0.0
1826,5.284790383086602e-09,0.0
1827,3.6869092223668076e-09,4.608636583469661e-09
1828,1.7427371545863934e-08,6.420610709767516e-09
1829,1.628903412154159e-08,1.714635211591542e-09
1830,1.3567886369969528e-08,3.1310507520032616e-09
1831,3.1182412207897414e-09,0.0
1832,0.0,0.0
1833,6.950177322551099e-09,1.1583628500844156e-09
1834,8.401078055442213e-09,2.8003592777992026e-09
1835,2.2689263801112247e-09,0.0
1836,6.720750067579218e-10,0.0
1837,5.5663127440652715e-09,0.0
1838,2.398621568033832e-08,0.0
1839,2.0974425751774106e-08,0.0
1840,8.917564464638872e-09,0.0
1841,7.0626033910059505e-09,0.0
1842,1.341653010911159e-09,0.0
1843,2.3627644285539873e-09,0.0
1844,1.4270259640625227e-08,2.195424508855126e-09
1845,2.7901139176833567e-09,0.0
1846,1.9319854160926297e-08,0.0
1847,7.011190739092399e-09,0.0
1848,1.6090443422100975e-09,5.63165514222419e-09
1849,2.513824481908955e-09,0.0
1850,3.394498016007219e-09,0.0
1851,8.384270167027807e-09,0.0
1852,7.812654523320361e-09,0.0
