year,en_ADP ado_NOUN,en_ADP radeau_NOUN
1800,1.5720821977538435e-08,0.0
1801,1.904946067554647e-08,9.524730337773235e-09
1802,3.3567602031325805e-08,1.7902721083373763e-08
1803,2.7304748684287006e-08,0.0
1804,3.707776485839531e-08,2.7190360185613827e-08
1805,1.421438877713399e-08,0.0
1806,3.1698359492793315e-08,2.881669125542885e-09
1807,1.1387820464392462e-08,0.0
1808,2.7192887941396293e-08,9.064295980465431e-09
1809,4.51806094758922e-08,0.0
1810,1.6380886869171718e-08,4.680253518074551e-09
1811,7.521229861140455e-09,2.757784400841956e-08
1812,1.3336041604361526e-08,2.1337665856435706e-08
1813,0.0,5.7514832008109806e-08
1814,6.293354282149721e-09,4.72001566720337e-08
1815,8.091670666843243e-09,2.6972236000233352e-08
1816,9.270415546325239e-09,3.7081662185300956e-08
1817,4.670620334934483e-09,4.670620334934483e-09
1818,8.344824387052086e-09,0.0
1819,6.210630232317271e-09,5.175524897538253e-09
1820,4.746592452420373e-09,1.779972080839798e-08
1821,2.3667571014129862e-08,1.7750679148775816e-08
1822,5.012807946513931e-09,1.9048670196752937e-08
1823,3.9530747564242574e-09,7.906149512848515e-09
1824,5.894778887238772e-09,6.736890156844311e-09
1825,4.4027217427355936e-09,1.3208164340028361e-08
1826,5.2847906051312066e-09,5.284790383086602e-09
1827,2.7651819167751057e-09,9.217273055917019e-10
1828,1.8344602503717056e-09,1.1923991571904935e-08
1829,7.715858174606183e-09,1.3717081692732336e-08
1830,6.262101504006523e-09,1.1480519646056564e-08
1831,3.1182412207897414e-09,1.091384405071949e-08
1832,1.8941957335982806e-08,2.976593194148336e-08
1833,1.1583628500844156e-09,1.3900354645102198e-08
1834,1.0267983796552471e-08,1.6802156110884425e-08
1835,5.294161553592858e-09,8.31939672707449e-09
1836,1.008112526790228e-08,1.1425274948351216e-08
1837,5.5663127440652715e-09,2.365682938432201e-08
1838,2.5248647617104325e-09,5.680945491803868e-09
1839,4.194885327990505e-09,1.3982949909063791e-08
1840,3.821813254756279e-09,1.9746034141121527e-08
1841,1.0914932513372833e-08,2.0545755763379248e-08
1842,6.037438549100216e-09,1.9453969102301016e-08
1843,7.678984614845064e-09,2.9534556134080958e-08
1844,9.879410289848067e-09,4.390849017710252e-09
1845,1.0044410470033682e-08,1.897277535078956e-08
1846,7.025401815852206e-09,1.0538101946622191e-08
1847,5.3932236454556914e-09,2.480882876909618e-08
1848,4.02261068899179e-09,2.413566457803995e-09
1849,7.54147366777147e-09,2.513824481908955e-09
1850,2.0366988096043315e-09,2.7834882843080777e-08
1851,1.9348316282474798e-09,2.4507867735223954e-08
1852,3.906327261660181e-09,5.859490670445666e-09
1853,4.180352064508952e-09,2.6276499198729653e-08
1854,7.273930180407007e-09,9.871762074453727e-09
1855,7.960405667972736e-09,6.8990182455763716e-09
1856,7.248064703979651e-09,5.694908100650764e-09
1857,1.122747050885664e-08,1.0739319655783675e-08
1858,2.446837954472869e-09,1.1744822003834088e-08
1859,8.656694916453489e-09,3.3099126994784456e-08
1860,6.408057362516928e-09,2.654766717569146e-08
1861,4.244367357575385e-09,1.0846716413936974e-08
1862,1.536115412648087e-08,6.325180823552046e-09
1863,6.992469103739296e-09,7.491931519609807e-09
1864,4.794728170054441e-09,3.020678529530585e-08
1865,3.294791106611683e-09,1.694464046853028e-08
1866,4.3790516213171315e-09,1.897589108068587e-08
1867,7.279217228983725e-09,1.261730986357179e-08
1868,1.2843672791973404e-08,1.531360993567432e-08
1869,9.278686263769487e-09,9.767038733343725e-09
1870,8.027668307875047e-09,8.027668307875047e-09
1871,6.37270636261178e-09,1.5931766128574054e-08
1872,8.466274681317998e-09,6.652073114565837e-09
1873,1.0176207432266438e-08,1.3767810003173508e-08
1874,6.5720701658555924e-09,1.1351757756017378e-08
1875,8.010137775293913e-09,2.460256709468922e-08
1876,1.209202959984168e-08,1.6324239737741664e-08
1877,8.658742389755503e-09,1.6699003069220453e-08
1878,7.2469061862534545e-09,1.7513357875031943e-08
1879,4.887460214320072e-09,3.29903571127943e-08
1880,7.059630657835214e-09,1.9253539207397807e-08
1881,8.36700908557475e-09,2.649552932609822e-08
1882,3.3276925659464496e-09,3.793569547383413e-08
1883,1.2638677659992936e-08,6.129759100304e-08
1884,3.300848483434038e-09,2.5086448474098688e-08
1885,6.445635580831777e-09,3.0294486919046903e-08
1886,1.0325542088018835e-08,2.774989482645651e-08
1887,9.140494194870286e-09,4.178511647801031e-08
1888,8.242799331981132e-09,3.6775564593583e-08
1889,6.891650361495749e-09,3.4458253139746375e-08
1890,1.3108773011527575e-08,4.260351060825229e-08
1891,9.561329505913818e-09,1.976008279225283e-08
1892,6.8953636134239105e-09,3.00888589599424e-08
1893,9.237624942759481e-09,2.0938616174248637e-08
1894,8.192000855444803e-09,2.835692747282792e-08
1895,9.629783193076946e-09,3.009307292245467e-08
1896,8.845543852942228e-09,3.2433661090180976e-08
1897,8.15739897852552e-09,4.1952336715667116e-08
1898,9.619203433786083e-09,2.4330926606808134e-08
1899,6.633094074004475e-09,2.3215829259015663e-08
1900,4.15284251431558e-09,2.6474371139784125e-08
1901,5.029865079997364e-09,2.794369535763508e-08
1902,4.910284012726862e-09,4.615666782115113e-08
1903,3.2401321625741275e-09,4.968202516053566e-08
1904,5.912087708281888e-09,3.439760121182189e-08
1905,7.2250627702885595e-09,3.1996705729397945e-08
1906,2.0576738091193647e-09,2.0576738535282857e-08
1907,6.685696329888913e-09,1.7999951751335175e-08
1908,6.3848057951787496e-09,2.504808449543816e-08
1909,5.5009836685826485e-09,1.7603147384193107e-08
1910,8.550641084070776e-09,3.313373397872965e-08
1911,4.788336838146279e-09,2.3409645777405785e-08
1912,2.6047106693738442e-09,1.66701485393439e-08
1913,2.6514948014977335e-09,2.3333153853499766e-08
1914,1.004511551716547e-08,4.018046340092951e-08
1915,4.712304657594757e-09,5.183535367603298e-08
1916,1.0987462051303964e-08,2.4172416956957932e-08
1917,4.386569774084137e-09,2.1932848426331475e-08
1918,3.44591288836682e-09,2.5270027848023346e-08
1919,7.366278698128781e-09,4.4197673076951105e-08
1920,3.786115865267448e-09,1.741613253614105e-08
1921,6.058197943303867e-09,6.81547268621685e-09
1922,7.377935484775833e-10,2.8036154731125862e-08
1923,1.0615948120573648e-09,1.1677542488541803e-08
1924,1.289162443462999e-09,2.707241186783449e-08
1925,4.399271169575059e-09,2.3096173862313663e-08
1926,3.343841648018042e-09,2.6750733184144337e-08
