year,bon_ADJ enseignement_NOUN,bon_ADJ renseignement_NOUN
1800,2.2009151834367913e-08,0.0
1801,7.143547975374531e-09,0.0
1802,1.5664880947952042e-08,0.0
1803,0.0,0.0
1804,4.943701892301533e-09,0.0
1805,3.1271653710973624e-08,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469550272802735e-08,0.0
1808,5.211970233176544e-08,1.5862518409903714e-08
1809,1.8072244145628247e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,2.400487453257938e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.966945977789237e-08,0.0
1816,2.0858434979231788e-08,0.0
1817,1.556873407970727e-09,4.670620334934483e-09
1818,4.768470951432846e-09,1.1921177378582115e-09
1819,2.3807414706311647e-08,0.0
1820,4.390598107306687e-08,0.0
1821,2.2681422962023134e-08,1.1833785507064931e-08
1822,1.303330066093622e-08,0.0
1823,1.2847492847356534e-08,1.9765373782121287e-09
1824,5.052667617633233e-09,1.6842225392110777e-09
1825,3.0819052199149155e-08,0.0
1826,1.145037931138404e-08,0.0
1827,2.488663675137559e-08,5.530363722527909e-09
1828,3.118582370120748e-08,9.172301251858528e-10
1829,2.5719527840806222e-08,1.714635211591542e-09
1830,3.026682549034376e-08,2.0873671680021744e-09
1831,2.0268567268999504e-08,2.0268567268999504e-08
1832,3.7883913894809496e-08,0.0
1833,1.1583628278799551e-08,1.1583628500844156e-09
1834,1.120143711119681e-08,9.334530925997342e-10
1835,2.571449897459388e-08,0.0
1836,4.9061476659062464e-08,2.688300027031687e-09
1837,5.7054706625869755e-08,4.87052354003481e-09
1838,5.049729523420865e-08,0.0
1839,4.194885150354821e-08,4.894032734625853e-09
1840,2.93005673057678e-08,1.4013314952876499e-08
1841,3.78812359258518e-08,7.704658244733764e-09
1842,6.909512961783548e-08,0.0
1843,8.151537400635789e-08,4.7255288571079745e-09
1844,8.123070927013032e-08,6.586273748609983e-09
1845,6.584669165476953e-08,5.580227946389016e-10
1846,6.264316709803097e-08,1.7563503984519002e-09
1847,9.11454804963796e-08,0.0
1848,7.562508130831702e-08,0.0
1849,1.0893239732467919e-07,4.1897072478036534e-09
1850,1.7311940325726027e-07,0.0
1851,6.513933215046563e-08,2.579775504329973e-09
1852,6.119912399071836e-08,1.9531636308300904e-09
1853,5.2552998397459305e-08,5.3747388761848924e-09
1854,7.429800064073788e-08,2.5978321716024766e-09
1855,6.049907952387912e-08,6.8990182455763716e-09
1856,7.248065259091163e-08,1.0354378465748937e-09
1857,8.103305271234262e-08,1.4644527812635033e-09
1858,4.600055447667728e-08,0.0
1859,5.092173438470127e-08,1.5276520048956854e-09
1860,5.6757080812985805e-08,1.6935580049448618e-08
1861,5.8006353498285534e-08,6.13075279431996e-09
1862,6.23482137029896e-08,1.0843167252971853e-08
1863,7.841554605647616e-08,3.995696662428827e-09
1864,1.40485529542822e-07,5.274200631788517e-09
1865,7.201472090878624e-08,4.23615986733239e-09
1866,9.439289111456972e-08,1.9462451650298362e-09
1867,5.629261323747414e-08,5.338092634588065e-09
1868,7.607406360410351e-08,1.4819622196071691e-09
1869,6.495080384638641e-08,5.860222973552709e-09
1870,9.633201614178688e-08,1.0894693147633916e-08
1871,9.559059321873065e-08,7.434824311758348e-09
1872,1.5118348528631032e-07,7.861540751719076e-09
1873,9.817047441629256e-08,8.979006871356887e-09
1874,8.48394492436455e-08,7.766991494406739e-09
1875,9.097227859911072e-08,5.149374260327022e-09
1876,8.222580305528027e-08,1.3905833817773328e-08
1877,6.555904719096617e-08,1.1751150275074451e-08
1878,1.0809968553626703e-07,1.0266450800600069e-08
1879,1.0996785704264767e-07,2.443730107160036e-09
1880,9.755125995880576e-08,1.0268554007097919e-08
1881,8.715634436384789e-08,1.3945015142624584e-09
1882,1.0648616211028639e-07,1.1979693681496428e-08
1883,8.278333751832179e-08,4.423537092179686e-09
1884,1.0364664149165037e-07,1.650424152899177e-08
1885,1.0055191707047939e-07,5.80107206715752e-09
1886,6.388929563172496e-08,1.1616235084943582e-08
1887,7.573552807116357e-08,8.48760173255414e-09
1888,5.57974075832135e-08,1.3315291091942072e-08
1889,1.4597768682733658e-07,6.265136742733546e-10
1890,7.73417581645397e-08,2.6217545912032847e-09
1891,8.796423855983448e-08,5.099376032546843e-09
1892,6.26851246465776e-08,1.8805537127519756e-09
1893,3.87980243488073e-08,1.4780200174868696e-08
1894,8.318031774479095e-08,5.041231432301174e-09
1895,9.268666190109798e-08,7.824199066419624e-09
1896,7.784078093209246e-08,6.486732040400511e-09
1897,6.817254671886985e-08,9.905413378419325e-09
1898,7.072943519759178e-08,0.0
1899,7.683334324326552e-08,3.8693048765026106e-09
1900,8.098043180471137e-08,5.19105292084987e-09
1901,5.7005138442978165e-08,4.470991132876634e-09
1902,8.445687882385755e-08,4.910283846193408e-10
1903,7.074288532749051e-08,1.0800440541913758e-09
1904,4.6759240035498806e-08,3.2247751136083025e-09
1905,7.741138352557186e-08,9.28936660926638e-09
1906,6.121579421147771e-08,6.173021205313489e-09
1907,5.862841473414093e-08,5.65712765521198e-09
1908,6.630375537497457e-08,6.875944702500192e-09
1909,9.461691846679443e-08,3.300590023513905e-09
1910,8.497199521784182e-08,5.878565634276356e-09
1911,8.406191409626729e-08,9.044636151145369e-09
1912,6.772247651554153e-08,3.125652625612929e-09
1913,8.696903108784682e-08,3.181793939432964e-09
1914,4.3528835647066444e-08,6.696743715117748e-10
1915,1.4372529744122176e-07,7.068456930880984e-09
1916,5.933229640930904e-08,1.0987461607214755e-08
1917,1.0418103357778818e-07,1.0966424435210342e-09
1918,8.040463228553563e-08,2.2972752589112133e-09
1919,6.169258132127098e-08,5.524709134618888e-09
1920,5.6791737534922504e-08,1.1358347151713133e-08
1921,5.073740894090406e-08,1.5145494858259667e-09
1922,7.156597242596874e-08,1.4755870969551665e-09
1923,9.129715294875496e-08,9.554353752605493e-09
1924,6.316896117297688e-08,7.734974438733389e-09
1925,6.598906443500141e-08,4.399271169575059e-09
1926,4.6813780962828844e-08,2.229227691330493e-09
1927,6.13207333799437e-08,1.8953683067479687e-08
1928,3.8848538497227025e-08,3.4278122562625413e-09
1929,6.795647777835256e-08,6.684243825105796e-09
1930,3.676261128848779e-08,8.402882833991043e-09
1931,5.816731896146621e-08,1.0264820993199919e-08
1932,5.150982218538047e-08,2.1919073223131136e-09
1933,5.276504522200298e-08,2.2941324395731044e-09
1934,3.5944740517379614e-08,2.3963160344919743e-09
1935,3.8298510141032693e-08,4.787313656606784e-09
1936,4.001155806676593e-08,1.2124714565686645e-09
1937,5.5400921183945684e-08,6.295559185076627e-09
1938,4.019216370831913e-08,1.2965214457594243e-09
1939,3.976452944698394e-08,4.588215141154706e-09
1940,5.0715656563227185e-08,2.5357829169792012e-09
1941,3.246652724442356e-08,2.9515025978810172e-09
1942,4.247896612241675e-08,0.0
1943,3.193558750780312e-08,0.0
1944,5.7837350908584995e-08,0.0
1945,3.703456741277478e-08,2.178504043826024e-09
1946,3.480275978517966e-08,2.7842208538686464e-09
1947,3.457052599742383e-08,5.960435700558264e-09
1948,2.717971980814582e-08,1.0871887834440486e-09
1949,3.141442661558358e-08,2.945102384188658e-09
1950,3.403315673722318e-08,4.2541445921528975e-09
1951,3.0918066329377325e-08,2.1322803522849654e-09
1952,3.690681538159879e-08,1.0544803918932644e-09
1953,3.7708397404578875e-08,4.3095309543161875e-09
1954,4.0067398288101685e-08,1.9545072227344917e-09
1955,3.566531026066855e-08,2.815682353940474e-09
1956,3.662879421995058e-08,8.72114158667614e-10
1957,2.03205861026845e-08,0.0
1958,3.22617488279775e-08,2.4816730892496253e-09
1959,4.805463515999975e-08,2.325224457422337e-09
1960,4.567749822825817e-08,2.076250060767393e-09
1961,5.280601056423251e-08,4.16889545107324e-09
1962,4.1856910826254534e-08,6.976152100435229e-09
1963,4.978861056770256e-08,3.879631726988464e-09
1964,5.049693813097278e-08,1.2167936658258327e-09
1965,4.1587529864273165e-08,4.924839203113152e-09
1966,6.148373254966089e-08,7.754704434148607e-09
1967,4.831728833698534e-08,5.916402479044791e-09
1968,4.581244184009847e-08,7.186265360559219e-09
1969,3.951329219376021e-08,8.175163657142548e-09
1970,5.058597665752451e-08,6.898087434592526e-09
1971,3.699646100585596e-08,8.221435976452085e-09
1972,5.643161671287089e-08,1.5390440033513642e-09
1973,3.859242525550144e-08,4.9618833486420044e-09
1974,3.206575982517279e-08,3.937900228123681e-09
1975,3.712462159910501e-08,3.4268881066168433e-09
1976,3.5423868227635325e-08,4.570821499072508e-09
1977,4.231282951794313e-08,2.938390863960194e-09
1978,4.039602075067705e-08,2.3762365408686037e-09
1979,2.8674669416695053e-08,4.096381456264453e-09
1980,4.548120458025551e-08,3.97960553399912e-09
1981,4.870673248058566e-08,6.325549528618524e-10
1982,4.717701784784367e-08,3.7245013739806154e-09
1983,3.157657957331139e-08,3.78918940668882e-09
1984,4.9871474061546905e-08,5.219107812592938e-09
1985,3.789801539255677e-08,6.015557829641693e-09
