year,bien_ADV établir_VERB,bien_ADV etablir_VERB,bien_ADV rétablir_VERB
1800,2.7668647817336023e-07,0.0,6.288328968651058e-09
1801,3.6193975461173977e-07,0.0,4.0480102825313224e-08
1802,2.64065135979763e-07,0.0,1.1189200677108602e-08
1803,5.051378479947743e-07,0.0,6.241085515057421e-08
1804,3.707776556893805e-07,1.2359254952798437e-08,1.4831105232815389e-08
1805,4.264316544322355e-07,0.0,1.421438877713399e-08
1806,4.6394873720601026e-07,2.881669125542885e-09,5.187004603612877e-08
1807,3.1031811431603273e-07,0.0,1.4234775136401367e-08
1808,3.4444323659954534e-07,6.798221985349073e-09,2.039466551195801e-08
1809,2.7334269248058263e-07,2.259030518203531e-09,3.162642769893864e-08
1810,3.3931837606360205e-07,0.0,9.360507036149102e-09
1811,3.6603321973416314e-07,0.0,1.504245972228091e-08
1812,3.2273220540446346e-07,2.6672082320544632e-09,5.067695596494559e-08
1813,4.284854924208048e-07,0.0,1.7254450312975678e-08
1814,3.304010931515222e-07,0.0,3.4613449884091096e-08
1815,3.3985017466875433e-07,0.0,5.394447111228828e-09
1816,4.264391009201063e-07,0.0,1.3905623319487859e-08
1817,4.904151182927308e-07,0.0,5.60474440192138e-08
1818,4.4346779759507626e-07,1.1921177378582115e-09,5.2453181353939726e-08
1819,3.8816438063804526e-07,0.0,4.140419918030602e-08
1820,3.678609061807947e-07,1.1866481131050932e-09,3.441279616822612e-08
1821,4.299608917790465e-07,9.86148829262845e-10,1.3806083387635226e-08
1822,4.3811940031446284e-07,4.010246357211145e-09,1.5038423839541792e-08
1823,3.636828864728159e-07,0.0,1.7788837070042973e-08
1824,4.5895063749412657e-07,0.0,2.189489300974401e-08
1825,3.2492084756086115e-07,0.0,4.3146670236637874e-08
1826,3.7698171695410565e-07,1.7615968683770689e-09,4.844391554570393e-08
1827,4.147772756368795e-07,0.0,2.7651818612639545e-08
1828,4.4577384983313095e-07,1.8344602503717056e-09,3.3020285172824515e-08
1829,4.055112299283792e-07,1.714635211591542e-09,3.600733933240008e-08
1830,3.6737662867381005e-07,1.0436835840010872e-09,1.982998831806526e-08
1831,3.5547950005820894e-07,0.0,4.5214498811674275e-08
1832,4.924908694192709e-07,0.0,1.6235963684607668e-08
1833,5.154714699528995e-07,0.0,1.6217079235048004e-08
1834,4.247211506935855e-07,2.8003592777992026e-09,4.1071935186209885e-08
1835,3.9252427086466923e-07,7.563087933704082e-10,5.899208588289184e-08
1836,4.388649870179506e-07,6.720750067579218e-10,3.2259599436201825e-08
1837,4.077324149420747e-07,2.0873671680021744e-09,4.0355768504696243e-08
1838,3.6358051147544757e-07,1.2624323808552163e-09,2.840472923537618e-08
1839,5.173691874915676e-07,0.0,2.0974425751774106e-08
1840,3.5288076105643995e-07,1.2739377330817092e-09,4.458782143501594e-08
1841,6.292137300079048e-07,0.0,2.8892468861840825e-08
1842,5.01778231409844e-07,2.0124795163667386e-09,3.5553803456878086e-08
1843,5.558403586292116e-07,0.0,2.539971788451112e-08
1844,5.307438755153271e-07,0.0,2.5796238034558883e-08
1845,5.797857056677458e-07,0.0,2.17628883802945e-08
1846,5.391995614445477e-07,5.854501328173001e-10,2.985795788390533e-08
1847,4.6921044827286096e-07,1.6179670936367074e-09,2.9662729161827883e-08
1848,6.001735641802952e-07,0.0,2.654923214606697e-08
1849,5.92424612477771e-07,1.6758829879393033e-09,2.8490010350878947e-08
1850,6.150830245132966e-07,0.0,3.1229383523623255e-08
1851,5.494921992976742e-07,6.449438760824933e-10,2.3217978650791338e-08
1852,4.6680611376359593e-07,0.0,1.6927417689771573e-08
1853,5.828605367241835e-07,5.971931837933653e-10,1.7318601663873778e-08
1854,6.769950573470851e-07,0.0,2.8576154775805662e-08
1855,5.551056005970167e-07,1.0613874223963649e-09,8.491099379170919e-09
1856,6.171209747662942e-07,5.177189232874468e-10,1.7602443946884705e-08
1857,6.760890300938627e-07,4.881509085841174e-10,4.393358210563747e-08
1858,5.867517529623001e-07,9.787352039936081e-10,2.3489644007668176e-08
