year,on_PRON entre_VERB,on_PRON rentre_VERB
1800,2.3549792729227192e-06,2.263798393187244e-07
1801,2.1811632677781745e-06,2.1430643926123594e-07
1802,2.4034403622863465e-06,2.752543366568716e-07
1803,2.30725129313214e-06,2.3209036470461797e-07
1804,2.3630894929738133e-06,2.1257917737216303e-07
1805,3.2266661946778186e-06,3.2124519222520576e-07
1806,2.9565925387942116e-06,2.910485825680098e-07
1807,3.0946401352593966e-06,2.419911879769643e-07
1808,4.561606999686774e-06,3.7390221052646666e-07
1809,4.816253181161301e-06,7.793655498744556e-07
1810,2.5296770616023423e-06,2.9017572700240635e-07
1811,3.550020778675389e-06,3.033562769871878e-07
1812,2.4244923224614467e-06,2.613864023004453e-07
1813,2.3523566596850287e-06,2.4156229727623213e-07
1814,2.221554041170748e-06,1.3845379420729387e-07
1815,1.734314736268061e-06,1.9420009778059466e-07
1816,2.7556309305509785e-06,3.8703985438814925e-07
1817,2.378902536293026e-06,3.907752130771769e-07
1818,2.4819891564220598e-06,2.360393125400151e-07
1819,2.0981577790735173e-06,2.67057096436929e-07
1820,2.150206370288288e-06,2.9072877438807154e-07
1821,2.3460480633730185e-06,3.0965072284061534e-07
1822,2.8472749704633316e-06,4.2408353806422383e-07
1823,2.0407748593243014e-06,3.4095269896283753e-07
1824,1.951171867631274e-06,2.4589648717210366e-07
1825,1.9882690196482145e-06,3.037877753797602e-07
1826,2.9753371393326233e-06,3.2325302612434825e-07
1827,2.28772719879089e-06,2.6637919248173603e-07
1828,2.013320084870429e-06,3.6964372895909037e-07
1829,2.295896592841018e-06,3.13778230065509e-07
1830,2.647825340318377e-06,2.911877103883853e-07
1831,2.474324361401159e-06,5.690790416679192e-07
1832,2.3636856667508255e-06,4.1537006367775575e-07
1833,2.3526349082203524e-06,4.923042169480141e-07
1834,2.5819313123065513e-06,5.544711356719745e-07
1835,2.2810273492268607e-06,3.9025533737913065e-07
1836,2.179539251301321e-06,3.138590329854196e-07
1837,1.9015915597719868e-06,3.2910823577481096e-07
1838,2.3727416191832162e-06,4.071344328338e-07
1839,2.1820393669713667e-06,3.2440444996950646e-07
1840,2.0319306770488765e-06,3.4141531202180886e-07
1841,2.352488934320718e-06,3.7945441277997816e-07
1842,2.003758822866075e-06,3.5956300692419063e-07
1843,1.9711361858298915e-06,4.6723665292347505e-07
1844,1.7843312036802672e-06,4.1987492949147054e-07
1845,2.0658003450080287e-06,4.397219512952688e-07
1846,1.9794068748524296e-06,5.310032804572984e-07
1847,1.4799005612076144e-06,4.163568618764657e-07
1848,1.7627080524107441e-06,3.700802011508131e-07
1849,1.9716763404176163e-06,4.0137396695172356e-07
1850,1.9701666644778015e-06,3.6796359381696675e-07
1851,2.2714923488820205e-06,4.1856858956634824e-07
1852,1.8965219226174668e-06,4.498786765338991e-07
1853,2.2287250089902955e-06,4.0370259313249335e-07
1854,1.99565465663909e-06,4.6137499154497164e-07
1855,2.0739510375733516e-06,3.6193311814258777e-07
1856,2.108669207245839e-06,3.6085010179931487e-07
1857,1.951139182665429e-06,4.6032631217940434e-07
1858,2.2119415632460004e-06,3.601745461878636e-07
1859,1.960486770258285e-06,3.936249868274899e-07
1860,2.1572267314695637e-06,4.1698144315205354e-07
1861,1.804799325100248e-06,4.154764070563033e-07
1862,2.194837747993006e-06,4.138475517834195e-07
1863,1.8899645795045217e-06,4.2953740120310613e-07
1864,1.950974819919793e-06,3.6487877963509163e-07
1865,2.061127133856644e-06,4.5609321830397676e-07
1866,1.900508408425594e-06,4.330395455554026e-07
1867,2.060989061192231e-06,4.1540066320067126e-07
1868,1.8084879229718354e-06,3.7296050692248173e-07
1869,2.105773432958813e-06,4.5953914451501987e-07
1870,1.7293891403369344e-06,4.0654406063822535e-07
1871,1.8852589960260957e-06,4.630833387864186e-07
1872,1.6352005047792773e-06,3.9186758726827975e-07
1873,1.7119972710588627e-06,3.93280487287484e-07
1874,1.6334581403043558e-06,3.7460797841504245e-07
1875,1.9281546315141895e-06,3.65605600904928e-07
1876,1.968582438394151e-06,3.42809045150716e-07
1877,1.9587311896884785e-06,3.723259212051744e-07
1878,1.8316556236186443e-06,5.719017011074357e-07
1879,1.77353712160766e-06,3.5250806718067906e-07
1880,1.757206348429463e-06,3.606829679370094e-07
1881,2.0541007756946783e-06,4.120751881941942e-07
1882,1.868832157470024e-06,3.959954142374045e-07
1883,1.830712420769487e-06,3.7473678560218104e-07
1884,1.689374244051578e-06,4.1656706883941297e-07
1885,1.6384805974212213e-06,4.2154457702281434e-07
1886,1.7146853679150809e-06,4.2657397614220827e-07
1887,1.7934956133558444e-06,5.77809807111862e-07
1888,1.7030891399372194e-06,4.596945615276127e-07
1889,1.8939508379389736e-06,4.548489442868231e-07
1890,1.7644408103478781e-06,3.853979322343548e-07
1891,1.5489354439068848e-06,4.965517277355502e-07
1892,1.6780807072791504e-06,4.005579370414125e-07
1893,1.6824793931391469e-06,5.012950978766639e-07
1894,1.7070869660074095e-06,4.776566910891233e-07
1895,1.733360988964705e-06,4.291272261980339e-07
1896,1.66650039545857e-06,4.352007465513452e-07
1897,1.7043137177097378e-06,4.27098093780387e-07
1898,1.6154603486029373e-06,3.604371983101373e-07
1899,1.4161655741418144e-06,4.0959354663527847e-07
1900,1.6102646895888029e-06,3.5870178294317157e-07
1901,1.510077254351927e-06,3.548849178969249e-07
1902,1.3405074525962846e-06,3.8300213134334626e-07
1903,1.590364860248883e-06,3.8125554624457436e-07
1904,1.4307251774425822e-06,3.4021376649207014e-07
1905,1.7128559761658835e-06,3.400940187248125e-07
1906,1.445515806608455e-06,3.1070874939587156e-07
1907,1.5917099744910956e-06,3.481704951013853e-07
1908,1.6050419446855813e-06,3.8014150760545817e-07
1909,1.4572105726529117e-06,4.3512779512866473e-07
1910,1.6812698504509171e-06,3.6553989701815226e-07
1911,1.448737918963161e-06,4.4797550913244777e-07
1912,1.3966458141112525e-06,3.959160039812559e-07
1913,1.4805947046170331e-06,3.9083035119347187e-07
1914,1.55364455167728e-06,3.381855648854071e-07
1915,1.274678425033926e-06,3.381078812481064e-07
1916,1.4679248749871476e-06,3.1863640259643944e-07
1917,1.4749841170669242e-06,4.9787566069881e-07
1918,1.2945146181664313e-06,4.054690805332939e-07
1919,1.711739031406978e-06,3.572645184135581e-07
1920,1.4803713384026196e-06,3.3923598863339066e-07
1921,1.3017552475957928e-06,3.559191341651058e-07
1922,1.4195147741702385e-06,3.4971414919482413e-07
1923,1.5233885619636567e-06,3.418335268179362e-07
1924,1.6733328891405108e-06,4.524960175444903e-07
1925,1.5540425692961435e-06,3.4204333587695146e-07
1926,1.3464535868479288e-06,3.321549186807715e-07
1927,1.5419377916714438e-06,3.5566026923561367e-07
1928,1.302568676919691e-06,2.673693586530135e-07
1929,1.365813858456022e-06,2.8185227662902435e-07
1930,1.424288598173007e-06,2.678418979940034e-07
1931,1.3583779434611643e-06,3.136473125664452e-07
1932,1.2592507516728801e-06,2.882358103306615e-07
1933,1.2847141590555111e-06,2.420309712647395e-07
1934,1.3191720142913255e-06,3.2829530027811415e-07
1935,1.1728918423159485e-06,2.8604199542314745e-07
1936,1.1579102476844128e-06,2.946305599493826e-07
1937,1.1634193128884363e-06,3.399601808951047e-07
1938,1.1837240663226112e-06,2.502286342576099e-07
1939,1.0889363863952894e-06,2.844693369752349e-07
1940,1.0345993928240205e-06,2.3582780528386138e-07
1941,1.0832014680772772e-06,2.3021720352289776e-07
1942,1.2440268335467408e-06,3.7624226223442747e-07
1943,1.480649899576747e-06,3.774205836748479e-07
1944,1.2917008120894025e-06,2.891867509902113e-07
1945,1.2243192486494081e-06,3.42025145982916e-07
1946,1.3127601334872452e-06,3.9118305039664847e-07
1947,1.343482153970399e-06,3.254397782370688e-07
1948,1.3307190727118723e-06,2.7288439241601736e-07
1949,1.2614855791071022e-06,2.7880303576921506e-07
1950,1.3379284382608603e-06,2.7226525389778544e-07
1951,1.4094373170792096e-06,3.21974326311647e-07
1952,1.126185026123494e-06,2.8154626363630086e-07
1953,1.164650711871218e-06,2.73655210492052e-07
1954,1.294861078804388e-06,2.687447420157696e-07
1955,1.2886440003967436e-06,2.853224785326347e-07
1956,1.4084643282785692e-06,3.026236115033498e-07
1957,1.112331247554721e-06,2.544490840250546e-07
1958,1.2110564284739667e-06,2.1673277927902745e-07
1959,1.0618524584060651e-06,2.43373477815112e-07
1960,1.223603362632275e-06,3.017483365397311e-07
1961,1.206200437309235e-06,2.841797197561391e-07
1962,1.284246224031449e-06,2.40994339151257e-07
1963,1.2712260399894149e-06,2.9485202901469165e-07
1964,1.416347771510118e-06,2.8959689046814674e-07
1965,1.4063151070331514e-06,2.440531332581486e-07
1966,1.2939278519752406e-06,3.0243348447811513e-07
1967,1.4445883778080315e-06,3.1800664856973526e-07
