year,rien_PRON entré_VERB,rien_PRON rentré_VERB
1800,3.144164484325529e-09,0.0
1801,1.4287095950749062e-08,3.5717739876872656e-08
1802,2.2378401354217203e-09,1.5664880947952042e-08
1803,1.950339223455444e-09,0.0
1804,4.943701892301533e-09,0.0
1805,5.685755422035754e-09,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,3.042164919975221e-08,0.0
1811,2.5070767684098882e-09,1.7549536934780008e-08
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,0.0,1.2586708564299443e-08
1815,0.0,0.0
1816,3.0128852301913867e-08,0.0
1817,1.556873407970727e-09,6.227493631882908e-09
1818,1.4305412854298538e-08,0.0
1819,1.035105001712111e-09,0.0
1820,2.3732962262101864e-09,3.5599443393152796e-09
1821,9.86148829262845e-10,4.930744257336528e-09
1822,2.5064039732569654e-08,1.0025615893027862e-09
1823,1.8777104315859106e-08,1.9765373782121287e-09
1824,0.0,6.736890156844311e-09
1825,1.7610886082763955e-09,7.924898959288385e-09
1826,5.284790383086602e-09,0.0
1827,3.6869092223668076e-09,1.8434546111834038e-09
1828,2.7516904310687096e-09,9.172301251858528e-10
1829,1.714635211591542e-09,0.0
1830,4.174734336004349e-09,0.0
1831,0.0,1.5591206103948707e-09
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,0.0,0.0
1834,4.667265685043276e-09,9.334530925997342e-10
1835,7.563087933704082e-10,1.0588323107185715e-08
1836,6.72075017860152e-09,6.720750067579218e-10
1837,0.0,4.174734336004349e-09
1838,1.0730675015224733e-08,4.418513555037862e-09
1839,3.8453112694014635e-08,0.0
1840,5.732719632334238e-09,2.5478754661634184e-09
1841,1.5409316489467528e-08,3.852329122366882e-09
1842,2.0124795163667386e-09,0.0
1843,2.3627644285539873e-09,1.1813822142769936e-09
1844,3.841992946007622e-09,0.0
1845,3.9061593959388574e-09,0.0
1846,0.0,1.1709002656346001e-09
1847,1.0786447290911383e-09,2.6966118227278457e-09
1848,8.04522137798358e-09,8.045221711050488e-10
1849,0.0,0.0
1850,2.7155984128057753e-09,2.0366988096043315e-09
1851,6.449438760824933e-10,6.449438760824933e-10
1852,8.463708844885787e-09,0.0
1853,4.180352064508952e-09,0.0
1854,2.5978321716024766e-09,5.195664454227256e-10
1855,9.552486801567284e-09,0.0
1856,1.5531567143511893e-09,0.0
1857,5.857811125054013e-09,1.9526036343364694e-09
1858,6.361778659424999e-09,4.893676019968041e-10
1859,3.055304009791371e-09,1.171199848215565e-08
1860,2.288591982591015e-09,1.8308735638683515e-09
1861,9.431927239234028e-09,3.3011746669586728e-09
1862,8.584174260306554e-09,1.3102160245637151e-08
1863,3.496234635136375e-09,0.0
1864,1.4384183844029508e-09,1.4384183844029508e-09
1865,3.765475486972036e-09,9.41368871743009e-10
1866,1.4596839292835284e-09,4.865612801552288e-09
1867,6.308654931785895e-09,4.85281148598915e-10
1868,6.421836395986702e-09,5.9278488784286765e-09
1869,9.767038289254515e-10,4.883519144627257e-10
1870,1.7202146374017957e-09,0.0
1871,1.0621176826930423e-08,1.0621177271019633e-09
1872,7.861540751719076e-09,2.4189357183956872e-09
1873,1.1972009161809183e-08,0.0
1874,4.182226565063729e-09,0.0
1875,4.577221712764867e-09,0.0
1876,6.04601479992084e-10,0.0
1877,1.2369631985365004e-09,0.0
1878,1.2078177347163432e-09,6.039088673581716e-10
1879,7.94212251520321e-09,1.221865053580018e-09
1880,8.343199908722454e-09,0.0
1881,2.091752326904839e-09,0.0
1882,2.6621540527571597e-09,0.0
1883,2.5277355764075082e-09,0.0
1884,3.9610181801208455e-09,2.6406787867472303e-09
1885,4.511945039809007e-09,0.0
1886,9.680196200179125e-09,6.453463874400711e-10
1887,1.3057849024278312e-08,3.9173548849191775e-09
1888,5.07249175996094e-09,0.0
1889,1.3783300722991498e-08,0.0
1890,1.3108772733971819e-08,4.5880703680722945e-09
1891,5.736798147637501e-09,0.0
1892,5.014809900671935e-09,1.8805537127519756e-09
1893,1.1700991287000306e-08,1.2316833108982905e-09
1894,1.1342770278588432e-08,0.0
1895,0.0,0.0
1896,3.5382172747233653e-09,0.0
1897,7.574727511894253e-09,0.0
1898,3.3950129374460403e-09,0.0
1899,5.527578395003729e-10,0.0
1900,5.191053142894475e-10,0.0
1901,2.794369402536745e-09,0.0
1902,2.9461704187383475e-09,0.0
