year,un_DET ado_NOUN,un_DET radeau_NOUN
1800,3.144164484325529e-09,2.546773161249405e-07
1801,0.0,3.000290007548756e-07
1802,0.0,2.842056971985585e-07
1803,3.900678446910888e-09,1.2092102852356845e-07
1804,0.0,3.683057776537879e-07
1805,0.0,1.6772978028711805e-07
1806,0.0,2.881669205478943e-07
1807,0.0,2.8469549784304604e-07
1808,6.798221985349073e-09,2.039466551195801e-07
1809,0.0,2.349391774458809e-07
1810,9.360507036149102e-09,1.9891076874500868e-07
1811,0.0,1.8552368663549146e-07
1812,0.0,1.5203086567439072e-07
1813,0.0,2.501895199902293e-07
1814,6.293354282149721e-09,1.4160046646338742e-07
1815,0.0,2.3735567822313897e-07
1816,9.270415546325239e-09,2.897004947044479e-07
1817,0.0,1.8215418950973117e-07
1818,1.1921177378582115e-09,3.7074860625985195e-07
1819,0.0,1.4698490358178162e-07
1820,0.0,3.761674545188498e-07
1821,0.0,2.4357876937664e-07
1822,1.0025615893027862e-09,1.9349438673543773e-07
1823,1.9765373782121287e-09,2.7375041933286326e-07
1824,8.421112696055388e-10,3.494761706690497e-07
1825,2.641632912414593e-09,2.579994937690344e-07
1826,8.807984341885344e-10,2.9242508592375316e-07
1827,0.0,1.8803236745412732e-07
1828,1.8344602503717056e-09,1.8344602370490293e-07
1829,8.57317605795771e-10,2.4004892473783457e-07
1830,1.7742621594152297e-08,2.0664934563541237e-07
1831,1.5591206103948707e-09,2.5101841627517274e-07
1832,5.411987746839486e-09,2.81423363834854e-07
1833,0.0,4.865124054731496e-07
1834,9.334530925997342e-10,3.397769239299464e-07
1835,2.2689263801112247e-09,3.615156103364825e-07
1836,2.016224964762614e-09,1.949017520708196e-07
1837,6.957890930081589e-10,2.4491776029478274e-07
1838,1.2624323808552163e-09,2.0009552614830284e-07
1839,1.3982950353153e-09,2.929428015718827e-07
1840,3.1848443882154243e-09,3.0510808901595965e-07
1841,2.5682194149112547e-09,3.1845919323814087e-07
1842,4.024959032733477e-09,2.978469630932068e-07
1843,1.1813822142769936e-09,2.4927164155030823e-07
1844,0.0,2.1570045616314815e-07
1845,5.022205318283568e-09,1.9419192920366868e-07
1846,9.367202125076801e-09,1.7446414180000147e-07
1847,2.1572894581822766e-09,2.0709978265642803e-07
1848,6.43617736884039e-09,2.0756671581523278e-07
1849,4.1897072478036534e-09,1.9440242393642393e-07
1850,3.394498016007219e-09,2.5526624547467236e-07
1851,1.9348316282474798e-09,2.547528374918784e-07
1852,6.510545436100301e-09,2.0378007459243008e-07
1853,2.9859659189668264e-09,2.1439235275977353e-07
1854,1.0391328908454511e-09,1.6781995837433783e-07
1855,2.1227748447927297e-09,2.542022841112157e-07
1856,2.5885946719483854e-09,1.9673318485402547e-07
