year,en_PRON appelle_VERB,en_PRON rappelle_VERB
1800,7.13725341938698e-07,2.7354229814591235e-07
1801,6.000580015097512e-07,3.238408226025058e-07
1802,5.952654760221776e-07,3.6700578220916213e-07
1803,5.792507522528467e-07,3.5496174177751527e-07
1804,5.314479381013371e-07,3.9302429399867833e-07
1805,6.424903631341294e-07,3.809456075032358e-07
1806,7.492339477721544e-07,2.7087691023552907e-07
1807,6.377179602168326e-07,2.875424627291068e-07
1808,4.758755380862567e-07,3.9203081314553856e-07
1809,6.641549816777115e-07,2.5075237886085233e-07
1810,8.284048931272991e-07,3.01876355024433e-07
1811,3.785685862567334e-07,3.509907458010275e-07
1812,6.13457871168066e-07,3.7340916492212273e-07
1813,6.959294864827825e-07,3.4508900625951355e-07
1814,1.1422438319641515e-06,3.901879779277806e-07
1815,7.606170697727066e-07,2.508417935587204e-07
1816,6.860107646389224e-07,3.175117342379963e-07
1817,6.928086691004864e-07,3.5808088227895496e-07
1818,7.844134870538255e-07,2.8253191430849256e-07
1819,8.560318178751913e-07,2.7016241688215814e-07
1820,8.259070796157175e-07,2.278364377161779e-07
1821,8.096282044789405e-07,2.810524222240929e-07
1822,7.278597422555322e-07,2.90742860897808e-07
1823,7.846853122828179e-07,2.8758617531821073e-07
1824,7.637949011041201e-07,3.2589704801466723e-07
1825,6.357529969136522e-07,2.9762398412458424e-07
1826,6.826188041486603e-07,2.7304750460643845e-07
1827,9.005275956042169e-07,2.488663710664696e-07
1828,1.1951508440688485e-06,2.916791856932832e-07
1829,9.301896284341638e-07,2.4519283670088043e-07
1830,9.570578640705207e-07,2.546588007135142e-07
1831,9.027308465192618e-07,1.2940701310526492e-07
1832,9.958057489711791e-07,1.7724259748774784e-07
1833,8.81514154116303e-07,2.1313876175099722e-07
1834,8.177049153346161e-07,2.42697808516823e-07
1835,7.207622729765717e-07,2.011781390365286e-07
1836,9.745087936607888e-07,1.303825456488994e-07
1837,8.154648298841494e-07,2.0386620747103734e-07
1838,8.23737138944125e-07,1.925209431874464e-07
1839,8.991037248051725e-07,1.6010477565941983e-07
1840,1.1121476291009458e-06,1.9554944685751252e-07
1841,9.014449915412115e-07,1.8748001195945108e-07
1842,8.908576205612917e-07,1.831356399861761e-07
