year,on_PRON amènera_VERB,on_PRON ramènera_VERB
1800,2.7983062977909867e-07,6.288329146286742e-08
1801,4.7623651688866175e-09,2.3811825400343878e-08
1802,1.7902721083373763e-08,2.9091921760482364e-08
1803,1.3652374342143503e-08,7.801356893821776e-09
1804,1.9774807569206132e-08,1.2359254952798437e-08
1805,1.876299293712691e-07,9.381496468563455e-08
1806,5.76333825108577e-09,2.881669125542885e-08
1807,8.825561081948763e-08,6.263301344233696e-08
1808,2.2660739951163578e-09,1.1330369531492579e-08
1809,6.777091776655197e-08,4.292158095609011e-08
1810,3.7442028144596406e-08,2.8081521108447305e-08
1811,6.016984244183732e-08,4.262030373070047e-08
1812,9.068507855758412e-08,2.1337665856435706e-08
1813,2.8757416004054903e-08,4.026038391558018e-08
1814,1.510405027715933e-07,7.866692497415784e-08
1815,2.697223555614414e-09,4.8550024445148665e-08
1816,2.062667476820934e-07,6.489290882427667e-08
1817,5.60474440192138e-08,6.227493631882908e-09
1818,1.7881766067873173e-08,1.668964877410417e-08
1819,8.798392414632872e-08,5.90009836543004e-08
1820,7.71321291281879e-08,4.865257352548724e-08
1821,1.676453020849067e-08,7.297501269931672e-08
1822,2.90742860897808e-08,2.90742860897808e-08
1823,5.237824041159911e-08,3.4589403785645345e-08
1824,7.915845756656381e-08,4.6316120716483056e-08
1825,4.754939397777491e-08,3.6982861217893515e-08
1826,1.4092774947016551e-08,4.4920718256236114e-08
1827,5.899054755786892e-08,2.9495274445068276e-08
1828,3.944089588259203e-08,3.760643352279658e-08
1829,2.0575622650120806e-08,3.3435385571323195e-08
1830,3.339787468803479e-08,4.0703659998087005e-08
1831,7.327866669015748e-08,2.02685670469549e-08
1832,2.029495349553656e-08,1.4882966081763982e-08
1833,1.737544208513242e-08,5.3284692658195354e-08
1834,3.733812459216779e-08,2.9870498519102284e-08
1835,5.672315950278062e-08,4.235329242874286e-08
1836,7.594447382075487e-08,4.5029024398068884e-08
1837,7.723259010106176e-08,5.70547040723568e-08
1838,4.481635018649399e-08,4.16602670139099e-08
1839,7.760537723555672e-08,4.1249704096912865e-08
1840,1.3503740614595472e-07,8.917564109367504e-08
1841,9.82343930644447e-08,7.126808654334127e-08
1842,5.836190553054621e-08,4.8299509280980146e-08
1843,4.0757686559089734e-08,6.143187469831446e-08
1844,5.982531670056801e-08,8.177956134503006e-08
1845,4.8547984299318614e-08,5.5802278353667134e-08
1846,4.859236213405893e-08,7.669397117382459e-08
1847,8.143767704638094e-08,5.555020443637204e-08
1848,5.55120291956257e-08,3.7812542208470745e-08
1849,4.6924721885943654e-08,6.53594394162127e-08
1850,5.023857063690684e-08,5.70275675570997e-08
1851,7.158877046720136e-08,6.191461210391935e-08
1852,2.7344291275710475e-08,3.776116352938175e-08
1853,3.82203646509538e-08,3.5831592359869546e-08
1854,6.078927361485853e-08,8.416976626790529e-08
1855,4.776243400783642e-08,4.776243400783642e-08
1856,4.814785903306529e-08,3.6240324519098976e-08
1857,7.273448865419141e-08,4.6862488556342896e-08
1858,9.738414874504997e-08,4.6489920357828396e-08
1859,5.95784266366195e-08,7.078120844994373e-08
1860,5.4468489274484e-08,4.3940966421018857e-08
1861,5.847794959379371e-08,4.385846175125607e-08
1862,7.183598160764859e-08,4.789065521926261e-08
1863,4.395266284262789e-08,5.2942981554338076e-08
1864,4.698833233618416e-08,3.2124676474509783e-08
1865,5.742350106530125e-08,2.447559044327363e-08
1866,4.087114935380498e-08,5.6441108231553017e-08
1867,8.783588789640362e-08,5.774845845962773e-08
1868,5.77965266757019e-08,5.680855119649664e-08
1869,4.444002321690732e-08,5.07885999923019e-08
1870,4.759260363584872e-08,1.0206607115037514e-07
1871,6.478917913277371e-08,8.178306387662815e-08
1872,1.0824737461945233e-07,4.475030968009719e-08
1873,5.7465642910869974e-08,8.440266352494064e-08
1874,8.185214728229084e-08,6.153847387224687e-08
