year,bien_ADV apporté_VERB,bien_ADV rapporté_VERB
1800,1.5720821977538435e-08,9.432493897065797e-09
1801,9.524730337773235e-09,7.143547975374531e-09
1802,1.3427040812530322e-08,3.8043282302169246e-08
1803,0.0,9.751696339321825e-09
1804,7.4155526164076946e-09,1.730295728918918e-08
1805,2.842877711017877e-09,8.528632911009026e-09
1806,2.0171682990621775e-08,9.221341201737232e-08
1807,5.693910232196231e-09,5.693910232196231e-09
1808,6.798221985349073e-09,2.039466551195801e-08
1809,9.036122072814123e-09,2.710836710662079e-08
1810,4.680253518074551e-09,5.8503168531842675e-08
1811,0.0,2.757784400841956e-08
1812,0.0,5.3344164641089264e-09
1813,0.0,2.300593315851529e-08
1814,1.2586708564299443e-08,3.776012391654149e-08
1815,0.0,2.697223555614414e-09
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,1.2454987263765815e-08,7.472992535895173e-08
1818,2.384235386898581e-08,5.960588467246453e-09
1819,3.1053151161586356e-09,1.0351049795076506e-08
1820,9.493184904840746e-09,1.3053129244156025e-08
1821,0.0,3.94459531705138e-09
1822,9.023054303725075e-09,1.7043547018147365e-08
1823,2.569498569471307e-08,1.4824030003524058e-08
1824,2.0210670470532932e-08,2.6947560627377243e-08
1825,3.522177216552791e-09,2.905796137042671e-08
1826,5.284790383086602e-09,3.5231937367541377e-09
1827,4.608636583469661e-09,5.530363722527909e-09
1828,9.172301251858528e-10,2.4765213879618386e-08
1829,8.57317605795771e-10,9.430493719264632e-09
1830,2.0873671680021744e-09,2.7135772739939057e-08
1831,0.0,3.274153215215847e-08
1832,2.705993829010822e-08,2.976593194148336e-08
1833,3.243415847009601e-08,1.1583628278799551e-08
1834,2.8003592333902816e-08,7.467624740797874e-09
1835,2.647080776796429e-08,2.4201881387853064e-08
1836,2.6210924986003192e-08,1.8818100855355624e-08
1837,1.0436836284100082e-08,2.2961039292113128e-08
1838,2.209256599883247e-08,2.209256599883247e-08
1839,9.788065469251706e-09,2.027527834513876e-08
1840,7.0066574764382494e-09,1.52872523528913e-08
1841,6.420548537278137e-09,2.1829865914924085e-08
1842,7.379091560011375e-09,2.4149754196400863e-08
1843,1.4176587015413133e-08,1.5357969118667825e-08
1844,5.488561161115513e-09,1.5367971784030487e-08
1845,1.674068350610014e-08,1.9530798311961917e-08
1846,1.1123552745573306e-08,2.4003455223464698e-08
1847,1.941560512364049e-08,1.4561703842730367e-08
1848,2.574470947536156e-08,6.43617736884039e-09
1849,1.5920887719289567e-08,5.02764896381791e-09
1850,4.3449574604892405e-08,2.1045888587423178e-08
1851,2.902247508984601e-08,1.3543821175687754e-08
1852,2.018269107395554e-08,2.408901877970493e-08
1853,1.7318601663873778e-08,1.4929829816878737e-08
1854,1.506742641765868e-08,1.8184826089395756e-08
1855,4.776243400783642e-09,1.8043586180738203e-08
1856,1.346069211649592e-08,1.9155599773057475e-08
1857,1.3180074809326925e-08,1.8061584228235006e-08
1858,1.0276719919488642e-08,1.6149130033227266e-08
1859,1.9350258284589472e-08,1.629495471888731e-08
1860,1.2358396972445007e-08,7.323494255473406e-09
1861,1.4619487842537637e-08,7.545541969022906e-09
1862,1.490935552794781e-08,4.021007882215599e-08
1863,5.494082966350788e-09,1.7980635647063536e-08
1864,1.0068928801842958e-08,2.9727313943794798e-08
