year,mon_DET est_NOUN,mon_DET reste_NOUN
1800,6.602745328265769e-08,3.45858084394024e-08
1801,6.905429583703437e-08,2.0716288418043405e-07
1802,6.042168365638645e-08,5.147032311469957e-08
1803,6.241085559466342e-08,1.5602713787643552e-08
1804,1.4089550282037067e-07,2.22466585153569e-08
1805,4.5486043376286034e-08,2.842877755426798e-08
1806,5.763338339903612e-08,3.7461699520235925e-08
1807,4.270432629738252e-08,3.701041606518629e-08
1808,8.61108118144216e-08,3.172503504345059e-08
1809,8.584315880355575e-08,1.129515236897305e-08
1810,6.31834211617388e-08,5.3822915901946544e-08
1811,6.267691965433642e-08,6.769107141479935e-08
1812,3.7340916136940905e-08,5.3344164641089264e-09
1813,4.3136123117903935e-08,6.039057431905803e-08
1814,3.776012569289833e-08,6.608021863030444e-08
1815,3.506390644503199e-08,1.6183340889597275e-08
1816,6.489290882427667e-08,6.952811659743929e-09
1817,3.892183519926817e-08,6.383181005986671e-08
1818,6.079800596303642e-08,4.053200441944682e-08
1819,4.864993741193757e-08,1.7596785029105888e-08
1820,6.407900166038871e-08,3.203949905383752e-08
1821,6.804427021833703e-08,6.311352329646525e-08
1822,6.51665033046811e-08,6.115625694746996e-08
1823,9.685033175443891e-08,7.214361508189882e-08
1824,4.378978690766644e-08,7.326367956750346e-08
1825,5.283265802624726e-08,1.496925272626015e-08
1826,4.580151768962537e-08,1.4092774835994248e-08
1827,5.161672750331192e-08,1.566936447261469e-08
1828,6.60405687913368e-08,3.0268594741755805e-08
1829,3.515002122700395e-08,3.343538584887895e-08
1830,5.4271544591699694e-08,2.5048406016026092e-08
1831,5.301009964320258e-08,8.263339523750801e-08
1832,5.276687975452887e-08,7.306183302802083e-08
1833,9.730248295980459e-08,3.0117434435261714e-08
1834,7.280934211095769e-08,4.853956214745381e-08
1835,6.806779140333674e-08,7.260564416355919e-08
1836,6.653542383716626e-08,3.360375133709681e-08
1837,6.192523072101608e-08,4.0355768504696243e-08
1838,4.102905415415137e-08,1.7674053554017632e-08
1839,4.19488508374144e-08,1.957613005032499e-08
1840,5.2231447389416985e-08,2.8026630238819905e-08
1841,6.4205486705049e-08,1.2841096630467064e-08
1842,4.159124467051356e-08,1.1404050592744852e-08
1843,4.784597906759558e-08,2.9534554579768724e-08
1844,8.232841702815463e-08,1.756339523817374e-08
1845,7.644912392024139e-08,1.1160455670733427e-08
1846,7.786486966310235e-08,1.9319854160926297e-08
1847,4.314578916364553e-08,1.6718993300912643e-08
1848,3.378993074232284e-08,1.9308532439588078e-08
1849,5.195237329225222e-08,2.9327952955071623e-08
1850,6.177986300315297e-08,1.1541293254424545e-08
1851,4.8370791150276204e-08,1.6768540334055615e-08
1852,5.013119941388311e-08,1.5625309046640723e-08
1853,4.598387315368768e-08,1.911018099320927e-08
1854,5.559360954920933e-08,2.701745605016015e-08
1855,4.2455496895854594e-08,3.555647865027822e-08
1856,6.264398816346883e-08,1.9155599773057475e-08
