year,mon_DET établissement_NOUN,mon_DET etablissement_NOUN,mon_DET rétablissement_NOUN
1800,3.2384893566828055e-07,0.0,9.432493630612271e-08
1801,2.4764298700574727e-07,0.0,6.429193177837078e-08
1802,2.439245747609675e-07,0.0,6.937304419807333e-08
1803,9.361627917314763e-08,0.0,8.386458461018265e-08
1804,2.026917798048089e-07,4.943701892301533e-09,8.404293083685843e-08
1805,4.26431649103165e-07,0.0,6.254331075261632e-08
1806,1.9019016406218725e-07,0.0,2.881669125542885e-08
1807,1.8789903322158352e-07,0.0,3.4163463169534225e-08
1808,6.798222074166915e-08,0.0,7.251436784372345e-08
1809,1.490960122030316e-07,0.0,3.162642769893864e-08
1810,2.106114038724627e-07,0.0,2.0125089861267043e-07
1811,2.03073220461647e-07,0.0,0.0
1812,2.8805849439095255e-07,0.0,5.3344166417446104e-08
1813,1.0640243885973177e-07,2.8757416448144113e-09,4.026038169513413e-08
1814,3.115210223114673e-07,0.0,1.1642705288750221e-07
1815,1.1058616422587875e-07,2.697223555614414e-09,5.9338919333740137e-08
1816,5.237785067890854e-07,9.270415546325239e-09,4.8669683394564345e-08
1817,2.662253582030871e-07,3.113746815941454e-09,2.5221348209925054e-07
1818,3.373693129304911e-07,2.384235475716423e-09,9.06009489654025e-08
1819,1.4077427801240106e-07,0.0,5.693077653745604e-08
1820,2.551293381003461e-07,0.0,8.899861114741725e-08
1821,1.844098294068175e-07,2.9584464877885353e-09,6.508582117703554e-08
1822,1.6040985428844579e-07,2.0051231786055723e-09,9.42407893944619e-08
1823,3.1229291996837105e-07,1.9765373782121287e-09,7.609668595254249e-08
1824,3.5284461130657974e-07,1.6842225392110777e-09,1.2379035752019263e-07
1825,4.068114662914013e-07,8.805443041381977e-10,1.3912600138610287e-07
1826,3.311802192484947e-07,0.0,9.600702810530493e-08
1827,1.6222400905929746e-07,1.8434546111834038e-09,6.359918103271411e-08
1828,2.38479827885385e-07,0.0,5.228211819030548e-08
1829,3.4807094984046216e-07,0.0,4.2865881511033876e-08
1830,2.223046098315251e-07,3.1310507520032616e-09,8.140731755368336e-08
1831,2.1983601072861347e-07,0.0,9.510635834431014e-08
1832,2.394804634597847e-07,0.0,9.065079176195923e-08
1833,2.953825308793512e-07,0.0,1.1236119945579048e-07
1834,1.4095141076531092e-07,9.334530925997342e-10,5.0406467888564066e-08
1835,2.5411975457245717e-07,1.5126175867408165e-09,1.1117739262545001e-07
1836,2.0632703279233056e-07,0.0,6.653542783396915e-08
1837,2.0873673101107215e-07,1.3915781860163179e-09,5.148839221646995e-08
1838,2.9351551766865214e-07,6.312161904276081e-10,4.102905393210676e-08
1839,2.698709331561133e-07,6.9914751765765e-10,7.480878516652467e-08
1840,2.223021380309831e-07,0.0,5.987507023519356e-08
1841,1.617978164780709e-07,0.0,2.8892469305930035e-08
1842,1.0464893840378409e-07,6.708265054555795e-10,3.4882980060046975e-08
