year,un_DET envoi_NOUN,un_DET renvoi_NOUN
1800,1.9179402954705438e-07,3.049839536473087e-07
1801,3.7860801893607743e-07,1.6192040885876224e-07
1802,6.556871596785641e-07,3.20011139365306e-07
1803,2.5744476661593296e-07,1.5992781499107878e-07
1804,1.9527622963089186e-07,1.1370514263475684e-07
1805,2.75759134638065e-07,2.8997353052062635e-07
1806,2.2188851911408847e-07,2.679952331163804e-07
1807,3.188589801084163e-07,3.9572675314403227e-07
1808,1.9714843801921234e-07,3.0818607577032253e-07
1809,1.5361407790237536e-07,3.411136049180641e-07
1810,1.4742798271072388e-07,3.0421648178347027e-07
1811,3.2341290090442953e-07,4.287101376121427e-07
1812,2.3204711396829225e-07,4.45423786743504e-07
1813,2.645682333213273e-07,2.674439656402683e-07
1814,1.6362720600682223e-07,1.9824065589091333e-07
1815,1.2676950689183286e-07,2.1308066777692147e-07
1816,1.877259148130861e-07,2.7579485717410535e-07
1817,3.3005716382206174e-07,2.0706415693183544e-07
1818,2.145811892617644e-07,1.871624846216946e-07
1819,3.198474409771279e-07,2.784432595603903e-07
1820,2.824222615771532e-07,2.017301730106169e-07
1821,2.633017448516739e-07,2.928861988493736e-07
1822,2.82722353972531e-07,3.839810744921124e-07
1823,2.6979734180088144e-07,2.2334872407103745e-07
1824,2.829493990219589e-07,2.1389626780887738e-07
1825,2.9146017865855356e-07,2.456718499743715e-07
1826,1.7704048160815944e-07,3.162066306572342e-07
1827,3.161524708694685e-07,4.313683792389611e-07
1828,2.7516902401103494e-07,4.05415723436775e-07
1829,2.751989374161212e-07,3.755051212195326e-07
1830,2.1708619191151968e-07,3.8929397461195947e-07
1831,4.53704089409257e-07,5.207462976386523e-07
1832,3.287782432970232e-07,5.222568120188953e-07
1833,3.347668631192846e-07,4.552365897581012e-07
1834,2.6790104024065897e-07,4.107193594116154e-07
1835,4.000873659038007e-07,3.138681350378647e-07
1836,2.775669818433357e-07,3.9047557187643633e-07
1837,3.833797919128301e-07,4.000787292568475e-07
1838,3.09927140840216e-07,3.288636465370587e-07
1839,3.901243226245299e-07,4.383654985673502e-07
1840,4.1530369010445156e-07,4.0829703484845936e-07
1841,4.1348332224799833e-07,4.796149593033761e-07
1842,4.548203822452024e-07,4.6152863220072504e-07
1843,4.140744742642255e-07,3.8926544476680647e-07
1844,2.74976928338333e-07,3.99567254394384e-07
1845,3.8838385707506973e-07,4.5981078411472254e-07
1846,4.0630240505379334e-07,4.66018293288073e-07
1847,4.433229872091715e-07,5.522660799783807e-07
1848,3.652530682352051e-07,4.593821643084084e-07
1849,5.790175805486797e-07,7.122502490020111e-07
1850,4.2159664559449084e-07,4.935600106392712e-07
1851,4.0566969250477314e-07,5.0563598463782e-07
1852,4.459723612626476e-07,3.9453906719444376e-07
1853,4.36548216242727e-07,3.2009553674328117e-07
1854,4.270836093667185e-07,4.899511418798852e-07
1855,4.118183269952169e-07,3.035568134635014e-07
1856,6.585384699775432e-07,3.9657268580128857e-07
1857,5.120702937233546e-07,4.778997348964253e-07
1858,5.050273603757205e-07,4.326009515054352e-07
1859,4.893578520182018e-07,3.936250121405749e-07
1860,6.165466643892614e-07,5.497197816950461e-07
1861,8.375551470152232e-07,4.216071722851211e-07
1862,5.746878395385124e-07,7.201670380041492e-07
1863,4.6300135458920977e-07,5.244351957145454e-07
1864,4.794727992418757e-07,4.329639349265335e-07
1865,5.45993923850574e-07,4.6174142465105206e-07
1866,5.308383510538306e-07,5.838735557261998e-07
1867,6.561000844840237e-07,5.440001746848111e-07
1868,5.784592440605252e-07,5.241206153527855e-07
1869,5.069092701148747e-07,6.26555504368298e-07
1870,5.602165762397249e-07,4.942750022607356e-07
1871,6.447054516911521e-07,6.818795839080849e-07
1872,5.744972337851095e-07,5.744972426668937e-07
1873,6.524744868841026e-07,5.722620493031627e-07
1874,6.404780990010295e-07,6.900673454879325e-07
1875,8.788265795089956e-07,7.609631005323081e-07
1876,7.509150528051123e-07,5.006100152193937e-07
1877,7.112538611409036e-07,5.368420232798599e-07
1878,8.720443993581739e-07,4.0280722135577207e-07
1879,6.555306129030214e-07,4.820257579751797e-07
1880,6.443517452936476e-07,7.425448060871531e-07
1881,6.595992338986889e-07,6.031219061952697e-07
1882,6.688662264053846e-07,6.109643670981768e-07
1883,7.033424171964953e-07,6.186633108029582e-07
1884,8.357748342291416e-07,5.353976035848973e-07
1885,8.785401277577876e-07,5.394997124597012e-07
1886,8.182991919625238e-07,5.730675987081213e-07
1887,7.952229976737613e-07,5.673635623537621e-07
1888,7.247322333370221e-07,5.567059560007692e-07
1889,7.067074285771469e-07,5.175003083834895e-07
1890,7.478555019702071e-07,6.187340861885104e-07
1891,7.215617170430733e-07,6.431588275290778e-07
1892,1.065647055042973e-06,5.854790821047118e-07
1893,7.698020585422682e-07,8.215327529370597e-07
1894,9.395595270689228e-07,6.295237815479027e-07
1895,9.130238325383289e-07,5.970465810634096e-07
1896,7.38308035153068e-07,6.83465664508276e-07
1897,8.104958784116434e-07,7.679608478028399e-07
1898,8.65728289056733e-07,7.565220396799077e-07
1899,8.302422571659918e-07,7.16926903621129e-07
1900,7.833299413562145e-07,7.71909613561661e-07
1901,7.522442349028324e-07,6.11966891383986e-07
1902,8.475150110598406e-07,1.055710999509074e-06
1903,8.759157097415482e-07,7.403702149133551e-07
1904,8.029690299338199e-07,6.815024597983665e-07
1905,8.334625718475763e-07,7.957890488796693e-07
1906,8.842853382873272e-07,6.641142018537494e-07
1907,8.989690094551861e-07,7.343980357177315e-07
1908,8.688247419286199e-07,7.160805495232125e-07
1909,8.774068618322417e-07,7.39332174148899e-07
1910,8.609426842554058e-07,6.893954118680767e-07
1911,6.671748877806749e-07,6.639827194732106e-07
1912,7.194210454031236e-07,6.688896743156647e-07
1913,6.28404301039609e-07,7.742364793728029e-07
1914,6.757014290315055e-07,6.395390137470258e-07
1915,1.0166797324018262e-06,8.09338323470854e-07
1916,8.317508530808482e-07,8.43837080211074e-07
1917,9.189863519054597e-07,7.347504222821044e-07
1918,9.981660724633912e-07,6.501289266935828e-07
1919,4.93540678547788e-07,6.657274651544753e-07
1920,7.360209259843487e-07,6.822580917997811e-07
1921,8.186139925925318e-07,7.231973722099383e-07
1922,7.127085410729705e-07,5.275224026490832e-07
1923,6.412032789171462e-07,5.860003540192338e-07
1924,7.025935317983567e-07,6.200871425221521e-07
1925,1.1878031607182038e-06,5.796039648231499e-07
1926,9.485363960948234e-07,6.85487506757454e-07
1927,6.377356616127372e-07,8.038591019499108e-07
1928,8.432418496795435e-07,7.644021735586648e-07
1929,7.686880465485046e-07,5.770730240328703e-07
1930,8.266336060103185e-07,7.688637584379876e-07
1931,9.272555203665434e-07,6.284351741214778e-07
