year,mon_DET aide_NOUN
1800,6.980045057503048e-07
1801,4.47662332092591e-07
1802,3.1553545909446257e-07
1803,2.710971429564779e-07
1804,5.907723519271713e-07
1805,5.316181539427589e-07
1806,4.5818539184949714e-07
1807,3.359406925973474e-07
1808,2.379377761485557e-07
1809,6.754501171712946e-07
1810,2.620941947917288e-07
1811,3.0335629741529146e-07
1812,2.960601168666699e-07
1813,2.6169247746565816e-07
1814,5.915753109597688e-07
1815,6.284530940092736e-07
1816,4.1485110102712497e-07
1817,4.701757632119552e-07
1818,3.850540384320311e-07
1819,8.81909443251061e-07
1820,6.443499085406756e-07
1821,6.85373436226655e-07
1822,6.897623592294622e-07
1823,5.840667824941193e-07
1824,6.214781294033855e-07
1825,7.097186980331571e-07
1826,4.985319090877738e-07
1827,6.618001791025563e-07
1828,4.70539067265463e-07
1829,6.549906217401258e-07
1830,5.688075255250169e-07
1831,5.940249323543867e-07
1832,4.776079229884544e-07
1833,5.699145475546175e-07
1834,6.300808284009918e-07
1835,7.298379642861619e-07
1836,6.41831643832802e-07
1837,9.727131704551084e-07
1838,6.716140337204024e-07
1839,8.396761863593838e-07
1840,8.917563860677546e-07
1841,6.465492656815286e-07
1842,6.164895793858705e-07
1843,6.810668526924246e-07
1844,4.983613415276977e-07
1845,5.803436886608893e-07
1846,6.469223823302173e-07
1847,7.172987501746775e-07
1848,6.194820727500883e-07
1849,3.996981030596203e-07
1850,5.607710740207494e-07
1851,5.211146767436503e-07
1852,4.98707761309447e-07
1853,6.419826572567899e-07
1854,8.650781566643673e-07
1855,6.999849766486932e-07
1856,5.886464133908476e-07
1857,9.269985632442967e-07
1858,1.2899729568971452e-06
1859,1.1559233499269794e-06
1860,1.1612315375941762e-06
1861,7.446506522512664e-07
1862,8.227253136539048e-07
1863,9.289994657990519e-07
1864,8.275700249527063e-07
1865,7.658035912072592e-07
1866,7.6098187129503e-07
1867,6.745407983288487e-07
1868,8.753456928189962e-07
1869,7.335045566492226e-07
1870,6.943933126279944e-07
1871,6.978113589184431e-07
1872,7.01491345012073e-07
1873,7.51243572238991e-07
1874,7.42046442070432e-07
1875,6.62552857022547e-07
1876,4.4438209734209977e-07
1877,5.275647989577692e-07
1878,4.52327737043845e-07
1879,6.57974350559698e-07
1880,4.5759243150200746e-07
1881,5.062040400183321e-07
1882,5.983191222469486e-07
1883,4.322427731295875e-07
1884,5.122916828526058e-07
1885,4.995367675064699e-07
1886,4.782016866933247e-07
1887,4.668181059486187e-07
1888,4.6666924191640646e-07
1889,5.225123818064503e-07
1890,5.007551280300504e-07
1891,4.4492055906175665e-07
1892,5.271818643848292e-07
1893,3.7566340616024263e-07
1894,5.041231680991132e-07
1895,7.60752847384083e-07
1896,6.321614804960518e-07
1897,5.727659626586501e-07
1898,4.888818700976572e-07
1899,4.7537173486489337e-07
1900,5.403886333965602e-07
1901,3.8841734628647373e-07
1902,4.7138724212913985e-07
1903,5.594628404992363e-07
1904,4.52005984641346e-07
1905,4.4537350518680796e-07
1906,4.177077865819001e-07
1907,3.9805608587073493e-07
1908,5.456553022753496e-07
1909,4.989392046184093e-07
1910,5.002125007536051e-07
1911,6.251439756965738e-07
1912,4.3342384437039527e-07
1913,4.412087566407763e-07
1914,4.245735603092271e-07
1915,4.19395130180078e-07
1916,3.241301320677792e-07
1917,4.035644227684543e-07
1918,3.859422559315817e-07
1919,3.63710022988073e-07
1920,3.7709713396338884e-07
1921,3.5819096133593575e-07
1922,3.6963455851690696e-07
1923,3.58819033152713e-07
1924,3.867487219366694e-07
1925,3.101486125700603e-07
1926,3.5890564653584534e-07
1927,3.2444244713047965e-07
1928,4.239061310862269e-07
1929,3.9659845896267143e-07
1930,2.6889224979953497e-07
1931,2.725880197118613e-07
1932,2.6083696003098567e-07
1933,3.5329640724057754e-07
1934,2.8995424194988573e-07
1935,2.9082930552704056e-07
1936,2.57043936358059e-07
1937,2.807819328154437e-07
1938,3.2801993565811927e-07
1939,2.538812511332367e-07
1940,3.1697287727894263e-07
1941,3.0105325565799035e-07
1942,2.7611328334842256e-07
1943,3.0774293779955997e-07
1944,3.534504688929019e-07
1945,3.420251282193476e-07
1946,4.301621334690253e-07
1947,3.6358656574364545e-07
1948,2.891922150638493e-07
1949,2.5524221936024105e-07
1950,2.956630558159645e-07
1951,3.1984205062229876e-07
1952,2.467484048196411e-07
1953,2.639587584063463e-07
1954,3.3617524586304626e-07
1955,2.928309594807388e-07
1956,2.808207595350609e-07
1957,3.171778457655705e-07
1958,3.0938190498375207e-07
1959,2.9685363278630916e-07
1960,3.439654197023856e-07
1961,2.911278600414846e-07
1962,2.891932036064304e-07
1963,3.3300173196693095e-07
1964,3.467861899864033e-07
1965,2.5335559961092713e-07
1966,3.1960461033264664e-07
1967,2.913828192063761e-07
1968,2.928403111113198e-07
1969,2.675095478466005e-07
1970,2.593680941131993e-07
1971,2.687381925881027e-07
1972,2.077709466696831e-07
1973,2.453375627098353e-07
1974,2.1489683899034162e-07
1975,2.0961132518593217e-07
1976,2.2282754574831642e-07
1977,1.8511863508763327e-07
1978,2.186137688653389e-07
1979,2.5339045928163273e-07
1980,2.7004466351954193e-07
1981,2.7579394679122515e-07
1982,3.0168462128443707e-07
1983,2.3429822260112587e-07
1984,2.2442163238878265e-07
1985,2.821296822830277e-07
1986,2.6076012016318373e-07
1987,2.5176565010553986e-07
1988,2.518552673080876e-07
1989,2.535512435564158e-07
1990,2.233946951868404e-07
1991,2.496984174982231e-07
1992,2.407845625107541e-07
1993,2.786221289241553e-07
1994,2.4159163469761324e-07
1995,2.5214396970341113e-07
1996,2.674384069756286e-07
1997,3.0399630457367266e-07
1998,2.899022444324828e-07
1999,3.094026279626405e-07
2000,3.3886302830410386e-07
2001,3.1018978141617026e-07
2002,3.342872005873687e-07
2003,4.012746881443263e-07
2004,4.1228845226726207e-07
2005,3.4813983873505094e-07
2006,3.9614101510210276e-07
2007,5.708111121549564e-07
2008,6.03279175948046e-07
2009,6.761297015600576e-07
2010,8.951587577854525e-07
2011,1.0370611462917623e-06
2012,1.2851054087548164e-06
2013,1.4589913064355642e-06
2014,1.5099648784655528e-06
2015,1.5028380921933149e-06
2016,1.626623312489528e-06
2017,1.7496076694101248e-06
2018,1.8769844665200708e-06
2019,1.7530387594888452e-06
