year,bon_ADJ habit_NOUN,bon_ADJ rabbi_NOUN
1800,4.087413785214267e-08,0.0
1801,2.3811825844433088e-09,0.0
1802,6.713520406265161e-09,0.0
1803,3.90067853572873e-08,0.0
1804,6.179627121127851e-08,0.0
1805,3.980028751016107e-08,0.0
1806,5.76333825108577e-09,0.0
1807,1.7081731584767113e-08,0.0
1808,2.4926814390369145e-08,0.0
1809,0.0,0.0
1810,8.89248141788812e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,6.401299401659344e-08,0.0
1813,4.026038169513413e-08,0.0
1814,5.034683425719777e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,2.3353100786493997e-08,0.0
1818,2.5034472272977837e-08,0.0
1819,2.898294049202832e-08,0.0
1820,1.1866481131050932e-09,0.0
1821,5.423818549843418e-08,0.0
1822,2.606660132187244e-08,0.0
1823,4.249555374258307e-08,0.0
1824,5.894778887238772e-09,0.0
1825,1.2327619813845558e-08,0.0
1826,2.554315514657901e-08,0.0
1827,1.566936447261469e-08,0.0
1828,4.3109814384934e-08,0.0
1829,3.257806824308318e-08,0.0
1830,3.1310506187764986e-08,0.0
1831,7.795603274018958e-09,0.0
1832,3.6530916958099624e-08,0.0
1833,3.359252431778259e-08,0.0
1834,1.7735608537350345e-08,0.0
1835,2.2689263801112247e-09,0.0
1836,1.4785650037651976e-08,0.0
1837,2.7135774516295896e-08,0.0
1838,1.3255539776935166e-08,0.0
1839,1.1885507689157748e-08,0.0
1840,2.4841785517537573e-08,0.0
1841,1.8619591202195807e-08,0.0
1842,8.049918065466954e-09,0.0
1843,1.7130041385371442e-08,0.0
1844,8.781698035420504e-09,0.0
1845,8.37034175305007e-09,0.0
1846,7.025401593807601e-09,0.0
1847,4.853901280910122e-09,0.0
1848,8.84974404868899e-09,0.0
1849,2.6814127807028854e-08,0.0
1850,6.788996032014438e-09,0.0
1851,6.449438760824933e-09,0.0
1852,3.906327261660181e-09,0.0
