year,en_PRON envoie_VERB,en_PRON renvoie_VERB
1800,4.747688251427462e-07,4.4018303668735825e-08
1801,7.572160711788456e-07,7.143547975374531e-08
1802,5.975033445793088e-07,1.0070280609397742e-07
1803,6.78718038216175e-07,1.2287136996746995e-07
1804,4.276302263406251e-07,6.426812149129546e-08
1805,4.0368863096773566e-07,5.1171799242411e-08
1806,5.590438263425312e-07,6.339671898558663e-08
1807,3.359407116931834e-07,6.832692633906845e-08
1808,6.005096224726003e-07,4.985362878073829e-08
1809,7.070765377648058e-07,8.358412628695078e-08
1810,3.299578850146645e-07,3.7442028144596406e-08
1811,6.518399686683551e-07,6.518399686683551e-08
1812,2.6938803898701735e-07,9.335229123053068e-08
1813,2.473137783454149e-07,6.039057609541487e-08
1814,4.6570821155000885e-07,5.664018942752591e-08
1815,2.9669459422621003e-07,2.966945977789237e-08
1816,3.082413115862437e-07,8.1116134253989e-08
1817,4.935288870910881e-07,7.472992535895173e-08
1818,3.3379296837665606e-07,1.2994082965178677e-07
1819,5.434301328932634e-07,7.866798057420965e-08
1820,3.4056802178383805e-07,7.831877724129299e-08
1821,4.230578554142994e-07,3.747365440176509e-08
1822,5.734652290811937e-07,3.0076847679083585e-08
1823,4.565801248190837e-07,6.324919610278812e-08
1824,3.8568697391383466e-07,5.810567671460376e-08
1825,3.812756972365605e-07,1.0302368025350006e-07
1826,3.1268345423995925e-07,5.9013494535520294e-08
1827,3.5209981774642074e-07,1.1060727445055818e-07
1828,4.962215029991057e-07,1.2382606939809193e-07
1829,3.292099677310034e-07,4.2865881511033876e-08
1830,4.007744962564175e-07,3.444155893816969e-08
1831,3.040285321276315e-07,4.8332740476553226e-08
1832,4.7219592147484946e-07,5.547287429408243e-08
1833,3.741511989119317e-07,6.950177322551099e-08
1834,4.0885245766730804e-07,1.1948199585276598e-07
1835,3.584903538467188e-07,7.789980571715205e-08
1836,3.682970941554231e-07,6.98957975941994e-08
1837,3.889460913342191e-07,5.148839221646995e-08
1838,4.469010548291408e-07,7.511472688292997e-08
1839,5.180683047001367e-07,9.718150550952487e-08
1840,3.0574506126868073e-07,1.2930468074046075e-07
1841,2.869985280540277e-07,9.438206660661308e-08
1842,2.837596184690483e-07,8.385331540239349e-08
1843,4.4242764829505177e-07,5.847842032835615e-08
1844,2.6509749773140356e-07,6.805815644383983e-08
1845,2.6003863240475766e-07,1.1216258144486346e-07
1846,3.6766269317922706e-07,9.250111787650894e-08
1847,2.6804320896189893e-07,1.0732514965638984e-07
1848,3.3226766049665457e-07,5.873011943435813e-08
1849,2.371374421272776e-07,1.0893239732467919e-07
1850,3.09578211954431e-07,6.44954596396019e-08
1851,3.108629584858136e-07,5.611011744122152e-08
1852,2.636770943809097e-07,1.0091345359342085e-07
1853,2.669453635917307e-07,6.091370607919089e-08
1854,3.2628773283249757e-07,5.6632742939655145e-08
1855,2.9082013952574925e-07,4.139410947345823e-08
1856,3.815588343059062e-07,1.0147290652184893e-07
1857,3.3291891554654285e-07,9.372497800086421e-08
1858,4.0030269587987277e-07,8.025628517316363e-08
1859,4.4454674252847326e-07,5.906921174414492e-08
1860,3.6251296364753216e-07,8.879737123379527e-08
1861,4.748975470647565e-07,8.205776680370036e-08
1862,3.555655325726548e-07,9.352231700177072e-08
1863,4.630013563655666e-07,7.441985161449338e-08
1864,3.102188941284112e-07,3.643993196078554e-08
1865,3.5254265640105586e-07,5.9306238142653456e-08
1866,3.3134824661829043e-07,6.422609288847525e-08
1867,3.6056388807992334e-07,4.4160586298858107e-08
1868,3.072601657549967e-07,4.791677810089823e-08
1869,3.125452394669992e-07,8.25314714347769e-08
1870,3.1594609595231304e-07,4.7019199200803996e-08
1871,2.1242354364403582e-07,4.460894587055009e-08
1872,2.8845809652011667e-07,5.6844989160254045e-08
1873,3.148638256789127e-07,6.045864608950069e-08
1874,3.8954451042627625e-07,5.138164027584935e-08
1875,2.7863836749020265e-07,7.724061390490533e-08
1876,3.1136977440837654e-07,6.831997012568536e-08
1877,3.5933780395680515e-07,1.0081249968152406e-07
1878,2.3612837196651526e-07,1.2138568195041444e-07
1879,2.9202576001807756e-07,6.292604837199178e-08
1880,3.2345946010536863e-07,8.471557322309309e-08
1881,2.7890030196431326e-07,7.251407652120179e-08
1882,3.800224988026457e-07,7.91990828474809e-08
1883,3.7410487152556016e-07,4.9922778799782463e-08
1884,3.6639417544392927e-07,5.809493330843907e-08
1885,2.881199065996043e-07,8.443782917311182e-08
1886,2.891151780204382e-07,4.969167122226281e-08
1887,3.0620657298641163e-07,4.8966935395355904e-08
1888,2.865957924313989e-07,5.326116436776829e-08
1889,3.0448563848040067e-07,4.8241552974559454e-08
1890,2.556210745296994e-07,5.767860145056147e-08
1891,2.8811473384848796e-07,5.609313546983685e-08
1892,2.9838119530722906e-07,3.6984221907232495e-08
1893,2.740495403941168e-07,5.173069794750518e-08
1894,2.9239143373160914e-07,3.213785149114301e-08
1895,2.6120787310901505e-07,4.935263930860856e-08
1896,2.5652076374171884e-07,5.5432071377481407e-08
1897,2.6220212134830945e-07,4.603103676004139e-08
1898,2.970636217014544e-07,5.375436984422777e-08
1899,2.9406717771962576e-07,5.859233098703953e-08
1900,2.683774482648005e-07,5.917800649513083e-08
1901,2.2913829411663755e-07,3.4650181390816215e-08
1902,2.293102596695462e-07,4.812078202576231e-08
1903,2.7487121201374975e-07,5.0762071879262294e-08
1904,2.423956004804495e-07,3.547252447333449e-08
1905,2.435878343476361e-07,3.354493216534138e-08
1906,2.3611806909684674e-07,3.7038127231880935e-08
1907,2.4325649405909644e-07,3.651418722938615e-08
1908,2.5981248086281994e-07,3.192402786567072e-08
1909,2.7009829750568315e-07,4.8408654862441836e-08
1910,2.506406531210814e-07,4.9700602744451317e-08
1911,3.3039523827937956e-07,3.5646507967612706e-08
1912,2.61512951738041e-07,5.261515312326992e-08
1913,2.7628576049210096e-07,3.181793672979438e-08
1914,2.196531880827024e-07,3.147469485043075e-08
1915,2.9687521418964025e-07,1.1780762143587253e-08
1916,2.4062541115199565e-07,2.307367097387214e-08
1917,2.555176763507916e-07,3.728584374584898e-08
1918,2.3202480292638938e-07,1.9526840588923733e-08
1919,2.3203777743674436e-07,3.6831394822911534e-08
1920,2.7790090939561196e-07,2.7260034229925623e-08
