year,bien_ADV appliquer_VERB,bien_ADV rappliquer_VERB
1800,2.1065902444661333e-07,0.0
1801,1.0953439755212457e-07,0.0
1802,7.832440473976021e-08,0.0
1803,1.2872239096850535e-07,0.0
1804,6.179627121127851e-08,0.0
1805,1.449867568226182e-07,0.0
1806,5.187004603612877e-08,0.0
1807,9.11025637151397e-08,0.0
1808,1.359644414833383e-07,0.0
1809,1.784634093837667e-07,0.0
1810,1.2870697219113936e-07,0.0
1811,1.0780430415024966e-07,0.0
1812,9.868670503010435e-08,0.0
1813,9.202373263406116e-08,0.0
1814,5.034683425719777e-08,0.0
1815,1.4565007688815967e-07,0.0
1816,9.965696534663948e-08,0.0
1817,9.185553295765203e-08,0.0
1818,9.894576891156248e-08,0.0
1819,1.1593176196811328e-07,0.0
1820,1.38837833674188e-07,0.0
1821,2.376618652988327e-07,0.0
1822,1.4035862250239006e-07,0.0
1823,1.2551012673611694e-07,0.0
1824,8.673745810483524e-08,0.0
1825,1.8491429898404022e-07,0.0
1826,6.429828403042848e-08,0.0
1827,1.2166800900104136e-07,0.0
1828,4.953042775923677e-08,0.0
1829,1.0116347937128012e-07,0.0
1830,1.2524202475105994e-07,0.0
1831,7.483778574624012e-08,0.0
1832,6.494385473843067e-08,0.0
1833,1.308950032807843e-07,0.0
1834,1.1201436933561126e-07,0.0
1835,1.1647155417904287e-07,0.0
1836,1.4315197915948374e-07,0.0
1837,9.462731753728804e-08,0.0
1838,8.332053624826585e-08,0.0
1839,1.2514740888036613e-07,0.0
1840,1.4077012622237817e-07,0.0
1841,1.0080260892664228e-07,0.0
1842,1.0397810967788246e-07,0.0
1843,1.228637529493426e-07,0.0
1844,1.0428266250528395e-07,0.0
1845,1.1774280750387334e-07,0.0
1846,1.1416277345688286e-07,0.0
1847,5.9325458323655766e-08,0.0
1848,6.91889070481011e-08,0.0
1849,1.6004682379389124e-07,0.0
1850,8.011015495412721e-08,0.0
1851,1.1480000949859459e-07,0.0
1852,1.0807505645971105e-07,0.0
1853,8.719020172520686e-08,0.0
1854,9.560022817822755e-08,0.0
1855,1.146298416188074e-07,0.0
1856,1.0872097533365377e-07,0.0
1857,1.0934580529919913e-07,0.0
1858,8.270312434888183e-08,0.0
1859,1.1559233570324068e-07,0.0
1860,8.284703056915532e-08,0.0
1861,1.1035355385047296e-07,0.0
1862,1.0707627495776251e-07,0.0
1863,1.0338865052972324e-07,0.0
1864,1.1315557912894292e-07,0.0
1865,1.1861247628530691e-07,0.0
1866,1.0169131314796687e-07,0.0
1867,1.3490816286321206e-07,0.0
1868,1.205329311915193e-07,0.0
1869,9.327521865998278e-08,4.883519144627257e-10
1870,1.037862844555093e-07,0.0
1871,1.0939812256083314e-07,0.0
1872,9.191955996357137e-08,6.047339295989218e-10
1873,8.14096594581315e-08,0.0
1874,8.48394492436455e-08,0.0
1875,8.410644625200803e-08,0.0
1876,1.0640985692589311e-07,0.0
1877,1.0143098450043908e-07,0.0
1878,9.964496427983249e-08,0.0
1879,9.713826898405387e-08,0.0
1880,1.0461089061664097e-07,0.0
1881,8.157833519817359e-08,0.0
1882,9.117877652897732e-08,0.0
1883,1.2259518200608e-07,6.319338941018771e-10
1884,9.836528391815591e-08,0.0
1885,8.37932674357944e-08,0.0
1886,9.551126822771039e-08,0.0
1887,1.2013221351026004e-07,6.528924623161458e-10
1888,1.1286294210322012e-07,0.0
1889,7.956723635516028e-08,0.0
