year,un_DET art_NOUN,un_DET rare_ADJ
1800,1.1168072575173937e-05,5.785262402469016e-07
1801,7.662645380435151e-06,5.786273504782002e-07
1802,7.964473468291544e-06,7.205845520275034e-07
1803,8.7375199058215e-06,6.299595680658854e-07
1804,9.917066250864082e-06,6.130190128850188e-07
1805,9.119951471348031e-06,8.699205995554848e-07
1806,1.022704354625148e-05,1.0518092175004767e-06
1807,8.512396107107634e-06,8.170761027770368e-07
1808,9.005377933135605e-06,9.38154640195421e-07
1809,6.908115224746325e-06,9.149073483261105e-07
1810,9.894055466475038e-06,7.160787731663731e-07
1811,8.571695602199725e-06,1.28863744919272e-06
1812,7.65488776011125e-06,1.2775927884511873e-06
1813,1.0131237729638087e-05,1.3314683400267313e-06
1814,6.513621855219753e-06,1.0824569756096025e-06
1815,6.527280870471941e-06,1.0033671742348815e-06
1816,6.739592166127295e-06,1.1240378920973626e-06
1817,8.013227336789441e-06,1.3280130373161114e-06
1818,7.951425367025422e-06,1.263644769045058e-06
1819,7.476563290254035e-06,1.422234268133593e-06
1820,7.450963330768445e-06,1.552135731941462e-06
1821,7.815229349006358e-06,1.4072343867965742e-06
1822,7.141246328501438e-06,1.201068769773883e-06
1823,6.724180103390154e-06,1.6158193038018354e-06
1824,6.650152876375159e-06,1.5772743680031454e-06
1825,7.5770836218680415e-06,1.7038532575952559e-06
1826,6.366410921998522e-06,1.3291248563973568e-06
1827,6.3562316690024545e-06,1.7337690891849888e-06
1828,6.462803479934109e-06,1.3813485439939654e-06
1829,7.83331104514673e-06,1.4728716033474143e-06
1830,6.491711690870261e-06,1.4705501687473088e-06
1831,5.743800198132476e-06,1.5170243352624624e-06
1832,7.032878123425235e-06,1.5992424293731489e-06
1833,6.752097103657206e-06,1.527880651330804e-06
1834,6.67512324170616e-06,1.756758726934038e-06
1835,6.156353670405679e-06,1.353036424234233e-06
1836,5.654167104296448e-06,1.5081362718660785e-06
1837,5.981698816270864e-06,1.404798181781075e-06
1838,5.291485216218916e-06,1.275056648708528e-06
1839,5.60506542868211e-06,1.5933571715365247e-06
1840,6.562690131772797e-06,1.5586627828412247e-06
1841,5.781062075271848e-06,1.6288932065400274e-06
1842,6.143428995741829e-06,1.620046028438793e-06
1843,6.781133954802954e-06,1.8193286410728149e-06
1844,6.17408274194986e-06,1.6805974771827437e-06
1845,6.4596719866472085e-06,1.6662561082014804e-06
1846,6.343351984128276e-06,1.584228067841309e-06
1847,6.225937603687726e-06,1.7134271175223148e-06
1848,5.6598133788554605e-06,1.5446825685216936e-06
1849,5.643535970989433e-06,1.5501917940419219e-06
1850,5.885380794268258e-06,1.4677809740959447e-06
1851,5.546517435561782e-06,1.5130383261841018e-06
1852,6.8842505598354364e-06,1.4948212756493717e-06
1853,6.757838090010182e-06,1.8751865544786028e-06
1854,6.481591505291817e-06,1.827834706702447e-06
1855,7.038590624119934e-06,1.9837331315386564e-06
1856,6.83285424329938e-06,1.7405710144302589e-06
1857,7.0039892534623505e-06,1.9369827981563503e-06
1858,6.85310406112194e-06,1.8879802254900824e-06
1859,7.935642678091881e-06,2.174867182347384e-06
1860,7.1083663968352084e-06,1.7516883357160395e-06
1861,7.852079310310955e-06,1.9000617896836047e-06
1862,7.5603982736538455e-06,2.036256511850354e-06
1863,8.289572635433728e-06,1.85799896179617e-06
1864,8.288645942045036e-06,1.915014300024609e-06
1865,7.466937692157671e-06,1.8300210680166629e-06
1866,7.100875549781449e-06,1.6197625862801601e-06
1867,7.793614898332635e-06,1.7494385620153707e-06
1868,7.773385497955587e-06,1.794162249879605e-06
1869,7.6246385170009034e-06,1.6794422172949908e-06
1870,6.912396038671886e-06,1.7672338898933049e-06
1871,5.039748625534912e-06,1.2108142541933375e-06
1872,7.0294273974980115e-06,1.64971419858162e-06
1873,6.679183893965046e-06,1.5862912290387499e-06
1874,6.2494411317004506e-06,1.4834954082942886e-06
1875,8.08165676602357e-06,1.727329031808722e-06
1876,8.238299557206119e-06,1.4637401504202785e-06
1877,7.516406924423791e-06,1.669900342449182e-06
1878,7.8333017654586e-06,1.809914898842635e-06
1879,6.890097115075378e-06,1.6067524910567954e-06
1880,7.050646072315203e-06,1.8560411803036914e-06
1881,7.180288136510171e-06,1.6301722292055842e-06
1882,8.049688602795868e-06,1.761014882362133e-06
1883,7.63755318899939e-06,1.4382815489710765e-06
1884,7.465858949728954e-06,1.5606412127056046e-06
1885,7.142409039317954e-06,1.3638965148388138e-06
1886,7.1943216610748095e-06,1.5391511158924231e-06
1887,6.997048593859745e-06,1.374338586934698e-06
1888,7.101488641581e-06,1.506530075801038e-06
1889,8.031278930786812e-06,1.4234390990353063e-06
1890,7.159356407271389e-06,1.5035762759296745e-06
1891,7.288282994011297e-06,1.3653579014061279e-06
1892,7.113507944467301e-06,1.2687469517214112e-06
1893,7.298955111423311e-06,1.3850278723914755e-06
1894,8.112601548759812e-06,1.4140653696870231e-06
1895,7.5918802338037494e-06,1.4613195506996135e-06
1896,7.587707173684066e-06,1.3439329107356457e-06
1897,7.34923391121356e-06,1.3803484790742004e-06
1898,8.097671347684354e-06,1.2459697016353743e-06
1899,7.98348141728411e-06,1.3045084603646728e-06
1900,8.474912910116927e-06,1.3138554972869088e-06
1901,7.828146571853267e-06,1.1786649989353748e-06
1902,6.832168899961744e-06,9.687990214501951e-07
1903,7.733115403141255e-06,1.1453867241328908e-06
1904,8.474171977468359e-06,1.122759252680794e-06
1905,8.49254552548473e-06,1.1317544466038498e-06
1906,7.982230862069173e-06,1.1620712809801148e-06
1907,8.111292416401739e-06,1.1581683416750366e-06
1908,8.415174256981572e-06,1.1256903347245384e-06
1909,8.778469819503698e-06,1.178310695237883e-06
1910,8.612098561400217e-06,1.214725504183889e-06
1911,8.73924638256085e-06,1.1071698233777738e-06
1912,8.946659853847905e-06,1.118462717997204e-06
1913,9.786667455102815e-06,1.188399963325537e-06
1914,8.86380991715896e-06,1.1732695330834986e-06
1915,5.1906037725757415e-06,8.859132938354719e-07
1916,6.625439695540081e-06,1.1152273735604012e-06
1917,7.173138129701329e-06,1.1130920448687576e-06
1918,7.832560150689005e-06,1.1842453959687305e-06
1919,8.605655082760677e-06,1.283574116328623e-06
1920,1.0781343306121016e-05,1.260019405258106e-06
1921,1.0497342714188562e-05,1.1874068048811637e-06
1922,1.1065427905521119e-05,1.1384154392501955e-06
1923,1.0293222842960859e-05,1.1921710072471114e-06
1924,1.0095431349554929e-05,1.1280170948424484e-06
