year,bien_ADV avoir_VERB,bien_ADV ravoir_VERB
1800,1.528063990008377e-06,0.0
1801,1.7573127024661517e-06,0.0
1802,2.443721314193681e-06,0.0
1803,1.482257857787772e-06,0.0
1804,2.1159044081286993e-06,0.0
1805,2.2885164980834816e-06,0.0
1806,2.126671915902989e-06,0.0
1807,1.5544375173703884e-06,0.0
1808,1.744876954035135e-06,1.1330369531492579e-08
1809,1.7891521792989806e-06,0.0
1810,1.8346594288232154e-06,0.0
1811,2.0583099740179023e-06,2.5070767684098882e-09
1812,2.33113996728207e-06,0.0
1813,2.0130191842326894e-06,0.0
1814,1.9824065020657144e-06,0.0
1815,1.6021507462937734e-06,0.0
1816,1.541206529509509e-06,0.0
1817,2.1111202386236982e-06,0.0
1818,2.089782356051728e-06,0.0
1819,2.2699853161611827e-06,1.5526575580793178e-08
1820,3.025952764801332e-06,0.0
1821,2.9614050163218053e-06,9.86148829262845e-10
1822,2.1444791400426766e-06,8.02049271442229e-09
1823,2.446953203616431e-06,0.0
1824,2.636650378917693e-06,2.105278085196005e-08
1825,2.3123093342292123e-06,8.805443041381977e-10
1826,2.483851631041034e-06,0.0
1827,1.875715042842785e-06,9.217273055917019e-10
1828,2.0848640360782156e-06,1.9261833017480967e-08
1829,2.2075928427511826e-06,0.0
1830,2.5142337563011097e-06,0.0
1831,2.4415828647761373e-06,0.0
1832,2.6951699965138687e-06,1.3529969367098715e-09
1833,2.328309392396477e-06,0.0
1834,1.91357889889332e-06,5.600718555598405e-09
1835,2.5290964913438074e-06,7.563087933704082e-10
1836,2.58950490206189e-06,6.048674894287842e-09
1837,2.334372311452171e-06,0.0
1838,2.3228756163007347e-06,1.8936485712828244e-09
1839,2.2142000943858875e-06,2.0974426639952526e-09
1840,1.966322997759562e-06,1.2739377330817092e-09
1841,2.1739977000834187e-06,6.420548537278137e-09
1842,2.1540238321904326e-06,8.049918065466954e-09
1843,2.037293597823009e-06,0.0
1844,1.9934454940084834e-06,5.488561272137815e-10
1845,1.8844430087483488e-06,5.580227835366713e-09
1846,2.1819726043759147e-06,7.610851504580296e-09
1847,1.8342353769185138e-06,5.393223645455691e-10
1848,1.9413118934608065e-06,8.045221711050488e-10
1849,1.7755979797584587e-06,0.0
1850,1.970845460164128e-06,2.0366988096043315e-09
1851,1.960629333552788e-06,6.449438760824933e-10
1852,2.091187297992292e-06,5.208436348880241e-09
1853,2.1899074909015326e-06,1.1943863675867306e-09
1854,2.1151549844944384e-06,1.0391328908454511e-09
1855,2.1853966245544143e-06,3.714855978387277e-09
1856,2.0682871308963513e-06,0.0
1857,2.246470558020519e-06,9.763018171682347e-10
1858,2.300027745150146e-06,6.8511463169329545e-09
1859,2.4035057322180364e-06,3.055304009791371e-09
1860,2.321090050827479e-06,4.57718396518203e-09
1861,2.1353882857511053e-06,4.715963730639317e-10
1862,2.3714910639682785e-06,0.0
1863,2.334485770916217e-06,4.994620828036034e-10
1864,2.385856532782782e-06,0.0
1865,2.390135477980948e-06,9.41368871743009e-10
