year,aucun_DET appel_NOUN,aucun_DET rappel_NOUN
1800,6.288328657788611e-08,2.829747991484055e-08
1801,4.0480102825313224e-08,7.143547975374531e-09
1802,1.0070280609397742e-07,4.475680270843441e-09
1803,1.170203516309698e-07,1.755305234496518e-08
1804,1.0381774084855522e-07,2.4718509461507665e-09
1805,5.970043215342002e-08,6.822906328807221e-08
1806,1.671368039524168e-07,3.1698359492793315e-08
1807,1.935929496710287e-07,1.7081731584767113e-08
1808,1.0197332755979005e-07,4.5321478125970316e-08
1809,1.1295152457790891e-07,8.584316191218022e-08
1810,1.5210824244604737e-07,3.510190182964834e-08
1811,9.025476366275598e-08,7.019814773912003e-08
1812,1.0135391192989118e-07,6.13457871168066e-08
1813,5.463909236169684e-08,3.738464116054274e-08
1814,1.195737269199526e-07,2.5173417128598885e-08
1815,8.631115377966125e-08,5.933891955578474e-08
1816,8.343373636421347e-08,4.1716869958463576e-08
1817,1.494598429463423e-07,1.401186100480345e-08
1818,4.291623878494022e-08,6.556647491606782e-08
1819,1.0454560239736566e-07,4.45095160728215e-08
1820,1.0917162995838225e-07,8.306536791735653e-09
1821,1.5482535964395083e-07,1.0847637454958203e-08
1822,1.523893615740235e-07,1.9048670196752937e-08
1823,1.0870955602371168e-07,9.882686669016039e-09
1824,6.231623306263145e-08,1.2631669044083083e-08
1825,6.956300158122986e-08,5.371320099811783e-08
1826,9.248383747717526e-08,4.1397527184017235e-08
1827,1.778933738094679e-07,1.474763688946723e-08
1828,1.5501188954658573e-07,1.2841221419535032e-08
1829,1.577464416868679e-07,3.429270378774163e-08
1830,2.0038724990456558e-07,7.410153557430021e-08
1831,1.138158063351824e-07,2.3386808933878456e-08
1832,1.5288864929630108e-07,4.464889968858188e-08
1833,1.2857827691448165e-07,3.938433579264711e-08
1834,9.801257228048144e-08,4.6672653519763685e-08
1835,8.31939672707449e-08,4.61348363955949e-08
1836,1.5793762209170836e-07,6.451919992711552e-08
1837,8.697363718113138e-08,3.5485243188304594e-08
1838,1.470733765884802e-07,1.3003053500604267e-07
1839,1.7828261356100938e-07,9.368576503465675e-08
1840,1.8089915077013075e-07,1.2739377552861697e-08
1841,1.553772737139525e-07,9.630822361827995e-09
1842,1.3483612448794702e-07,1.341653010911159e-08
1843,1.4235656031758026e-07,2.5990408047960045e-08
1844,1.366651778411665e-07,1.2074834465636286e-08
1845,1.635006832145791e-07,7.254296008341043e-08
1846,2.4823085809089207e-07,2.6345256642912318e-08
1847,1.574821313354846e-07,1.2728008069728958e-07
1848,1.5285921506347222e-07,7.723412664972784e-08
1849,1.8769890175462933e-07,2.513824526317876e-08
1850,1.3713771451762113e-07,1.765138879505912e-08
1851,1.5478652937161996e-07,4.51460699935069e-08
1852,1.5820625165474667e-07,3.580800012059626e-08
1853,1.3556285249904931e-07,7.28575699771028e-08
1854,1.314503048632787e-07,2.8576155441939477e-08
1855,1.3798036491152743e-07,3.131092896069276e-08
1856,1.4392586056288792e-07,5.643136091748602e-08
1857,1.6499500699040937e-07,6.199516389138182e-08
1858,1.3506545926134095e-07,1.0276719808466339e-08
1859,1.19156853273239e-07,1.3748867822016564e-08
1860,1.4601216591358934e-07,2.2428200713298097e-08
1861,1.0469439537530434e-07,3.301174500425219e-08
1862,1.174676436122013e-07,4.9697849391350246e-08
1863,1.4384508340015145e-07,6.692791743034832e-08
1864,1.7261020879288935e-07,3.0206784629172034e-08
1865,1.3367437334821375e-07,1.412053279858938e-08
1866,1.1823439649560896e-07,3.649209645573137e-08
1867,1.310259030162797e-07,1.1161466417775046e-08
1868,1.1559305423958222e-07,2.667531973088444e-08
1869,1.6945810976665143e-07,2.24641887314192e-08
1870,1.078001172771792e-07,1.834895613228582e-08
1871,1.5294495092632587e-07,1.911811864374613e-08
