year,on_PRON attrape_VERB,on_PRON rattrape_VERB
1800,9.432493897065797e-09,0.0
1801,1.904946111963568e-08,0.0
1802,3.3567602031325805e-08,0.0
1803,4.8758479032073865e-08,1.950339223455444e-09
1804,1.4831105898949204e-08,2.4718509461507665e-09
1805,8.528632911009026e-09,0.0
1806,1.152667650217154e-08,0.0
1807,5.4092147649953404e-08,0.0
1808,1.3596443970698147e-08,0.0
1809,5.873479480555943e-08,0.0
1810,4.68025347366563e-08,0.0
1811,1.0028306629550343e-08,2.5070767684098882e-09
1812,2.400487453257938e-08,0.0
1813,1.7254450312975678e-08,8.627225156487839e-09
1814,3.1466771410748606e-09,0.0
1815,5.394447111228828e-09,0.0
1816,6.489290882427667e-08,0.0
1817,4.2035583236454954e-08,0.0
1818,2.7418707082560445e-08,1.1921177378582115e-09
1819,1.7596784473994376e-08,0.0
1820,5.102586975169743e-08,0.0
1821,1.7750679148775816e-08,0.0
1822,3.709477880420309e-08,0.0
1823,1.9765373782121287e-08,2.9648061783404955e-09
1824,1.3473780313688621e-08,0.0
1825,2.905796181451592e-08,0.0
1826,2.0258364652470107e-08,1.7615968683770689e-09
1827,2.673009252829317e-08,4.608636583469661e-09
1828,5.503380728910656e-08,2.7516903755575584e-09
1829,2.3147574523818548e-08,8.57317605795771e-10
1830,3.5485243188304594e-08,2.0873671680021744e-09
1831,6.080570535971219e-08,0.0
1832,3.788391467196561e-08,1.3529969367098715e-09
1833,1.9692168451435066e-08,9.266902467608418e-09
1834,3.267085690872307e-08,1.3068342852307069e-08
1835,2.4201881387853064e-08,7.563087933704082e-10
1836,1.9490174807401672e-08,5.376600054063374e-09
1837,2.1569462216319835e-08,6.957890930081589e-10
1838,1.893648637896206e-08,2.5248647617104325e-09
1839,1.957613138259262e-08,0.0
1840,2.1019972207270143e-08,6.369688665408546e-10
1841,1.733548060656176e-08,0.0
1842,2.6162233712767602e-08,0.0
1843,1.7130042329061013e-08,1.1813822142769936e-09
1844,2.6345094328306118e-08,2.7442805805577564e-09
1845,2.2878935412862234e-08,2.790113973194508e-09
1846,3.571245876798912e-08,5.269050973311096e-09
