year,mon_DET appel_NOUN,mon_DET rappel_NOUN
1800,2.829747991484055e-08,9.746909768182377e-08
1801,2.8574191901498125e-08,1.0715321963061797e-07
1802,2.4616241489638924e-08,6.265952379180817e-08
1803,1.755305234496518e-08,1.677291692203653e-07
1804,2.4718509461507665e-09,1.1370514130248921e-07
1805,5.685755422035754e-09,3.4114531644036106e-08
1806,6.627838899930794e-08,8.068673373884394e-08
1807,5.693910054560547e-08,7.402083435081863e-08
1808,2.7192887941396293e-08,1.359644414833383e-07
1809,4.743964154840796e-08,7.002994450999722e-08
1810,3.2761774626521856e-08,4.914266327205041e-08
1811,5.515568801683912e-08,3.008491944456182e-08
1812,2.1337665856435706e-08,6.13457871168066e-08
1813,1.7254450312975678e-08,3.738464116054274e-08
1814,3.1466772298927026e-08,6.293354459785405e-08
1815,1.5913619488827635e-07,1.294667271167782e-07
1816,2.7811246638975717e-08,6.257530316133852e-08
1817,6.694555310104988e-08,2.771234619558527e-07
1818,5.1261060951546256e-08,1.2398024296089716e-07
1819,3.519356894798875e-08,1.2317750019974483e-07
1820,4.865257352548724e-08,8.662531314485022e-08
1821,4.832129174570099e-08,2.0117436294597724e-07
1822,1.9048670196752937e-08,4.712039469723095e-08
1823,3.854247943024802e-08,4.5460360809101985e-08
1824,9.515857346542589e-08,1.3136936161117774e-07
1825,2.553578459796313e-08,1.1006803646296248e-07
1826,5.372870304221067e-08,1.1098060381797836e-07
1827,1.0507691428074395e-07,6.636436467033491e-08
1828,1.0823315577113135e-07,9.080578422526742e-08
1829,5.4868327770130065e-08,2.0575622983187714e-08
1830,8.036363308150385e-08,5.114049628218709e-08
1831,7.951515157422762e-08,3.6795245250687003e-07
1832,1.0553376128541458e-07,1.3124070208370142e-07
1833,1.308950038358958e-07,5.444305273272221e-08
1834,1.1481472839136586e-07,5.880754372356023e-08
1835,9.22696727911898e-08,9.680752555141225e-08
1836,6.922372575157709e-08,5.1749776019960336e-08
1837,8.419048369567861e-08,9.323574134967316e-08
1838,6.312161948685002e-08,3.345445720448481e-08
1839,7.620708031286227e-08,1.0557127438914904e-07
1840,1.1146954914664775e-07,1.4713981072445037e-07
1841,9.566617542589029e-08,6.67737083404063e-08
1842,6.775347438647827e-08,5.836190730690305e-08
1843,1.222730615091372e-07,1.323148091092463e-07
1844,7.35467243773158e-08,3.0187088384536764e-08
1845,9.988608118405295e-08,5.1896120289995906e-08
1846,1.1357732709882384e-07,2.0490753982471688e-08
1847,1.3968449863455135e-07,3.182002128454542e-08
1848,1.930853252840592e-07,1.3113711716528087e-07
1849,1.0893239110743025e-07,1.5166741551553287e-07
1850,9.776154197282949e-08,9.708264059327121e-08
1851,1.1351012352278644e-07,6.191461210391935e-08
1852,7.35691632058888e-08,6.380334682809519e-08
1853,1.2182741238042638e-07,3.6428785765707516e-08
1854,1.5431123334685992e-07,2.7537021551893304e-08
1855,1.8043586180738203e-07,4.0332722051061864e-08
1856,1.8741424501200754e-07,2.1226476021318774e-08
1857,1.3375334534382333e-07,4.686248633589685e-08
1858,1.2919304048786273e-07,8.025628517316363e-08
1859,1.680417212046592e-07,9.064068895447974e-08
