year,bien_ADV appeler_VERB,bien_ADV rappeler_VERB
1800,1.603523855919775e-07,5.345079756580162e-08
1801,7.619784270218588e-08,3.333655484993869e-08
1802,8.951360541686881e-08,3.8043282302169246e-08
1803,1.4042441875972145e-07,2.7304748684287006e-08
1804,1.7550141251376772e-07,1.2853624298259092e-07
1805,2.302730877090653e-07,2.2743021688143017e-08
1806,1.7578182109900808e-07,2.881669125542885e-08
1807,9.11025637151397e-08,3.701041606518629e-08
1808,1.3143228727585665e-07,2.2660739062985158e-08
1809,8.810219043198231e-08,3.162642769893864e-08
1810,1.4508785284306214e-07,4.212228077449254e-08
1811,1.3036799373367103e-07,5.264861258069686e-08
1812,3.7340916492212273e-07,8.535066342574282e-08
1813,2.674439656402683e-07,1.4378708002027452e-08
1814,1.258670891957081e-07,4.72001566720337e-08
1815,1.6453063267363177e-07,7.552225866902518e-08
1816,2.062667476820934e-07,1.8540831092650478e-08
1817,1.8371106591530406e-07,6.07180652423267e-08
1818,1.7166495069886878e-07,5.364529798157491e-08
1819,2.2047736081276526e-07,9.00541365922436e-08
1820,1.59010852485153e-07,2.8479554714522237e-08
1821,1.9722976674074744e-07,4.930744168518686e-08
1822,1.7143803177077643e-07,5.012807946513931e-08
1823,1.5812298670425662e-07,2.668325471688604e-08
1824,1.2379035752019263e-07,2.947389532437228e-08
1825,1.8491429898404022e-07,4.490776106536032e-08
1826,1.6647089751131716e-07,4.051672775062798e-08
1827,2.3411872973611025e-07,4.2399456390285195e-08
1828,2.2747306616111018e-07,4.494427585655103e-08
1829,2.623391992528923e-07,5.3153691226270894e-08
1830,2.724014223076665e-07,5.0096812032052185e-08
1831,1.9177183219198923e-07,6.548306430431694e-08
1832,2.2189149717632972e-07,1.8941957335982806e-08
1833,2.0155513880126819e-07,4.749287541017111e-08
1834,3.192409678831609e-07,6.627517024071494e-08
1835,2.0193445493532636e-07,4.689114518896531e-08
1836,2.076711780318874e-07,6.317505096831155e-08
1837,2.3308935226395988e-07,4.244313345225237e-08
1838,1.9630823544503073e-07,3.976661844262708e-08
1839,2.055493695252153e-07,4.894032556990169e-08
1840,2.598833077627205e-07,5.032054062326097e-08
1841,2.2985564385180624e-07,6.998397594770722e-08
1842,2.2942266753034346e-07,7.312009131510422e-08
1843,2.634482427765761e-07,7.797122947295065e-08
1844,2.458875485444878e-07,8.397498874046505e-08
1845,2.3269549842552806e-07,5.4686232431322424e-08
1846,2.529144467189326e-07,7.610852037487348e-08
1847,2.162682619655243e-07,5.55502026600152e-08
1848,2.180255052053326e-07,8.769291781618449e-08
1849,2.3546155603071384e-07,9.049767868418712e-08
1850,2.396515697000723e-07,7.87523504186538e-08
1851,1.8896855635830434e-07,5.997978291816253e-08
1852,1.4323200048238505e-07,5.9245962802378926e-08
1853,2.1498954083654098e-07,3.881755716861335e-08
1854,2.3536360060916195e-07,6.806320129726373e-08
1855,2.080319347896875e-07,7.217434472295281e-08
1856,2.428101879559108e-07,6.005539177067476e-08
1857,2.2650202424756571e-07,6.736482305313984e-08
1858,2.1238554381852737e-07,7.878818308881819e-08
1859,2.1539892713917652e-07,1.0897250746211284e-07
1860,2.4213304072873143e-07,6.408057373619158e-08
1861,2.8390101647346455e-07,6.036433575218325e-08
1862,2.6339859005020116e-07,7.996835904577893e-08
1863,2.1376976633291633e-07,8.390963301962984e-08
1864,2.622716124278668e-07,9.301772507797068e-08
1865,2.433438623938855e-07,8.707662146889561e-08
1866,2.3208973232158314e-07,7.395731671522299e-08
1867,2.858305947484041e-07,7.910082899797999e-08
1868,2.5390951918780047e-07,5.532658775564414e-08
1869,2.510128922494914e-07,7.911300770047092e-08
1870,2.6892689675150905e-07,1.037862844555093e-07
1871,1.933054250002897e-07,1.3064048687283503e-07
1872,2.7213027919970045e-07,9.675743228854117e-08
1873,2.232779650057637e-07,9.278306833948591e-08
1874,3.0231521463974786e-07,1.0873788625076486e-07
1875,2.4602567805231956e-07,1.1156978274584617e-07
1876,2.2430714352594805e-07,9.189942318243993e-08
1877,3.14188639549684e-07,9.339072448710795e-08
1878,2.1559546325988777e-07,1.1655441056745985e-07
1879,2.7491964260661916e-07,9.286174673661662e-08
1880,2.5029601147252833e-07,8.471557322309309e-08
1881,2.649552754974138e-07,1.1434912750019066e-07
1882,2.469147943884309e-07,9.916524135178406e-08
1883,2.0158691427241138e-07,9.47900815617686e-08
1884,2.3303989848955098e-07,1.1552969425565607e-07
1885,2.043266533746646e-07,1.1086493145739951e-07
1886,2.084468775365167e-07,7.356948827919041e-08
1887,2.2981814140621282e-07,9.466941008895446e-08
1888,2.0606998418770672e-07,1.236419819861112e-07
1889,2.286774929416424e-07,1.0337475941923913e-07
1890,2.5037755335688416e-07,1.0683650231158026e-07
1891,2.371209859575174e-07,1.1473596117639318e-07
1892,2.1563683105796372e-07,1.2725080011932732e-07
1893,2.0569110859014472e-07,1.0099802949525838e-07
1894,2.470203526172554e-07,1.1342770989131168e-07
1895,2.311147966338467e-07,1.2518718506271398e-07
1896,2.1524155613406037e-07,1.1145385059307955e-07
1897,1.526598936152368e-07,1.3168371992833272e-07
1898,1.9973992948507657e-07,1.0864041399827329e-07
1899,2.017566060885656e-07,9.839089898378006e-08
1900,1.4638770551300695e-07,1.1212674877469908e-07
1901,2.2410843314446538e-07,9.836180225875069e-08
1902,1.571290795254754e-07,1.036069861015676e-07
1903,1.7658720707913744e-07,8.532347806067264e-08
1904,2.079979992686276e-07,1.150169808283863e-07
1905,2.1004289862958103e-07,1.3005113430608617e-07
1906,1.6358507082259166e-07,1.4558041527834575e-07
1907,1.429710465572498e-07,1.5634243766271538e-07
1908,1.5814673304248572e-07,1.2229358503645926e-07
1909,1.6998039598092873e-07,1.2762281187406188e-07
1910,1.8490761988232407e-07,1.0688301443906312e-07
1911,1.9206549950467888e-07,1.4205399168076838e-07
1912,2.0056272376223205e-07,1.396124957864231e-07
