year,un_DET habit_NOUN,un_DET rabbi_NOUN
1800,4.892319950045021e-06,0.0
1801,4.238504899944928e-06,0.0
1802,4.46001533305207e-06,0.0
1803,3.8577710057552395e-06,0.0
1804,5.569080201439647e-06,0.0
1805,4.562818617159792e-06,2.842877711017877e-09
1806,4.558800355880521e-06,0.0
1807,3.923104102909747e-06,0.0
1808,5.3456683417607564e-06,0.0
1809,4.518061146541186e-06,0.0
1810,4.7621577792256176e-06,0.0
1811,6.092196713325393e-06,0.0
1812,3.9661386423972544e-06,0.0
1813,4.514914508035872e-06,0.0
1814,4.7577759119121765e-06,0.0
1815,3.2825209927977994e-06,0.0
1816,3.38833693547258e-06,0.0
1817,4.100804687823256e-06,0.0
1818,4.457328415696793e-06,0.0
1819,3.76053645823049e-06,0.0
1820,3.9349251608200575e-06,0.0
1821,4.227620088670392e-06,0.0
1822,4.434330023173061e-06,0.0
1823,4.372100875116303e-06,9.882686891060644e-10
1824,3.960449141970912e-06,0.0
1825,4.17642144157071e-06,2.641632912414593e-09
1826,3.961831225751666e-06,0.0
1827,3.055525930051317e-06,0.0
1828,3.5918731100537116e-06,0.0
1829,3.891364684704968e-06,6.858540846366168e-09
1830,3.922162704839138e-06,1.1480519646056564e-08
1831,3.966402921662393e-06,1.0913843828674885e-08
1832,4.636720348116796e-06,1.3529969367098715e-09
1833,3.826072429546912e-06,3.4750886612755494e-09
1834,3.9102351223618825e-06,3.733812370398937e-09
1835,5.353153511578057e-06,0.0
1836,3.7710129277002125e-06,0.0
1837,3.750303157801227e-06,6.262101948095733e-09
1838,3.732381369303539e-06,0.0
1839,3.2552308084632386e-06,4.194885327990505e-09
1840,3.741555183012224e-06,1.910906599622564e-09
1841,3.3040142781715076e-06,7.0626033910059505e-09
1842,3.0582980059534748e-06,6.708265054555795e-10
1843,3.2423034994621958e-06,3.5441467538532834e-09
1844,3.371623208181518e-06,5.488561383160118e-09
1845,3.5027091840333924e-06,6.69627359117797e-09
1846,3.5408023855154624e-06,5.854501328173001e-10
1847,2.95818311712992e-06,2.3190862563637893e-08
1848,3.2052164016249662e-06,8.045221711050488e-10
1849,3.107925031997638e-06,8.379414939696517e-10
1850,2.7671947577800893e-06,2.0366988096043315e-09
1851,3.089281278789713e-06,3.2247193804124663e-09
1852,3.4212917086051675e-06,8.463709066930392e-09
1853,3.2146908779395744e-06,5.3747386541402875e-09
1854,3.164159625868024e-06,1.0391328908454511e-09
1855,3.4388953302766367e-06,2.653468555990912e-09
1856,3.122362809193646e-06,2.5885946719483854e-09
1857,3.2598717325527105e-06,7.322263739784063e-09
1858,3.389849432267056e-06,9.787352039936081e-10
1859,3.085347813680528e-06,9.675129364339341e-09
1860,3.25163146186469e-06,6.865775808995167e-09
1861,2.998409634358268e-06,8.488734604128467e-09
1862,2.7270565468029417e-06,1.3553959066214816e-09
1863,3.1655907051231225e-06,2.747041377704207e-08
1864,2.7488175931011938e-06,4.9865171658503016e-08
