year,on_PRON appelle_VERB,on_PRON rappelle_VERB
1800,2.923444026237121e-05,4.4332719539852405e-07
1801,2.274267444590805e-05,3.6193974040088506e-07
1802,5.539101766771637e-05,3.289624999069929e-07
1803,2.9658808671229053e-05,4.4662768061698443e-07
1804,1.9853907360811718e-05,3.163969211072981e-07
1805,2.1588813069683965e-05,2.388017250609664e-07
1806,3.7551029890892096e-05,4.0919701405073283e-07
1807,2.3922963919176254e-05,3.131650672116848e-07
1808,1.9490502381813712e-05,3.8976473604179773e-07
1809,2.136591047019465e-05,3.365955620893146e-07
1810,1.8959706721943803e-05,2.8783559002931725e-07
1811,8.919176070776302e-05,3.484836668121716e-07
1812,1.9179893570253626e-05,5.201056012538174e-07
1813,3.978013410232961e-05,2.5881674048378045e-07
1814,5.45067405255395e-05,3.933346306439489e-07
1815,9.95275490822678e-06,4.1806963935187014e-07
1816,2.0292939552746248e-05,3.221469455638726e-07
1817,1.966331183211878e-05,3.2694340745820227e-07
1818,1.4442506653722376e-05,4.4704415813612286e-07
1819,1.5100111795618432e-05,4.999557319251835e-07
1820,1.4454560641752323e-05,3.3107481556271523e-07
1821,1.3845529338141205e-05,4.2108555931008596e-07
1822,1.7195936379721388e-05,2.827223681833857e-07
1823,1.764257285685744e-05,2.529967844111525e-07
1824,1.4462419130722992e-05,2.560018259600838e-07
1825,2.1829573597642593e-05,3.1787650556225344e-07
1826,2.1015850506955758e-05,3.690545327117434e-07
1827,1.661966507526813e-05,3.3274355359935726e-07
1828,2.121094621543307e-05,3.8798833656983334e-07
1829,1.3318428955244599e-05,4.715246717523769e-07
1830,1.2996992154512554e-05,3.037119284954315e-07
1831,1.721269109111745e-05,3.570386297724326e-07
1832,2.425788261462003e-05,4.099580763750055e-07
1833,1.8875522073358297e-05,3.139163311516313e-07
1834,1.689736745902337e-05,5.012642958490687e-07
1835,1.6612322269793367e-05,3.206749283890531e-07
1836,1.4680806543765357e-05,2.9974545867617053e-07
1837,1.4412575183087029e-05,2.838819526118641e-07
1838,1.51895865201368e-05,3.111895807705878e-07
1839,1.2919546406919835e-05,3.4537887927399424e-07
1840,1.3329210560186766e-05,4.879181574324321e-07
1841,1.4676089449494611e-05,3.704656563741082e-07
1842,1.228417477250332e-05,4.1591243871152983e-07
1843,1.2646105915337102e-05,3.2015458373280126e-07
1844,1.3447523997456301e-05,3.693801602366875e-07
1845,1.307279990214738e-05,3.900579343962818e-07
1846,1.4218827800505096e-05,3.7176083367285173e-07
1847,1.1754530987673206e-05,3.958626138000909e-07
1848,1.3789510376227554e-05,3.3629027029746794e-07
1849,1.2450972462829668e-05,3.385283591228472e-07
1850,1.2886193417216418e-05,3.747525951780517e-07
1851,1.3823726931150304e-05,2.8828991105456225e-07
1852,1.349766307612299e-05,3.066466902623688e-07
1853,1.5099432403076207e-05,3.2069274880086596e-07
1854,1.3112298802298028e-05,3.3615948780152394e-07
1855,1.3956183465779759e-05,3.290301009428731e-07
1856,1.3977893104311079e-05,3.385881797157708e-07
1857,1.4622072740166914e-05,3.392648721955993e-07
1858,1.4238639778341167e-05,3.361955407399364e-07
1859,1.3293627489474602e-05,3.656180354028038e-07
1860,1.2090173640899593e-05,3.780753843329876e-07
1861,1.394651917507872e-05,3.404925834615824e-07
1862,1.2662560038734227e-05,3.2755400525275036e-07
1863,1.2160902315372368e-05,2.9118639588432416e-07
