year,on_PRON enverra_VERB,on_PRON renverra_VERB
1800,9.432493541794429e-08,3.144164484325529e-08
1801,1.8573224025431045e-07,9.52473055981784e-09
1802,3.289624999069929e-07,7.161088433349505e-08
1803,1.5797747821011399e-07,1.267720470821132e-07
1804,4.572924297008285e-07,6.673997532402609e-08
1805,1.4782963830839435e-07,1.1371510622026904e-08
1806,4.927654160269412e-07,2.881669036725043e-08
1807,5.693910409831915e-08,2.562259737715067e-08
1808,1.4276266568913343e-07,4.30554059072108e-08
1809,1.1295152724244417e-07,7.454800909911796e-08
1810,1.0764583180389309e-07,9.360507036149102e-09
1811,1.8803075008122505e-07,1.504245972228091e-08
1812,4.267533171287141e-08,1.8670457180292033e-08
1813,2.041776525629757e-07,3.4508900625951355e-08
1814,2.2970742818984036e-07,1.2586708120210233e-08
1815,5.1247247334629265e-08,4.315557644574142e-08
1816,1.6918509082586297e-07,1.8309070526356663e-07
1817,1.8682481339737933e-07,3.580808893843823e-08
1818,1.6212801057235993e-07,2.741870819278347e-08
1819,1.604412744882211e-07,2.6912730710648702e-08
1820,1.6138414338229268e-07,4.865257086095198e-08
1821,1.6863145191337026e-07,4.733514358257196e-08
1822,6.717162648328667e-08,1.2030739071633434e-08
1823,9.388552868472289e-08,4.842516654335327e-08
1824,1.6842225747382145e-07,1.8526447931321854e-08
1825,7.660735334980018e-08,3.16995940607967e-08
1826,1.0745741008122422e-07,2.4662355713189754e-08
1827,1.0231172886676632e-07,1.5669363917503176e-08
1828,8.071625146044425e-08,4.953042775923677e-08
1829,1.4402935732960032e-07,4.2865881511033876e-08
1830,1.1689255963176493e-07,3.548524118990315e-08
1831,1.512347012067039e-07,1.5435293843069076e-07
1832,1.0959275265065571e-07,8.794480166329777e-08
1833,9.3827392078083e-08,5.21263281427764e-08
1834,9.054494753968356e-08,3.920502922305502e-08
1835,1.2630356849285818e-07,3.554651328840919e-08
1836,1.7339534963412007e-07,4.9733551665820386e-08
1837,1.2663361559361874e-07,2.991893133241774e-08
1838,1.0288824014992315e-07,5.807188863116153e-08
1839,2.335152657906292e-07,5.5232654005976656e-08
1840,1.9682338248117048e-07,5.860113549971402e-08
1841,1.1942220368155176e-07,3.0818634311202686e-08
1842,1.3014034294656085e-07,4.82995070605341e-08
1843,1.0455232590800279e-07,2.2446261738195972e-08
1844,2.9144260338398453e-07,6.2020744096003e-08
1845,1.2276501948349505e-07,2.901718476611137e-08
1846,1.4109348356328155e-07,5.561776372786653e-08
1847,1.1865092020002521e-07,6.95725841382e-08
1848,1.6492704446591233e-07,1.1585119086277018e-07
1849,1.0139091699556957e-07,6.116972794956155e-08
1850,1.3645881757895495e-07,7.060555873295016e-08
1851,8.126292705412652e-08,3.160225081622059e-08
1852,8.2032872938953e-08,2.539112742283578e-08
1853,9.555091295965212e-08,1.4929829816878737e-08
1854,1.2053941489398312e-07,1.3508727914057772e-08
1855,8.703376863650192e-08,2.175844215912548e-08
1856,1.4599673292536863e-07,3.882891874695815e-08
1857,9.616572782533694e-08,2.0502338493599837e-08
1858,1.3751229843705914e-07,3.229826095463295e-08
1859,1.395255448954913e-07,3.8700517457357364e-08
1860,1.7576385857864807e-07,3.11248515849627e-08
1861,1.6741671515774215e-07,2.0278644541349422e-08
1862,1.377985814343674e-07,3.117410551922717e-08
1863,1.9778698856498522e-07,1.9978483423166438e-08
1864,1.5678759979209644e-07,4.9865171103391503e-08
1865,2.1604415678666555e-07,2.118079933666195e-08
1866,8.514822447125425e-08,2.238181950886542e-08
1867,1.7615706582319035e-07,2.6690463172940326e-08
1868,1.328826080282397e-07,3.951899252285784e-08
1869,1.357618302222363e-07,6.25090450512289e-08
1870,8.429051590042036e-08,1.7202146374017957e-08
1871,6.585129952441093e-08,7.434824089713743e-08
1872,1.1429471413748615e-07,2.23751550620932e-08
1873,1.6401651947717255e-07,4.2500632346786915e-08
1874,1.2307694952085058e-07,2.0313670745508716e-08
1875,1.424660283078083e-07,3.4901314727164845e-08
1876,1.3482612715165487e-07,2.5997863639659613e-08
1877,1.6451610207468548e-07,2.968711765305443e-08
1878,1.0749577938895527e-07,2.113681096815867e-08
1879,1.472347364028792e-07,3.1157559199357365e-08
1880,1.5531187713690997e-07,2.4387816210946767e-08
1881,1.6803743463356113e-07,4.3229545387823975e-08
1882,1.3643539276131378e-07,2.462492565413754e-08
1883,1.4092125866227434e-07,2.401348897507205e-08
1884,1.8418734981651141e-07,2.3105940272216685e-08
1885,1.4051486019184267e-07,1.99814709223034e-08
1886,2.1554569684667513e-07,3.162197370620845e-08
1887,1.2535535631741368e-07,2.7421482862166613e-08
1888,1.1222888218753724e-07,4.5018364147608736e-08
1889,1.1465200167037892e-07,3.633779366296608e-08
1890,1.3108773089243186e-07,3.604912457433329e-08
1891,1.3577088608940358e-07,1.529812809764053e-08
1892,1.7238409100173158e-07,4.199903358426127e-08
1893,1.755148737458967e-07,3.202376686051167e-08
1894,1.72662176112226e-07,2.6466464575491955e-08
1895,1.2699276297212236e-07,2.7083765452573516e-08
1896,1.2088909429053274e-07,2.5946927273423626e-08
1897,1.369277704554861e-07,3.612562338162206e-08
1898,1.4315637564266126e-07,2.7160102611389902e-08
1899,1.7301320553997357e-07,3.427098604902312e-08
1900,1.5209785786396424e-07,3.6856476981483866e-08
1901,1.430717126993386e-07,3.1855812654413285e-08
1902,1.3945206234211582e-07,3.240787282976498e-08
1903,2.0520837296089667e-07,5.130209324022417e-08
1904,1.6285114057268402e-07,5.320879115089383e-08
1905,1.527584672089688e-07,3.612531429553201e-08
1906,1.3580647184596728e-07,3.343719967574543e-08
1907,1.1108541997373322e-07,4.2685599055403145e-08
1908,1.8466822382379178e-07,4.322022562064376e-08
1909,1.754813716559056e-07,3.410609838994105e-08
1910,1.827699520617898e-07,3.099607326362275e-08
1911,1.6014326220670227e-07,8.193376466181235e-08
1912,1.734737224978744e-07,2.2921454068125513e-08
1913,1.553775987872541e-07,3.7651227913215735e-08
1914,1.4264064063240767e-07,3.616241706083656e-08
1915,1.696429698938573e-07,2.1205371680821372e-08
1916,1.0987462051303964e-07,6.043104239239483e-08
1917,1.7436614996313438e-07,4.825226618265788e-08
1918,1.1486376294556067e-07,1.378365155346728e-08
1919,1.1417731915486229e-07,2.3019620654096684e-08
1920,1.0676846784463123e-07,2.1202249733676126e-08
1921,1.007175391976034e-07,1.5902769767706104e-08
1922,1.0255330096242687e-07,8.853522359686394e-09
1923,1.0403629246980017e-07,2.7601464669402276e-08
1924,1.3149456634664602e-07,3.738571008327085e-08
1925,1.0998178012755488e-07,3.519417024477889e-08
1926,1.1257600007752444e-07,2.0063048999929833e-08
1927,1.3267577969600097e-07,2.0068604555945058e-08
1928,9.712135096151542e-08,2.2852082781632532e-08
1929,1.6376397482531502e-07,2.4508894469477127e-08
1930,1.354964869193509e-07,1.995684728584024e-08
1931,1.3002107124293616e-07,3.5356606531422585e-08
1932,1.457618346023537e-07,5.370172928564898e-08
1933,1.2961848483428184e-07,2.6382522833046096e-08
1934,1.5695870558829483e-07,4.553000465534751e-08
1935,1.0532089689263557e-07,2.8723882827819125e-08
1936,1.2609702793042743e-07,4.243650053581405e-08
1937,1.3598407733184104e-07,5.414180659357726e-08
1938,7.908780652599035e-08,5.315737894306949e-08
1939,1.0399954319950666e-07,5.8117391787959605e-08
1940,1.8004059043619236e-07,3.550096128179803e-08
1941,1.328176182369134e-07,5.312704942639357e-08
1942,1.0619740997697136e-07,3.034211770724937e-08
1943,1.4516175816936538e-07,5.8064704155924574e-08
1944,1.2210107058763242e-07,1.0282195894717461e-07
1945,1.3942426058122237e-07,4.1391576388605245e-08
1946,6.821341003160342e-08,4.037120149291695e-08
1947,9.298279657343755e-08,5.364391997275675e-08
1948,6.631851690030999e-08,2.391815279167986e-08
1949,6.577395517126661e-08,4.319483704051663e-08
1950,7.763813769656736e-08,9.784532473133822e-08
1951,9.16880544821197e-08,3.7314906720098406e-08
1952,7.697707005149823e-08,2.3198567955518e-08
