year,en_ADP aigle_NOUN,en_ADP règles_NOUN
1800,8.17482739279285e-08,1.320549074534938e-07
1801,5.714838380299625e-08,1.04772034603684e-07
1802,4.0281122437590966e-08,1.0741632650024258e-07
1803,3.315576635465334e-08,9.166594594489652e-08
1804,1.9774807569206132e-08,9.640218934237055e-08
1805,5.401467717547348e-08,1.1087222873129576e-07
1806,1.123850994488862e-07,9.221341201737232e-08
1807,7.971474502710407e-08,1.395007984683616e-07
1808,5.211970011131939e-08,5.891792298484688e-08
1809,4.0662548883574345e-08,6.325285539787728e-08
1810,4.212228166267096e-08,1.0530570193623134e-07
1811,1.0028306718368185e-07,7.771937760026049e-08
1812,7.734903562095496e-08,1.3336041604361526e-07
1813,3.738464116054274e-08,6.614205716459765e-08
1814,3.4613449440001887e-08,5.664018942752591e-08
1815,3.506390644503199e-08,1.1867783911156948e-07
1816,3.7081662185300956e-08,7.184571870766376e-08
1817,8.407116069975018e-08,1.1832237589715078e-07
1818,2.2650237685439834e-08,8.344824209416402e-08
1819,7.349245301213614e-08,2.1426673413316166e-07
1820,2.7292907489595564e-08,1.8393045309039735e-07
1821,3.648750634965836e-08,1.5088076565916708e-07
1822,7.819980396561732e-08,1.5439448475262907e-07
1823,8.894417968807744e-08,1.0179167730939298e-07
1824,4.7158231986088595e-08,1.212640228231976e-07
1825,1.937197424695114e-08,1.3296218526193115e-07
1826,3.963593053768477e-08,1.0217262058631604e-07
1827,3.686909327837995e-08,8.664236617050847e-08
1828,1.4675681669906737e-08,1.0823315221841767e-07
1829,4.715246948450158e-08,1.1316592463117559e-07
1830,3.548524252217078e-08,1.5237780814914004e-07
1831,4.6773619422069146e-08,9.198811312671751e-08
1832,6.629685167514054e-08,1.5018265742128278e-07
1833,3.706761175781281e-08,7.18184978154568e-08
1834,4.387229424196448e-08,1.110809151327885e-07
1835,4.310960122211327e-08,1.2025310525132227e-07
1836,3.2259599436201825e-08,1.0685992890557827e-07
1837,3.409366655660051e-08,7.931995327226105e-08
1838,3.1560809077291196e-08,1.04781889831429e-07
1839,2.3771015378315496e-08,1.0696957275513341e-07
1840,2.930056863803543e-08,9.108654808187566e-08
1841,7.576247451623885e-08,9.695028069245382e-08
1842,2.951636712822392e-08,8.519496930148307e-08
1843,4.134837894298471e-08,8.624090241937665e-08
1844,2.140538946093784e-08,6.476502534269457e-08
1845,2.2320911008399946e-08,1.0211817169647475e-07
1846,1.6392604607062822e-08,1.405080354288657e-07
1847,2.8044762956369595e-08,9.815666857093674e-08
1848,4.183515400768556e-08,8.20612626739603e-08
1849,3.4355601030711114e-08,9.46873868201692e-08
1850,6.4495464080494e-08,6.517436190733861e-08
1851,1.5478653025979838e-08,9.093708541740853e-08
1852,1.4974254725075298e-08,7.0313888045348e-08
1853,1.7318602996141408e-08,7.524634071387482e-08
1854,1.662612592046031e-08,1.0547199025268128e-07
1855,4.2455496895854594e-08,9.074862816760287e-08
1856,2.847454005916461e-08,1.289120064029703e-07
1857,3.221796096575247e-08,8.689086428148585e-08
1858,2.6915218498402282e-08,8.270312434888183e-08
1859,2.9025387870973418e-08,8.300242626546606e-08
1860,1.8766453446783515e-08,1.0344435708020683e-07
1861,3.8199305330000044e-08,6.413710451624866e-08
1862,2.6204320519029878e-08,8.58417408267087e-08
1863,1.548332484446746e-08,7.441985161449338e-08
1864,2.5891530919253114e-08,8.34282687378618e-08
1865,1.7415324293779122e-08,8.660593664444605e-08
1866,2.4814625021463144e-08,8.076917623611735e-08
1867,4.804283548764943e-08,7.376273458703508e-08
1868,3.1615194018286275e-08,7.903798859842937e-08
1869,2.6859355628516823e-08,8.643829119137081e-08
1870,3.612450738543771e-08,9.575861525945584e-08
1871,1.3807530452325523e-08,5.2043770182308435e-08
1872,1.2094679036067646e-08,9.373376030907821e-08
1873,1.3767810003173508e-08,7.063485440994555e-08
1874,4.122480135038131e-08,9.081406204813902e-08
1875,4.119499646959568e-08,6.694186538425129e-08
1876,3.567148709748835e-08,6.771536220639973e-08
1877,4.2675229017241634e-08,6.679601227688181e-08
1878,2.8383716710322915e-08,7.0657335982105e-08
1879,4.643087336830831e-08,7.942122692838893e-08
1880,3.337280074511284e-08,6.546203223933844e-08
1881,5.5780060570498335e-09,7.111957955885373e-08
1882,2.5956001792337702e-08,5.657077295495583e-08
1883,2.2749619355000306e-08,8.278333751832179e-08
1884,1.0562715146988921e-08,8.912290638818376e-08
1885,1.4180398189012067e-08,7.605849816627597e-08
1886,3.291266637006629e-08,7.486018205327127e-08
1887,1.3057849135300614e-08,7.051238526400994e-08
1888,1.0779044989916997e-08,5.643147105161006e-08
1889,1.0024218510817917e-08,7.267558288504006e-08
1890,1.0487018364813139e-08,9.37277278012516e-08
1891,1.9760081571007504e-08,7.075384189647593e-08
1892,2.0686091062316336e-08,6.581937839200691e-08
1893,1.1700991342511458e-08,8.129109829724257e-08
1894,1.2603078580752936e-08,8.002955098618258e-08
1895,3.611168697403855e-09,6.921406736637437e-08
1896,1.1794058063507862e-08,1.0791563198608856e-07
1897,4.661370955894029e-09,6.700720689423179e-08
1898,2.1501748825869527e-08,9.902120723381813e-08
1899,1.879376654301268e-08,6.798921248218903e-08
1900,1.5573159761750333e-08,9.032432757294373e-08
