year,son_DET enseignement_NOUN,son_DET renseignement_NOUN
1800,2.8926312367616447e-07,3.144164484325529e-09
1801,2.7145482062174153e-07,0.0
1802,3.177732992298843e-07,2.2378401354217203e-09
1803,2.652461432717246e-07,1.950339223455444e-09
1804,5.957160915670556e-07,4.943701892301533e-09
1805,2.5870187414511747e-07,0.0
1806,3.976703508712376e-07,2.881669125542885e-09
1807,2.2775641150829529e-07,0.0
1808,1.8355198649899762e-07,0.0
1809,2.326801404883838e-07,0.0
1810,3.205973593267686e-07,9.360507036149102e-09
1811,5.089365764376907e-07,0.0
1812,2.480503580315485e-07,0.0
1813,5.981542443578292e-07,0.0
1814,2.6117418938653714e-07,0.0
1815,1.9959454156115441e-07,2.697223555614414e-09
1816,3.592286059728167e-07,2.3176038865813098e-09
1817,3.6430838046275227e-07,0.0
1818,3.242560140392925e-07,0.0
1819,3.3226871432034955e-07,3.1053151161586356e-09
1820,2.9191543760020977e-07,3.5599443393152796e-09
1821,3.5994430902519525e-07,0.0
1822,6.175779390105163e-07,1.0025615893027862e-09
1823,4.842516450054291e-07,0.0
1824,2.8968627585612694e-07,0.0
1825,3.5750098703601907e-07,4.4027217427355936e-09
1826,4.527303865131671e-07,8.807984341885344e-10
1827,4.3782046610374437e-07,1.8434546111834038e-09
1828,9.484159253503321e-07,3.668920500743411e-09
1829,9.24188395146075e-07,8.57317605795771e-10
1830,5.708948940252867e-07,1.0436835395921662e-08
1831,6.766583435791063e-07,0.0
1832,9.24096910992489e-07,1.3529969367098715e-09
1833,1.015884265598288e-06,0.0
1834,9.157174964968817e-07,0.0
1835,1.0187479091428031e-06,0.0
1836,1.090105614665049e-06,1.3441500135158435e-09
1837,9.087005388153102e-07,2.0873671680021744e-09
1838,9.398808806793113e-07,6.312161904276081e-10
1839,1.1326189941485154e-06,6.9914751765765e-10
1840,1.3274431651666418e-06,6.369688665408546e-10
1841,1.4767261760084693e-06,0.0
1842,1.6763954135967651e-06,0.0
1843,1.9303785876445545e-06,0.0
1844,1.9045307979581594e-06,5.488561272137815e-10
1845,1.8291987160523604e-06,1.674068439427856e-09
1846,1.8787095257266628e-06,0.0
1847,1.688079017014843e-06,5.393223645455691e-10
1848,1.729722647780818e-06,0.0
1849,2.0596601473243936e-06,7.54147322368226e-09
1850,2.1799466622951513e-06,0.0
1851,1.785204673865337e-06,6.449438760824933e-10
1852,2.1973090582605437e-06,3.2552727180501506e-09
1853,2.171394513084124e-06,1.0152284346531815e-08
1854,2.273622811799214e-06,5.195664343204953e-09
1855,2.2538562944873775e-06,4.776243400783642e-09
1856,2.330770648484304e-06,4.659470143053568e-09
1857,2.1356601109800977e-06,8.786716354514112e-09
1858,2.344070800575082e-06,8.31924928945682e-09
1859,2.0526550343902272e-06,2.0877910955618972e-08
1860,2.2863034132569737e-06,1.0069804545764782e-08
1861,2.424948576162933e-06,1.0375120595984555e-08
1862,2.2598967106546297e-06,4.0661876643532935e-09
1863,2.80847535805151e-06,7.991393324857654e-09
1864,3.435902129922397e-06,3.356309563606885e-09
1865,2.5661715952196573e-06,2.588764358435469e-08
1866,3.1256697852199977e-06,4.865613079108044e-09
1867,2.593827815644545e-06,1.1161466417775046e-08
1868,3.076553582559427e-06,1.679557115608077e-08
1869,2.9838302850748732e-06,1.4162205630441349e-08
1870,3.0809044631041616e-06,4.587239033071455e-09
1871,2.3950754126644824e-06,5.3105884134652115e-09
1872,2.831968927807793e-06,7.861540751719076e-09
1873,2.4422897979547997e-06,9.577607151811662e-09
1874,2.509335779166122e-06,1.1949218503559678e-08
1875,2.7972546661203523e-06,1.0298748520654044e-08
1876,3.114906846235499e-06,1.874264654588842e-08
1877,2.6192694946303163e-06,2.9068635498674666e-08
1878,2.7773769915029334e-06,1.69094480639842e-08
1879,3.277652908195705e-06,1.4662380531937913e-08
1880,2.7757185279142504e-06,1.0910338410496934e-08
1881,2.7590213136363673e-06,1.2550514016940184e-08
