year,en_PRON amène_VERB,en_PRON ramène_VERB
1800,2.421006684016902e-07,2.2009151834367913e-08
1801,2.9764782993879635e-07,5.000483582762172e-08
1802,3.647679420737404e-07,2.4616241489638924e-08
1803,3.56912067900339e-07,5.851017803593095e-08
1804,2.175228814849106e-07,2.2246657849223084e-08
1805,2.8713066058116965e-07,2.2743021688143017e-08
1806,1.8442682403474464e-07,2.0171682990621775e-08
1807,1.8505208743135881e-07,2.8469551160981155e-09
1808,2.877914084820077e-07,3.172503681980743e-08
1809,4.2695677393567166e-07,8.358412628695078e-08
1810,3.2761775514700275e-07,2.3401266702194334e-08
1811,2.1059445032278745e-07,5.0141535368197765e-09
1812,2.667208320872305e-07,1.8670457180292033e-08
1813,3.163315795973176e-07,2.8757416448144113e-09
1814,4.6570821155000885e-07,5.034683425719777e-08
1815,3.6412518511497183e-07,3.776112933451259e-08
1816,3.4068776244566834e-07,2.3176038865813098e-08
1817,4.094576979696285e-07,2.1796227045456362e-08
1818,1.8358613829150272e-07,6.079800130009971e-08
1819,3.126017134036374e-07,4.243930362690662e-08
1820,3.3107482977356995e-07,3.322614716694261e-08
1821,2.475233600307547e-07,2.2681422962023134e-08
1822,2.556532194830652e-07,2.4061478143266868e-08
1823,2.0061854399955337e-07,1.3835761869529506e-08
1824,2.6610715053720924e-07,2.6105450245950124e-08
1825,3.222792201995617e-07,2.6416328680056722e-08
1826,3.118026370430016e-07,4.492072136486058e-08
1827,4.2583801018736267e-07,4.424290978022327e-08
1828,3.980778728873702e-07,6.237164740241496e-08
1829,2.8377212402119767e-07,6.601345603485242e-08
1830,2.515277515158232e-07,1.0436835395921662e-08
1831,2.946737822639989e-07,4.5214498811674275e-08
1832,2.3677446847614192e-07,5.411987658021644e-08
1833,2.6758181093100575e-07,3.938433579264711e-08
1834,2.7256831458544184e-07,3.827157613045529e-08
1835,2.7605270247477165e-07,4.9916380362446944e-08
1836,2.2850549896702432e-07,4.166864897570122e-08
1837,2.671829975042783e-07,6.470838798122713e-08
1838,1.773717457353996e-07,4.607878167917079e-08
1839,2.817564563883934e-07,6.362242288560083e-08
1840,2.465069428581046e-07,3.503328827036967e-08
1841,2.7158921511727385e-07,4.3017674755674307e-08
1842,2.790638404803758e-07,1.8783142152756227e-08
1843,2.522251065784076e-07,3.071593823733565e-08
1844,2.3710585139724571e-07,6.805815644383983e-08
1845,2.5724850161168433e-07,5.6918324276011845e-08
1846,2.3535095294846542e-07,4.4494210982293225e-08
1847,2.507848932964407e-07,3.613459753637471e-08
1848,2.5181543605867773e-07,5.068489628001771e-08
1849,3.603148286401847e-07,3.5193544078993e-08
1850,2.0095427544220001e-07,2.5119284430275002e-08
1851,1.9154833807988325e-07,3.611685883697646e-08
1852,2.317754166369923e-07,3.059956199535918e-08
1853,2.705285169213312e-07,4.299791100947914e-08
1854,2.6186148716078606e-07,1.7665259477439577e-08
1855,2.3722009245830122e-07,4.9354515141430966e-08
1856,2.4384561925216985e-07,3.831119954611495e-08
1857,2.5627923605497926e-07,3.856392183365642e-08
1858,2.7062029062108195e-07,4.5511185930990905e-08
1859,3.421940562020609e-07,1.9859475841599306e-08
1860,2.2473973615433351e-07,4.851814949802247e-08
1861,2.664519627160189e-07,2.87673795895671e-08
1862,2.3854968844716495e-07,2.4397126097142063e-08
1863,2.4873210691112035e-07,3.096664968893492e-08
1864,2.450105967000127e-07,4.315254997777629e-08
1865,2.51345483093246e-07,4.23615986733239e-08
1866,2.564177918884525e-07,4.038458811805867e-08
1867,2.489492203494592e-07,3.736664666575962e-08
1868,2.193304027287013e-07,3.062721987134864e-08
1869,2.3978080321285233e-07,2.9301114423674335e-08
1870,2.84982235143616e-07,6.192772872282148e-08
1871,3.0482777901852387e-07,5.2043770182308435e-08
1872,2.4794090336399677e-07,4.2936108002322726e-08
1873,3.1426523605659895e-07,4.0106229448610975e-08
1874,2.9634060183525435e-07,3.0470506118263074e-08
1875,2.317218559255707e-07,3.4901315615343265e-08
1876,2.6300165245629614e-07,5.018192439365521e-08
1877,2.1152071383312432e-07,5.00970109840182e-08
1878,2.2827755685739248e-07,2.5968081018845623e-08
1879,2.1016079188029835e-07,3.848874996492668e-08
1880,1.6943114644618618e-07,2.9522093214495726e-08
1881,2.22422997353533e-07,2.998178416646624e-08
1882,1.969993945749593e-07,2.5290463057103807e-08
1883,2.477180771620624e-07,4.9922778799782463e-08
1884,2.0201193251523364e-07,3.234831424947515e-08
1885,2.0626033858661685e-07,2.513797880965285e-08
1886,1.9618529734088952e-07,3.484870347847391e-08
1887,2.0304955228311883e-07,3.7867764035581786e-08
1888,2.0036343073570606e-07,3.61415040117663e-08
1889,2.0549649093482003e-07,3.884384724983647e-08
1890,2.169501982507427e-07,3.998175657216052e-08
1891,1.6891682719233359e-07,3.059625441892422e-08
1892,2.1062201938093494e-07,4.5133290882404253e-08
1893,1.9214259339150885e-07,3.387129154930335e-08
1894,1.9786833149737504e-07,3.906954404442331e-08
1895,1.9259566386153892e-07,4.814891596538473e-08
1896,1.792696764368884e-07,2.94851449922362e-08
1897,1.9519490024322295e-07,3.787363667129284e-08
1898,1.9917409588288137e-07,4.413516663248629e-08
1899,1.69696662055685e-07,2.65323762960179e-08
1900,2.0919944176966965e-07,5.502516486899367e-08
1901,1.5927905394619302e-07,3.353243371861936e-08
1902,1.7382404848831357e-07,3.289890315727462e-08
1903,1.4526592906349833e-07,2.7001101798873606e-08
1904,1.601638359716162e-07,4.407192477628996e-08
1905,1.4966201433708193e-07,1.4966200723165457e-08
1906,1.373497298118309e-07,3.4980455865252225e-08
1907,1.4348532317853824e-07,3.3428481316377656e-08
1908,1.9694670072567533e-07,3.437972395659017e-08
1909,1.3312380531260715e-07,3.5206294768386215e-08
1910,1.4482648680314014e-07,2.8323999146095957e-08
1911,1.377976843741635e-07,2.500575924102577e-08
1912,1.2502610502451716e-07,3.334029585744247e-08
1913,1.4848370710751624e-07,4.454511426388308e-08
1914,1.5268575737081846e-07,4.620753202289052e-08
1915,1.2958838624399505e-07,2.709575319670421e-08
1916,1.5602195446717815e-07,5.6036057571873243e-08
1917,2.0397548894379725e-07,5.592876561877347e-08
1918,1.2175559049865115e-07,3.331049214239101e-08
1919,1.1878124439590465e-07,1.8415697411455767e-08
1920,1.1055458060127421e-07,3.180337415642498e-08
1921,1.2267851445812994e-07,5.6038331308627676e-08
1922,1.3354063810311345e-07,5.1645550058765366e-08
1923,1.358841359433427e-07,4.777176698667063e-08
