year,mon_DET radeau_NOUN
1800,1.4463156716715275e-07
1801,1.1905912700171939e-08
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,4.034336864577881e-08
1807,0.0
1808,1.8128591960930862e-08
1809,5.4216732658929345e-08
1810,0.0
1811,5.264861391296449e-08
1812,0.0
1813,5.751483289628823e-09
1814,2.5173417128598885e-08
1815,0.0
1816,1.0429217844887262e-07
1817,0.0
1818,1.1921177378582115e-09
1819,2.070210003424222e-09
1820,9.493184904840746e-09
1821,5.5224333994630115e-08
1822,6.015369535816717e-09
1823,2.3718449426723964e-08
1824,7.57900142644985e-09
1825,3.169959650328735e-08
1826,2.7304751237799962e-08
1827,2.3043182195703338e-08
1828,4.035812628533364e-08
1829,1.543171707085733e-08
1830,1.0436835840010872e-09
1831,0.0
1832,1.8941957335982806e-08
1833,2.4325620628928846e-08
1834,1.5868701908061666e-08
1835,1.4369867074037757e-08
1836,7.056787909576201e-08
1837,5.0096815140676654e-08
1838,1.4517972823924197e-08
1839,3.355907951529957e-08
1840,1.3376346419402552e-08
1841,1.0272877659645019e-08
1842,4.15912420059783e-08
1843,1.7720733769266417e-09
1844,1.2623690592850068e-08
1845,1.0044410303500229e-08
1846,1.2879903144025207e-08
1847,2.480882876909618e-08
1848,1.3676876908785829e-08
1849,1.9272654583346593e-08
1850,2.308258650884909e-08
1851,7.739326512989919e-09
1852,4.557382027314816e-09
1853,1.3735443227247401e-08
1854,5.195664343204953e-09
1855,5.306937111981824e-09
1856,4.141751386299575e-09
1857,3.1241657483249696e-08
1858,1.9574704079872163e-09
1859,1.8331824502837435e-08
1860,2.4259074915544687e-08
1861,5.187560159214399e-09
1862,2.394532752636458e-08
1863,3.1965574187609036e-08
1864,9.925086885687051e-08
1865,5.7894184557483186e-08
1866,8.75810357570117e-09
1867,1.455843445796745e-08
1868,1.4819622196071691e-09
1869,6.006728647811599e-08
1870,1.3188311775991224e-08
1871,8.496941816815706e-09
1872,1.028047680318167e-08
1873,2.9930022904522957e-09
1874,5.974609140757536e-10
1875,1.4303817408301e-08
1876,1.0278224937820823e-08
1877,2.2265337573657007e-08
1878,1.2682086436566209e-08
1879,1.038585284440785e-08
1880,8.343200130767059e-09
1881,2.1614772693911988e-08
1882,3.9932310791357395e-09
1883,2.211768601600994e-08
1884,7.922036360241691e-09
1885,3.2228177904158883e-09
1886,1.6133659963557534e-08
1887,1.3057849246322917e-09
1888,6.974675947901687e-09
1889,9.397704836544563e-09
1890,1.7696843990222533e-08
1891,1.0198752065093686e-08
1892,5.641661360300532e-09
1893,1.23168328869383e-08
1894,1.3863386882917439e-08
1895,1.0231644642644255e-08
1896,2.948514543632541e-09
1897,5.826713556089658e-10
1898,1.13167097914868e-09
1899,1.6582735185011188e-09
1900,1.661137005726232e-08
1901,7.265360424391076e-09
1902,5.892340837476695e-09
1903,2.1600881083827517e-09
1904,0.0
1905,6.1929109063108e-09
1906,1.5432553013283723e-09
1907,1.5428529565042481e-09
1908,4.911389073214423e-10
1909,1.1001967337165297e-08
1910,1.6032452032632705e-09
1911,2.979409430281521e-08
1912,3.646594803896619e-09
1913,1.590896969716482e-09
1914,0.0
1915,1.7671142660269368e-08
1916,4.394984820521586e-09
1917,3.289927441585405e-09
1918,1.9526839700745313e-08
1919,5.524709134618888e-09
1920,1.817335615328375e-08
1921,1.8931869405491852e-08
1922,6.640141769764796e-09
1923,3.1847844361720945e-09
1924,2.578324886925998e-09
1925,9.898360353588487e-09
1926,2.0063049555041346e-08
1927,1.449399278374841e-08
1928,0.0
1929,2.2280812750352652e-09
1930,2.100720708497761e-09
1931,1.1405356659111021e-09
1932,1.0959536611565568e-09
1933,2.2941324395731044e-09
1934,5.990790086229936e-09
1935,4.787313656606784e-09
1936,2.424942913137329e-09
1937,0.0
1938,1.0372171566075394e-08
1939,1.6823455517567254e-08
1940,0.0
1941,1.4757513433494296e-08
1942,6.068423541449874e-09
1943,3.193558706371391e-08
1944,3.2131861615880553e-09
1945,4.357008087652048e-09
1946,1.1136883415474585e-08
1947,1.549713246618012e-08
1948,9.784699273041042e-09
1949,7.853606653895895e-09
1950,1.8080114516649815e-08
1951,3.1984206394497505e-09
1952,4.2179215675730575e-09
1953,8.188108857609677e-08
1954,9.772536113672459e-10
1955,8.447047505910632e-09
1956,4.360570571293465e-09
1957,3.534015080575159e-09
1958,5.790570356545288e-09
1959,1.55014957536892e-08
1960,1.314958364417862e-08
1961,6.94815938118154e-09
1962,1.5854891455280296e-08
1963,1.939815863494232e-09
1964,4.258777774879263e-09
1965,4.3776345326485e-09
1966,2.2156298795650287e-08
1967,6.902469651404175e-09
1968,9.431972952667067e-09
1969,1.4987800667221052e-08
1970,7.817832714529516e-09
1971,1.3359833239690033e-08
1972,5.130146696341598e-09
1973,6.615844427848572e-09
1974,2.2502286700643026e-09
1975,1.1994107929069742e-08
1976,7.427584713948221e-09
1977,1.2341241639735046e-08
1978,5.346532105932056e-09
1979,7.607565244427406e-09
1980,6.822181042309694e-09
1981,6.3255494731073725e-09
1982,4.345251491955082e-09
1983,5.683784443100137e-09
1984,9.278413870550395e-09
1985,9.624892771675775e-09
1986,8.392279871038966e-09
1987,2.4443267410134695e-09
1988,8.395175221664886e-09
1989,4.939309850016116e-09
1990,7.083246433836621e-09
1991,1.113678349540237e-08
1992,6.611932834577061e-09
1993,1.2740177135484032e-08
1994,8.967375286772494e-09
1995,1.6809596992128917e-08
1996,3.736664311304594e-09
1997,6.712852163026639e-09
1998,6.198567992221626e-09
1999,9.140402212892695e-09
2000,9.719668847552043e-09
2001,7.448059946568719e-09
2002,5.257465740537981e-09
2003,4.583615265119079e-09
2004,1.7178685141061578e-08
2005,9.908249332113428e-09
2006,9.059358041518806e-09
2007,1.198343807518043e-08
2008,8.514879634713424e-09
2009,1.6211854969583328e-08
2010,1.2754241052181925e-08
2011,1.6443078870720385e-08
2012,5.1063792305683364e-08
2013,4.044231438626866e-08
2014,3.139895587978003e-08
2015,4.100664607875615e-08
2016,2.7755955755992545e-08
2017,2.7168602145799525e-08
2018,3.6914973300383735e-08
2019,3.800971581924273e-08
