year,aucun_DET apport_NOUN,aucun_DET rapport_NOUN
1800,0.0,6.090246725598547e-06
1801,0.0,6.236316996144353e-06
1802,0.0,5.055280780652538e-06
1803,0.0,4.9987193051492795e-06
1804,2.4718509461507665e-09,5.32683890508423e-06
1805,0.0,4.599776171509973e-06
1806,2.881669125542885e-09,5.7374030415502375e-06
1807,0.0,6.041238975740271e-06
1808,0.0,6.059481688414081e-06
1809,4.518061036407062e-09,5.679202631947433e-06
1810,0.0,5.480576864780318e-06
1811,2.5070767684098882e-09,4.755924436494752e-06
1812,0.0,6.139913260483354e-06
1813,0.0,6.033305746999673e-06
1814,0.0,4.933989732336386e-06
1815,0.0,6.370842156044887e-06
1816,0.0,5.1682568695810005e-06
1817,3.113746815941454e-09,5.67480347513083e-06
1818,1.1921177378582115e-09,5.40863833697891e-06
1819,1.035105001712111e-09,5.355633156511885e-06
1820,5.933240565525466e-09,5.513167192106039e-06
1821,0.0,5.2758961177623576e-06
1822,2.0051231786055723e-09,5.1531666400705944e-06
1823,0.0,4.430408470312841e-06
1824,3.3684450784221553e-09,5.018140867285581e-06
1825,8.805443485471187e-09,4.9838806033264405e-06
1826,8.807984341885344e-10,5.302406360097045e-06
1827,1.8434546111834038e-09,5.4529387831792064e-06
1828,3.668920500743411e-09,5.60886208678113e-06
1829,0.0,5.556275290530266e-06
1830,1.0436835840010872e-09,5.973001233172681e-06
1831,1.870944643656003e-08,5.382084403038334e-06
1832,1.2176972319366541e-08,5.321336955965705e-06
1833,3.475088550253247e-09,4.684419339984203e-06
1834,9.334530925997342e-10,4.848355189324138e-06
1835,4.5378527602224494e-09,4.606676782259456e-06
1836,6.72075017860152e-09,4.463249996256025e-06
1837,9.74104708006962e-09,4.6471752002119615e-06
1838,6.312161904276081e-09,4.283432967433498e-06
1839,3.4957374772659477e-09,4.5815135987226085e-06
1840,7.0066574764382494e-09,4.445405683561887e-06
1841,1.0914932957462042e-08,4.92456050960044e-06
1842,6.037438549100216e-09,4.75817259726341e-06
1843,9.451057714215949e-09,4.639878746104387e-06
1844,1.2074834465636286e-08,4.266807584585308e-06
1845,1.0044410636567136e-08,4.269432528403172e-06
1846,8.781752214304106e-09,4.69238290712326e-06
1847,1.1325769655456952e-08,4.509274132757923e-06
1848,7.24069959545659e-09,4.5077377395230656e-06
1849,1.005529792763582e-08,4.974858580197861e-06
1850,2.0366988096043315e-08,4.588003385208594e-06
1851,1.1608989325395669e-08,4.254049786212022e-06
1852,5.2735419586724674e-08,4.451259882465308e-06
1853,1.3735443449292006e-08,4.094356386374898e-06
1854,1.2469595134234623e-08,3.946626856432545e-06
1855,3.714855978387277e-09,4.264123788288998e-06
1856,2.485050742961903e-08,3.95174832679146e-06
1857,1.0739319655783675e-08,3.91301779245623e-06
1858,5.3830437884982985e-09,3.995197150885588e-06
1859,1.171199848215565e-08,4.2652043337199075e-06
1860,1.5562425459414442e-08,3.8727555278228465e-06
1861,6.6023493339173456e-09,4.009512153402284e-06
1862,5.421583626485926e-09,3.97221337422593e-06
1863,1.39849385405455e-08,3.986207004480491e-06
1864,6.233146443435089e-09,3.9925701535992175e-06
1865,6.118897832863013e-09,3.92880314059596e-06
1866,2.77339928800302e-08,3.887138293023895e-06
1867,1.6984840200962026e-08,3.607094727797744e-06
1868,9.879748019692158e-09,4.100095470249698e-06
1869,1.953407746668745e-08,4.0938539527246576e-06
1870,1.548193218070537e-08,3.7844720921498265e-06
1871,2.3366590440332402e-08,3.8013193783825727e-06
1872,1.69325495846806e-08,3.922909225906324e-06
1873,2.2746817762708815e-08,4.232105050405721e-06
1874,1.732636717433067e-08,3.894847571572768e-06
1875,1.3159512590732447e-08,3.876334456975883e-06
1876,9.673623679873344e-09,3.80173419856078e-06
1877,1.4843558382438005e-08,4.146919055258991e-06
1878,2.717589886458427e-08,3.7375920065585433e-06
1879,2.443730195977878e-08,3.746849088770432e-06
1880,2.3104246071881107e-08,3.9546770853604585e-06
1881,2.9284532632178895e-08,3.9589897351532954e-06
1882,1.6638463051776853e-08,3.923349591872238e-06
1883,2.5277355319985872e-08,3.7157713848046114e-06
1884,3.1027976632458376e-08,3.614429058274027e-06
1885,2.3848851782304337e-08,3.7313784737591504e-06
1886,7.227879450510954e-08,3.606195583927274e-06
1887,4.113222473733913e-08,3.837048954125066e-06
1888,5.009085568552507e-08,3.3694027159469897e-06
1889,4.8868066926388565e-08,3.723370781472113e-06
1890,5.177965256564221e-08,3.772704767257551e-06
1891,4.398211927991724e-08,3.825806903279272e-06
1892,5.5162907131034444e-08,3.551739027329859e-06
1893,7.513268229786263e-08,3.7412380624601838e-06
1894,6.868677626670205e-08,4.036135784701855e-06
1895,6.018614562286473e-08,3.8266352095917e-06
1896,5.071444775239797e-08,3.7670220436325508e-06
1897,5.826713478374046e-08,3.7687182903312078e-06
1898,5.884689191493209e-08,3.8584321515600095e-06
1899,5.251199475253543e-08,3.7504619285755325e-06
