year,ton_DET appel_NOUN,ton_DET rappel_NOUN
1800,3.144164484325529e-09,9.432493897065797e-09
1801,2.3811825844433088e-09,3.095537337571841e-08
1802,0.0,0.0
1803,0.0,1.950339223455444e-09
1804,0.0,9.887403784603066e-09
1805,0.0,1.421438877713399e-08
1806,0.0,2.0171682990621775e-08
1807,0.0,1.1387820464392462e-08
1808,1.1330369531492579e-08,0.0
1809,4.518061036407062e-09,0.0
1810,7.020380277111826e-09,0.0
1811,0.0,2.5070767684098882e-09
1812,5.3344164641089264e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,1.71256075987003e-08,3.113746815941454e-09
1818,4.768470951432846e-09,7.152706427149269e-09
1819,0.0,2.070210003424222e-09
1820,8.306536791735653e-09,0.0
1821,6.903041693817613e-09,9.861488514673056e-09
1822,3.0076847679083585e-09,4.010246357211145e-09
1823,9.882686891060644e-10,5.929612356680991e-09
1824,3.3684450784221553e-09,3.2842340402794434e-08
1825,3.522177216552791e-09,6.163809906922779e-09
1826,5.2847906051312066e-09,1.7615968683770689e-09
1827,2.7651818612639545e-09,1.8434546111834038e-09
1828,7.337841001486822e-09,9.172301251858528e-10
1829,1.1145129263923081e-08,8.57317605795771e-10
1830,1.461157062010443e-08,2.0873671680021744e-09
1831,7.795603274018958e-09,6.236482441579483e-09
1832,1.0823975493678972e-08,0.0
1833,6.950177322551099e-09,1.0425265983826648e-08
1834,7.467624740797874e-09,0.0
1835,5.294161553592858e-09,4.5378527602224494e-09
1836,2.016225053580456e-08,1.4785650037651976e-08
1837,2.2961039292113128e-08,6.957890930081589e-10
1838,5.680945491803868e-09,6.312161904276081e-10
1839,1.677954131196202e-08,6.292327547896548e-09
1840,3.503328827036967e-08,1.0828470564661075e-08
1841,3.531301828729738e-08,2.5682194149112547e-09
1842,3.152884531232303e-08,7.379091560011375e-09
1843,2.2446261738195972e-08,4.134837805480629e-09
1844,2.0856532945146e-08,1.097712254427563e-09
1845,2.287893430263921e-08,0.0
1846,1.6978054517835517e-08,2.3418005312692003e-09
1847,1.4561703842730367e-08,1.6179670936367074e-09
1848,8.84974404868899e-09,0.0
1849,1.4245005175439474e-08,0.0
1850,1.3577992064028876e-08,4.752297222410107e-09
1851,9.029214709244116e-09,4.514607354622058e-09
1852,1.7578472899515418e-08,3.906327261660181e-09
1853,2.388772735173461e-08,0.0
1854,1.4028294526013951e-08,9.352196350675968e-09
1855,3.02495415382964e-08,2.653468555990912e-09
1856,1.5013848553291353e-08,6.212626857404757e-09
1857,1.7085282522089074e-08,9.274867096564776e-09
1858,2.2021542755989998e-08,9.787352039936081e-10
1859,2.0368693176564534e-08,3.055304009791371e-09
1860,2.334363813361051e-08,5.950338888283113e-09
1861,4.291527133659656e-08,9.431927239234028e-09
1862,3.11741068514948e-08,1.8071945051545413e-09
1863,2.7470414387664732e-08,3.496234635136375e-09
1864,1.582260189536555e-08,9.589455896019672e-10
1865,2.4946274379544775e-08,1.882737743486018e-09
1866,1.6056523222118813e-08,9.731225825149181e-10
1867,2.523461972714358e-08,4.85281148598915e-10
1868,2.321740844024589e-08,0.0
1869,2.197583626184496e-08,3.906815315701806e-09
1870,2.0069171213776826e-08,5.734048791339319e-10
1871,2.0180236148803488e-08,0.0
1872,1.69325495846806e-08,4.8378714367913744e-09
1873,9.577607151811662e-09,3.591602570907071e-09
1874,1.553398404352535e-08,1.1949218281515073e-09
1875,2.7463329388410784e-08,5.721527140956084e-10
