year,en_ADP est_NOUN,en_ADP reste_NOUN
1800,7.671761068195337e-06,6.791395321670279e-07
1801,7.376903607081431e-06,7.786467222103965e-07
1802,6.917163801745119e-06,7.093952945069759e-07
1803,8.140715650029051e-06,7.391785743493529e-07
1804,8.216432204832813e-06,9.664937579145771e-07
1805,7.650183903029628e-06,6.908192631271959e-07
1806,6.140837092161178e-06,6.627839184147888e-07
1807,9.070398920840717e-06,6.320240117929643e-07
1808,7.006700907474794e-06,7.455383297383378e-07
1809,7.99470866130747e-06,7.387029654637445e-07
1810,8.880780999032112e-06,6.575756401616673e-07
1811,5.593288370686622e-06,6.443187317017873e-07
1812,8.90047399604299e-06,7.334822385018924e-07
1813,7.448170994184267e-06,7.218111477413913e-07
1814,6.3814613948665055e-06,5.538151981454575e-07
1815,7.3337510133608674e-06,6.770031291125633e-07
1816,7.261053015739094e-06,6.025770176165679e-07
1817,7.558620296110874e-06,5.090976173960371e-07
1818,6.324184543160527e-06,6.091721616030554e-07
1819,6.584303017476145e-06,6.334842623800796e-07
1820,5.691164250087866e-06,6.5384313074901e-07
1821,6.425745994853571e-06,7.760991138638929e-07
1822,6.3612530709633575e-06,5.343653128875303e-07
1823,5.118243690205304e-06,4.970991653863166e-07
1824,6.258571062289775e-06,5.212668838794343e-07
1825,6.044936586846461e-06,6.190226713442826e-07
1826,5.6776266390556884e-06,5.760421686318296e-07
1827,6.2308767585506075e-06,5.926706307946006e-07
1828,6.092242679223148e-06,7.145222866711265e-07
1829,6.360439297914411e-06,6.875687290630594e-07
1830,6.376906505067836e-06,6.429090717574582e-07
1831,5.584769975364168e-06,7.016042786744947e-07
1832,6.410499479692078e-06,7.955621867949958e-07
1833,6.1983998165260346e-06,7.459856874447723e-07
1834,6.069311909051578e-06,7.150250667109503e-07
1835,5.575508595256906e-06,7.661408290005056e-07
1836,5.732127556612454e-06,6.478803129539301e-07
1837,5.791052836379151e-06,6.770027880520502e-07
1838,5.3583940471391145e-06,6.552024274242285e-07
1839,6.016164573630078e-06,6.376225201165653e-07
