year,un_DET apport_NOUN,un_DET rapport_NOUN
1800,3.458580977167003e-08,1.9163683347755978e-05
1801,1.6668277424969347e-08,3.1614961145010056e-05
1802,0.0,3.078820409996297e-05
1803,9.75169611727722e-09,1.4276483170760912e-05
1804,1.730295728918918e-08,1.3691582068986463e-05
1805,9.097208675257207e-08,1.1348768083507821e-05
1806,3.7461699520235925e-08,1.6535016726493268e-05
1807,1.2811298688575334e-07,1.5826223943804507e-05
1808,3.3991110370834576e-08,1.3920492207830648e-05
1809,1.3554183553310395e-08,1.5777068725242316e-05
1810,9.360507036149102e-09,1.664532091183446e-05
1811,3.259199843341776e-08,1.492212066978027e-05
1812,8.801787165779729e-08,1.574986492869357e-05
1813,3.1633157648869314e-08,1.7947503380355556e-05
1814,2.2026739543434815e-08,1.746720479900432e-05
1815,2.1577788444915313e-08,1.7950022680679467e-05
1816,3.244645441213834e-08,2.074023669251801e-05
1817,1.2454987263765815e-08,1.6288009163645256e-05
1818,5.960588467246453e-09,1.6906614220602023e-05
1819,1.449147024601416e-08,1.7116496934477254e-05
1820,1.4239777357261119e-08,1.7914827367349062e-05
1821,2.2681422962023134e-08,1.7108695374190575e-05
1822,2.5064039732569654e-08,1.68249884211491e-05
1823,2.174191138237802e-08,1.7228487450893226e-05
1824,7.57900142644985e-09,1.8560974069714575e-05
1825,4.402721387464226e-08,1.9199388276547324e-05
1826,3.8755132436563144e-08,1.8900172705116347e-05
1827,7.005127855563842e-08,2.1999787463755638e-05
1828,6.053718948351161e-08,2.0953204568741057e-05
1829,7.715858174606183e-08,2.144837239370645e-05
1830,8.55820516676431e-08,2.1625123366675325e-05
1831,1.02901957177437e-07,2.5494739929854404e-05
1832,1.055337577327009e-07,2.159247881650117e-05
1833,1.3784518471116058e-07,2.196487619698928e-05
1834,7.560969805808782e-08,2.2401941095040456e-05
1835,4.386591001548368e-08,1.9747979507656055e-05
1836,4.435695188931277e-08,1.962929503918076e-05
1837,2.4352618477330168e-08,2.020432386018456e-05
1838,1.4076121290784727e-07,1.9212958960679316e-05
1839,9.718150550952487e-08,2.0180894026111673e-05
1840,7.388838552113697e-08,2.4715666356200927e-05
1841,1.425361801921099e-07,2.318010592716746e-05
1842,1.0800306426972384e-07,2.4106149908220686e-05
1843,2.8057826284566545e-07,2.251123794394516e-05
1844,1.2349262523692062e-07,2.0716025801448268e-05
1845,8.537748641401777e-08,2.1322050457683872e-05
1846,1.1826092660705001e-07,2.1029954382356664e-05
1847,1.3536991438911627e-07,2.5470038281127927e-05
1848,9.654266364123032e-08,2.374064484911287e-05
1849,6.200767188602185e-08,2.6722792483724334e-05
1850,3.061837219320296e-07,2.3314091265547177e-05
1851,1.1737978256043391e-07,2.233505057347429e-05
1852,2.2917120490184573e-07,2.1525816862322245e-05
1853,1.1048074100017402e-07,2.1448193081141653e-05
1854,1.205394181136299e-07,2.1276246570778312e-05
1855,1.5549326093378113e-07,1.9912158109036682e-05
1856,2.3452666980672277e-07,1.963449022923669e-05
1857,1.9037884962935792e-07,1.9613414508512506e-05
1858,1.6638498401277957e-07,2.018886107180151e-05
1859,3.1826084079256134e-07,2.0775557800334354e-05
1860,1.0802153704858597e-07,2.229180194035507e-05
1861,1.9759888081338772e-07,2.4887083384328434e-05
1862,1.9336981438300427e-07,2.7827180701933685e-05
1863,2.1077300349503503e-07,2.622375660621401e-05
1864,1.6110285372405997e-07,2.447852460818467e-05
1865,2.056890966439795e-07,2.1697611828130903e-05
1866,2.8658459605424014e-07,2.1403344305781502e-05
1867,3.1737385874919255e-07,2.3520121601450228e-05
1868,3.3492346773744686e-07,2.368076809489139e-05
1869,3.359861030505229e-07,2.396635892409904e-05
1870,2.66633261691851e-07,2.202448189336792e-05
1871,3.1863532967690844e-07,2.5799901663958735e-05
1872,5.134191205513616e-07,2.5390963514837495e-05
1873,3.9806930995922585e-07,2.445163164566111e-05
1874,3.0769237890915235e-07,2.384227502716385e-05
1875,3.6331698094471676e-07,2.593167766917759e-05
1876,3.700161190778317e-07,2.5139329807188915e-05
1877,4.261338260036496e-07,2.319244072168658e-05
1878,4.293792108533978e-07,2.3536139906354947e-05
1879,3.64115778861418e-07,2.288980829234788e-05
1880,4.0304075055175304e-07,2.4561738712236547e-05
1881,4.943507661003821e-07,2.6158058574310417e-05
1882,5.677043599661147e-07,2.4011963148495852e-05
1883,5.946497978470688e-07,2.584799119631498e-05
1884,6.581891964785314e-07,2.3689528916293057e-05
1885,4.4797167575438834e-07,2.5704549670990673e-05
1886,5.788757331259831e-07,2.4823249475502962e-05
1887,6.319999146242594e-07,2.444755790520503e-05
1888,5.478291029703541e-07,2.415013375411945e-05
1889,6.189954824264987e-07,2.64739617819032e-05
1890,4.981333603382154e-07,2.5311730496468954e-05
1891,6.578195281825572e-07,2.8009597826894606e-05
1892,6.807604426839475e-07,2.6427422085362196e-05
1893,6.995961161493369e-07,2.635494354308321e-05
1894,6.402363910140707e-07,2.6450081918483193e-05
1895,8.733009444483741e-07,2.7980538305882874e-05
1896,6.775686247628698e-07,2.8871264845520273e-05
1897,7.079456931791128e-07,3.114728062314498e-05
1898,7.6783874636277e-07,2.7895690550394647e-05
1899,7.755192577008074e-07,2.7427291485082606e-05
1900,9.421761468786372e-07,2.7607059564616065e-05
1901,8.958748249909831e-07,2.8619931924822595e-05
1902,8.273828333571487e-07,2.6844522096780565e-05
1903,9.639393105942418e-07,2.845807992457594e-05
1904,1.0948111448527698e-06,3.0256451651666794e-05
1905,1.0744699920905987e-06,2.9126808840373997e-05
1906,1.044783822123918e-06,2.7542992086182494e-05
1907,1.0717685223760043e-06,2.822700926685684e-05
1908,9.86698037053202e-07,3.0136773631284086e-05
1909,1.000628888192523e-06,2.6814544753506198e-05
1910,1.1024982509155734e-06,2.656310158499764e-05
1911,1.0922728126416814e-06,2.729032624415595e-05
1912,1.1023135044752053e-06,2.887582172661496e-05
1913,1.1067339062975634e-06,2.7595167296112777e-05
1914,9.89778758508919e-07,2.6463522374342574e-05
1915,1.0367070242267573e-06,2.5704443942231592e-05
1916,1.0141426987075874e-06,2.626113325732149e-05
1917,1.016587521718293e-06,2.889104501946349e-05
1918,1.0624897761601915e-06,2.7432913384473068e-05
1919,1.0404868664437572e-06,2.816128363747339e-05
1920,1.203227679269503e-06,2.676935446288553e-05
1921,1.2366296147092726e-06,2.6604576646604983e-05
1922,1.423941597522571e-06,2.4207006390497554e-05
1923,1.140152826373253e-06,2.347823107129443e-05
1924,1.232439247544903e-06,2.3483382847189205e-05
1925,1.7245143215660619e-06,2.51231382151218e-05
1926,1.5303648588371743e-06,2.3825985607572875e-05
1927,1.3445965354463851e-06,2.308112594562317e-05
1928,1.8075996983668574e-06,2.4693960710919782e-05
1929,1.705596211820648e-06,2.4532288364298438e-05
1930,1.6259578643484929e-06,2.4769598098828283e-05
1931,1.7461601302670715e-06,2.6972528075930313e-05
1932,1.5902287699987028e-06,2.6128631674282587e-05
1933,1.8249823519056463e-06,2.5121897806457127e-05
1934,1.7708774961988638e-06,2.367679968529046e-05
1935,2.077694198021618e-06,2.2924051691575187e-05
1936,2.0599889722916487e-06,2.5008435414974883e-05
1937,2.0712389847687973e-06,2.49984060189945e-05
1938,2.179452515349567e-06,2.3236257476355604e-05
1939,2.3445779078201667e-06,2.1878139818909403e-05
1940,2.462245170420374e-06,2.10064251575659e-05
1941,2.2903661118789387e-06,1.9078513446402212e-05
1942,2.5790798972025186e-06,1.82871936402762e-05
1943,2.702912002661151e-06,1.9021996280343956e-05
1944,2.4613004896423263e-06,1.9957098359668635e-05
1945,2.62727581201716e-06,2.2449484134767772e-05
1946,2.7981418924127865e-06,2.2450564415521512e-05
1947,2.5939815841979907e-06,2.4533152696903926e-05
1948,2.870178391845002e-06,2.2484150633772515e-05
1949,3.3593801802567214e-06,2.494305452671597e-05
1950,3.543702469244181e-06,2.410823651644023e-05
1951,3.051293283817813e-06,2.257445204634223e-05
1952,3.403862741890862e-06,2.2088201163228405e-05
1953,3.4680951372934032e-06,2.3638854813157195e-05
1954,3.3070261480361296e-06,2.2411357818441502e-05
1955,3.525234333778826e-06,2.3864785546834355e-05
1956,3.765789017506904e-06,2.3930812005801272e-05
1957,3.957213593253073e-06,2.401363163073711e-05
1958,4.323074563217233e-06,2.3658615674548855e-05
1959,3.816468307604737e-06,2.4857423611024387e-05
1960,3.758704565370863e-06,2.387341547205324e-05
1961,3.7916104460578026e-06,2.3394451446279163e-05
1962,3.7696589032520933e-06,2.3733503013545487e-05
1963,3.772941965962673e-06,2.4561949587109666e-05
1964,3.574331365996386e-06,2.437541891708861e-05
1965,3.6044349798203257e-06,2.4914213554438902e-05
