year,prochain_ADJ établissement_NOUN,prochain_ADJ rétablissement_NOUN
1800,3.144164484325529e-09,2.829747991484055e-08
1801,2.3811825844433088e-09,1.381085894536227e-07
1802,1.1189200677108602e-08,1.7902721083373763e-08
1803,9.751696339321825e-09,1.755305234496518e-08
1804,9.887403784603066e-09,3.707776485839531e-08
1805,5.685755422035754e-09,3.4114531644036106e-08
1806,4.610670600868616e-08,4.034336598124355e-08
1807,0.0,5.693910232196231e-09
1808,1.5862518409903714e-08,4.5321479902327155e-09
1809,0.0,4.969867006821005e-08
1810,1.1700633351097167e-08,2.8081521108447305e-08
1811,1.2535384286138651e-08,2.0056614147279106e-08
1812,5.3344164641089264e-09,1.0668832928217853e-08
1813,0.0,8.627225156487839e-09
1814,0.0,5.97868634599763e-08
1815,1.0788894222457657e-08,2.966945977789237e-08
1816,9.270415546325239e-09,9.270415546325239e-09
1817,2.490997452753163e-08,1.2454987263765815e-08
1818,2.026600220972341e-08,3.5763532135746345e-09
1819,1.1386155129855524e-08,7.970308502081025e-08
1820,1.4239777357261119e-08,4.153268307049984e-08
1821,3.747365440176509e-08,2.2681422962023134e-08
1822,2.0051231786055723e-08,5.012807946513931e-09
1823,7.906149512848515e-09,2.9648060007048116e-08
1824,1.0105335235266466e-08,1.431589158329416e-08
1825,4.4027217427355936e-09,1.6730341556581152e-08
1826,5.284790383086602e-09,1.2331177856594877e-08
1827,1.3825909306319772e-08,2.1199728195142598e-08
1828,1.2841221419535032e-08,4.219258542548232e-08
1829,1.2859763920403111e-08,2.914879893012312e-08
1830,5.218417697960831e-09,3.026682549034376e-08
1831,1.5591206103948707e-09,2.182768810143898e-08
1832,8.117981842303834e-09,5.0060886991332154e-08
1833,3.359252431778259e-08,3.01174338801502e-08
1834,2.333632664885954e-08,5.414027981487379e-08
1835,1.1344631900556124e-08,1.0588323107185715e-08
1836,2.4866775305554256e-08,3.024337402735e-08
1837,5.5663127440652715e-09,2.7135774516295896e-08
1838,1.2624323808552163e-09,1.7042836475411605e-08
1839,2.4470162784950844e-08,3.425822825420255e-08
1840,1.97460351958334e-08,3.630722389402763e-08
1841,2.1829865470834875e-08,4.6227949468402585e-08
1842,2.4149754196400863e-08,2.4149754196400863e-08
1843,1.7720733769266417e-09,1.7130041385371442e-08
1844,9.330554107123135e-09,2.9089374464774664e-08
1845,9.48638767539478e-09,6.249855033502172e-08
1846,1.5807152919933287e-08,3.3956109035671034e-08
1847,1.240441438454809e-08,3.829188699455699e-08
1848,1.769948809737798e-08,3.218088684420195e-09
1849,2.4300303991253713e-08,1.5920887719289567e-08
1850,1.968808760466345e-08,3.326607966869233e-08
1851,2.192809134271556e-08,4.2566295377355345e-08
1852,3.1250618093281446e-08,5.078225484567156e-08
1853,1.4929829816878737e-08,3.702597695109944e-08
1854,2.4939190268469247e-08,2.5978321716024766e-08
1855,1.6451505047143655e-08,2.653468555990912e-08
1856,1.9673318973900678e-08,3.727576114442854e-08
1857,1.122747050885664e-08,4.1980978693345605e-08
1858,1.7127865348243176e-08,3.0830157982109085e-08
1859,5.092173349652285e-09,4.6338776371612767e-08
1860,1.5104706818647173e-08,4.622955884769908e-08
1861,1.6034276129062164e-08,5.7063161307269183e-08
1862,1.8975542914745347e-08,4.698705780015189e-08
1863,1.897955925755923e-08,2.0477944673302773e-08
1864,1.0068928801842958e-08,2.3014694150447212e-08
1865,1.0355057256106193e-08,1.694463946932956e-08
1866,6.811858188626729e-09,7.784980660119345e-09
1867,3.105799351033056e-08,1.747012134956094e-08
1868,8.397785578040384e-09,1.432563490055827e-08
1869,2.0022428159904848e-08,2.4417595057002472e-08
1870,1.204150201772336e-08,3.7844721134661086e-08
1871,1.274541272522356e-08,2.442870794538976e-08
1872,5.442605477412599e-09,2.2979889990892843e-08
1873,2.454261860407314e-08,1.9155214303623325e-08
1874,2.1508592240593316e-08,1.7326366119618797e-08
1875,8.58229043387837e-09,1.1443054503956773e-08
1876,1.3905833817773328e-08,1.753344314181504e-08
1877,9.27722432209066e-09,1.6699003069220453e-08
1878,4.22736201599605e-09,2.3552445327368332e-08
1879,1.1607718342077078e-08,3.0546626561545054e-08
1880,4.492492600149944e-09,8.984985200299889e-09
1881,1.8128518908255842e-08,2.5798277292210514e-08
1882,6.655385131892899e-09,1.1314154946262533e-08
1883,1.579834751908038e-08,1.1374810426900694e-08
1884,2.178559910248623e-08,3.234831424947515e-08
1885,5.156508553483263e-09,1.8692343672910283e-08
1886,1.7424351739236954e-08,3.291266637006629e-08
1887,1.2404957061562527e-08,9.140494583448344e-09
1888,2.2192152115962926e-08,3.043495055976564e-08
1889,8.14467782106476e-09,8.771191772893872e-09
1890,1.9663159989136147e-08,1.3764211992395303e-08
1891,1.4023283867459213e-08,3.059625441892422e-08
1892,1.3163875989263829e-08,2.820830502514582e-08
1893,1.2932674486876294e-08,1.847524977449666e-08
1894,8.822155450616265e-09,2.520615716150587e-09
1895,6.018614495673091e-09,1.5648398132839247e-08
1896,1.1794058174530164e-08,1.7691087705884456e-08
1897,1.3401440845939305e-08,1.2818770045441852e-08
1898,1.2448380992680086e-08,1.4711722506888236e-08
1899,2.04520400615138e-08,1.713549302451156e-08
1900,1.0901211489056095e-08,1.1939421895590385e-08
1901,6.706486921359556e-09,9.500856101851696e-09
1902,1.5221880644844532e-08,2.5042448115186744e-08
1903,1.1340462791054051e-08,2.4841012802312434e-08
1904,1.3436562973367927e-08,1.5586412160928376e-08
1905,9.805441791854719e-09,2.167518786677647e-08
1906,2.006231980544726e-08,2.1091157265118454e-08
1907,1.3885677496716653e-08,2.8799922446864912e-08
1908,1.1296195090437777e-08,2.4556944921982904e-08
1909,1.9803541639884514e-08,9.901770070541716e-09
1910,8.550641084070776e-09,1.5498036631811374e-08
1911,7.980561100850991e-09,1.0640748726586935e-08
1912,1.614920641657136e-08,1.927485904218429e-08
1913,7.42418571064718e-09,2.7575547179026216e-08
1914,1.4063162190325329e-08,2.209925398233281e-08
1915,1.0602685840410686e-08,1.0602685840410686e-08
1916,7.69122365795738e-09,2.4172416956957932e-08
1917,2.9609346086090227e-08,1.6449636319748606e-08
1918,1.2635013924011673e-08,3.445912710731136e-08
1919,1.012863304339362e-08,1.5653341733923298e-08
1920,8.329454903588385e-09,1.4387239843927091e-08
1921,1.5902768879527684e-08,9.087297137000405e-09
1922,3.172512208493572e-08,1.475587119159627e-08
1923,1.4862327812892318e-08,2.229349149729387e-08
1924,6.445812106292692e-09,1.0313299547703991e-08
