year,rien_PRON envoyé_VERB,rien_PRON renvoyé_VERB
1800,1.2576657937302116e-08,0.0
1801,8.572257570449437e-08,0.0
1802,7.608656460433849e-08,0.0
1803,3.90067853572873e-08,0.0
1804,3.9549615138412264e-08,0.0
1805,5.685755422035754e-09,0.0
1806,8.06867319624871e-08,0.0
1807,3.4163463169534225e-08,0.0
1808,3.3991110370834576e-08,0.0
1809,3.840352036377226e-08,0.0
1810,4.680253518074551e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,2.400487453257938e-08,0.0
1813,8.627225156487839e-09,0.0
1814,6.293354282149721e-09,0.0
1815,8.091670444798638e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,1.8682481339737933e-08,0.0
1818,1.7881765401739358e-08,0.0
1819,4.7614829412623294e-08,0.0
1820,3.559944161679596e-08,0.0
1821,6.01550809165019e-08,0.0
1822,2.8071724500478012e-08,0.0
1823,3.261286707356703e-08,0.0
1824,3.03160057057994e-08,0.0
1825,6.163810439829831e-08,0.0
1826,3.2589543508265706e-08,0.0
1827,3.96342727526644e-08,0.0
1828,8.530240336313e-08,0.0
1829,2.2290258527846163e-08,0.0
1830,4.800944353178238e-08,0.0
1831,2.6505050598757407e-08,0.0
1832,6.764985016616265e-08,0.0
1833,9.03523016404506e-08,0.0
1834,1.297499778729616e-07,0.0
1835,4.235329242874286e-08,0.0
1836,4.973355061110851e-08,0.0
1837,5.357576071673975e-08,0.0
1838,3.787297231383491e-08,0.0
1839,5.872839281551023e-08,0.0
1840,4.58617570586739e-08,2.5478754661634184e-09
1841,4.687000298986277e-08,2.5682194149112547e-09
1842,3.018719141323345e-08,4.024959032733477e-09
1843,6.556670939517062e-08,1.1813822142769936e-09
1844,3.2382512671347286e-08,0.0
1845,3.013322924516615e-08,0.0
1846,3.688335681317767e-08,0.0
1847,3.074137566727586e-08,0.0
1848,1.528592186161859e-08,4.82713291560799e-09
1849,3.267971848686102e-08,0.0
1850,1.8330290174617403e-08,0.0
1851,5.868989205737307e-08,0.0
1852,8.138182039374442e-08,1.9531636308300904e-09
1853,2.8665272822081533e-08,0.0
1854,6.546537179019651e-08,0.0
1855,1.501863238217993e-07,0.0
1856,9.370712206191456e-08,0.0
1857,1.2008511873773386e-07,0.0
1858,5.0894229275399994e-08,4.893676019968041e-10
1859,4.6338776371612767e-08,4.073738679721828e-09
1860,3.982150076353719e-08,2.288591982591015e-09
1861,3.206855225812433e-08,0.0
1862,5.1505043785482485e-08,0.0
1863,6.093437576737415e-08,1.9978483312144135e-09
1864,4.3632024215867204e-08,0.0
1865,5.2245972881337366e-08,0.0
1866,3.503241430280468e-08,0.0
1867,8.346835755901338e-08,4.85281148598915e-10
1868,1.0027944341572947e-07,0.0
1869,3.809144999422642e-08,0.0
1870,6.192772872282148e-08,0.0
1871,3.186353225714811e-08,0.0
1872,3.507456725060365e-08,0.0
1873,6.524744833313889e-08,9.577607151811662e-09
1874,5.556386639682387e-08,7.766991494406739e-09
1875,1.0928116722652703e-07,0.0
1876,4.776351758550845e-08,2.418405919968336e-09
1877,6.061119961486838e-08,0.0
1878,7.18651520514868e-08,0.0
1879,8.003215867802282e-08,6.10932526790009e-10
1880,9.370055664703614e-08,1.2835692508872398e-09
1881,1.443309116666569e-07,0.0
1882,9.38409314699129e-08,0.0
1883,1.308103207975364e-07,1.2638677882037541e-09
1884,4.027035060971684e-08,0.0
1885,1.3278010158046527e-07,4.511945039809007e-09
1886,7.679621916167889e-08,3.2267319927115068e-09
1887,4.243801043912754e-08,0.0
1888,4.2482117379449846e-08,0.0
1889,3.759081934617825e-08,1.2530273485467092e-09
1890,4.129263331265065e-08,0.0
1891,3.1233678754460925e-08,0.0
1892,5.328235630486233e-08,0.0
1893,3.202376674948937e-08,1.847525021858587e-09
1894,4.348062176973144e-08,0.0
1895,4.935263930860856e-08,1.2037228991346183e-09
1896,9.907008546861107e-08,0.0
1897,1.042981736532056e-07,0.0
1898,6.903192684148962e-08,3.3950129374460403e-09
1899,8.733573508834525e-08,5.527578395003729e-10
1900,8.876700974269625e-08,0.0
1901,9.444968895877537e-08,0.0
1902,7.85645397627377e-08,0.0
1903,1.0206416334312962e-07,1.0800440541913758e-09
1904,9.56683265940228e-08,0.0
1905,6.708986433068276e-08,6.192911072844254e-09
1906,7.047533046034005e-08,5.144184522798412e-10
1907,1.218853924456198e-07,2.057137349353866e-09
1908,8.791386107986909e-08,1.964555629285769e-09
1909,5.666013080940502e-08,1.6502950117569526e-09
1910,3.847788576649691e-08,0.0
1911,3.511446777793026e-08,0.0
1912,5.365703970028335e-08,1.5628263128064646e-09
1913,4.719660751106858e-08,7.954484182448596e-09
1914,3.549274296688054e-08,0.0
1915,1.767114277129167e-08,0.0
1916,4.504859418830165e-08,0.0
1917,1.0966424213165737e-08,0.0
1918,5.398596769623509e-08,0.0
1919,1.9336480860943084e-08,0.0
1920,4.240449769099541e-08,0.0
1921,2.9533714140939082e-08,0.0
1922,2.8036154731125862e-08,0.0
1923,3.715581797791856e-08,1.0615948120573648e-09
1924,2.5783249313349188e-08,0.0
1925,4.6192347724627325e-08,1.0998177923937646e-09
1926,3.232380052509143e-08,0.0
1927,3.4562596340492746e-08,1.1149224876660924e-09
1928,2.399468712610542e-08,2.2852082448565625e-09
1929,4.4561623724348465e-08,1.1140406375176326e-09
1930,3.571225093423891e-08,0.0
1931,2.6232321204133768e-08,2.2810713318222042e-09
1932,3.7262424257278326e-08,0.0
1933,2.2941325283909464e-08,0.0
1934,3.4746584276490466e-08,0.0
1935,3.4708023122220766e-08,0.0
1936,3.758661648589623e-08,0.0
1937,5.0364473480613015e-08,0.0
1938,2.9819993585533666e-08,0.0
1939,2.9058696782158222e-08,0.0
1940,2.5357829613881222e-08,0.0
1941,3.5418032950929046e-08,0.0
1942,4.247896612241675e-08,0.0
1943,2.9032351633873077e-08,0.0
1944,4.4984606262232774e-08,0.0
1945,4.574858536443571e-08,0.0
1946,2.645009899993056e-08,0.0
1947,4.0530959921625254e-08,0.0
1948,2.0656587551570738e-08,0.0
