year,mon_DET emplacement_NOUN,mon_DET remplacement_NOUN
1800,0.0,6.288328968651058e-09
1801,0.0,4.7623651688866175e-09
1802,0.0,8.951360541686881e-09
1803,0.0,1.5602713787643552e-08
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,6.7770917766551975e-09
1810,0.0,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,1.6183340889597275e-08
1816,0.0,9.270415546325239e-09
1817,0.0,0.0
1818,0.0,1.1921177378582115e-09
1819,0.0,5.072014630513877e-08
1820,0.0,0.0
1821,0.0,4.930744257336528e-09
1822,0.0,1.4035862250239006e-08
1823,1.087095569118901e-08,2.9648061783404955e-09
1824,1.6842225392110777e-09,3.2000230021367315e-08
1825,0.0,2.6416329346190537e-08
1826,0.0,6.1655889282974385e-09
1827,0.0,9.217273166939322e-09
1828,0.0,1.3758452155343548e-08
1829,2.571952872898464e-09,5.143905745796928e-09
1830,0.0,3.1310507520032616e-09
1831,1.091384405071949e-08,1.5591206548037917e-08
1832,0.0,1.6235963684607668e-08
1833,0.0,4.6334513115198206e-08
1834,0.0,4.013848342587778e-08
1835,3.025235173481633e-09,1.285724948729694e-08
1836,2.016224964762614e-09,6.72075017860152e-09
1837,0.0,1.2524203896191466e-08
1838,6.312161904276081e-10,8.837027110075724e-09
1839,0.0,1.3982950353153e-09
1840,0.0,1.1465439264668476e-08
1841,6.420548537278137e-10,1.219904177673925e-08
1842,3.3541325272778977e-09,1.8112315203211438e-08
1843,2.953455480181333e-09,8.269675610961258e-09
1844,0.0,3.2931368743049916e-09
1845,3.348136878855712e-09,1.0602432709561072e-08
1846,5.854501328173001e-10,4.0981511517657054e-09
1847,0.0,2.2651539310913904e-08
1848,0.0,3.620349886546137e-08
1849,0.0,4.273501730267526e-08
1850,2.7155984128057753e-09,6.1100964288129944e-09
1851,0.0,1.3543821175687754e-08
1852,0.0,6.510545436100301e-09
1853,0.0,5.3747388761848924e-09
1854,2.0782657816909023e-09,6.234797567117312e-09
1855,0.0,4.776243400783642e-09
1856,0.0,2.2779632402603056e-08
1857,3.4170564155999728e-09,2.880090299584026e-08
1858,0.0,1.5170396494568195e-08
1859,0.0,7.638259802433822e-09
1860,4.577183909670879e-10,5.950338888283113e-09
1861,5.659156698811785e-09,1.5091083938045813e-08
1862,0.0,1.3102160245637151e-08
1863,0.0,4.994620717013731e-09
1864,0.0,9.589456340108882e-09
1865,1.882737743486018e-09,1.2708479601997169e-08
1866,0.0,9.731225603104576e-09
1867,4.85281148598915e-10,1.6014277903764196e-08
1868,9.87974813071446e-10,1.1855697756857353e-08
1869,0.0,2.9789466893248573e-08
1870,2.8670243956696595e-09,8.027668307875047e-09
1871,0.0,8.072094459521395e-08
1872,1.8142017887967654e-09,1.4876454201839806e-07
1873,1.7958012854535355e-09,4.190203162224293e-08
1874,5.974609140757536e-10,4.5407028526067705e-08
1875,5.721527140956084e-10,1.21296376498492e-07
1876,2.418405919968336e-09,5.6227936751085394e-08
1877,1.2369631985365004e-09,1.9791411176584006e-08
1878,6.039088673581716e-10,1.3285995414946683e-08
1879,0.0,6.109325489944695e-09
1880,0.0,3.2089231272180996e-09
1881,0.0,4.8807553554297556e-09
1882,0.0,5.989846840748214e-09
1883,1.2638677882037541e-09,1.9589950994713945e-08
1884,6.601696966868076e-10,8.582206056928499e-09
1885,0.0,1.9336907408629145e-08
1886,0.0,3.291266637006629e-08
1887,0.0,2.0892558794116667e-08
1888,6.340614699951175e-10,1.268122939990235e-08
1889,5.6386229019267375e-09,3.3831739187917265e-08
1890,0.0,4.784702323235024e-08
1891,0.0,1.3385862529524672e-08
1892,1.8805537127519756e-09,3.635737333418376e-08
1893,6.158416554491453e-10,2.771287377356657e-08
1894,0.0,2.142523314319078e-08
1895,3.611168697403855e-09,1.0171458342256301e-07
1896,2.948514543632541e-09,7.253345302160596e-08
1897,4.661370844871726e-09,7.516460343026665e-08
1898,0.0,1.1316709347397591e-08
1899,2.2110313580014918e-09,2.819064981451902e-08
1900,9.34389543516545e-09,2.180242297811219e-08
1901,5.588738916095792e-10,1.2295225282343836e-08
1902,0.0,8.347482705062248e-09
1903,5.940242076007962e-09,1.3500550899436803e-08
1904,1.0749250378694342e-09,3.2247751136083025e-08
1905,6.708986699521802e-09,1.9610883583709438e-08
1906,0.0,6.6874399351490865e-09
1907,6.1714118260169926e-09,1.697138252154673e-08
1908,9.822778146428846e-10,2.7994918383456024e-08
1909,0.0,2.7504917177179067e-08
1910,1.8170112525695004e-08,2.8858413880783473e-08
1911,4.25629931299909e-09,2.1281496453973148e-08
1912,2.6047106693738442e-09,7.293189607793238e-09
1913,2.121195941118259e-09,2.1742257771961704e-08
1914,2.678697486047099e-09,1.5402511266415786e-08
1915,2.3561524287174507e-08,2.709575319670421e-08
1916,0.0,6.592477230782379e-09
1917,4.386569774084137e-09,3.289927441585405e-09
1918,1.1486376294556067e-09,1.4932290071101306e-08
1919,5.524709134618888e-09,1.6574126959767455e-08
1920,0.0,1.514446346106979e-08
1921,6.058197943303867e-09,1.3630945261411398e-08
1922,5.902348387820666e-09,2.6560567079059183e-08
1923,2.1231896241147297e-09,1.2739137744688378e-08
1924,1.289162443462999e-09,2.5783249313349188e-08
1925,6.598906976407193e-09,1.4297631523163545e-08
1926,0.0,1.4489979882625903e-08
1927,0.0,2.3413372574054847e-08
1928,1.1426041224282812e-09,1.3711249025050165e-08
1929,1.1140406375176326e-09,1.6710609784809094e-08
1930,1.0503603542488804e-09,1.05036033204442e-08
1931,0.0,2.6232321204133768e-08
1932,1.3151444377967891e-08,1.3151444377967891e-08
1933,1.1470662197865522e-09,2.064719240024715e-08
1934,4.7926320689839486e-09,9.585264137967897e-09
1935,2.393656828303392e-09,1.795242710045386e-08
1936,1.2124714565686645e-09,1.2124715009775855e-08
1937,1.2591118148108649e-09,8.813782592653752e-09
1938,3.8895642262559704e-09,2.9819993585533666e-08
1939,3.058810094103137e-09,1.2235240376412548e-08
1940,2.5357829169792012e-09,1.5214697057785997e-08
1941,8.854508237732261e-09,2.9515025978810172e-09
1942,3.034211770724937e-09,3.034211770724937e-09
