year,bien_ADV acheter_VERB,bien_ADV racheter_VERB
1800,4.7162465932615305e-08,3.144164484325529e-09
1801,7.143547975374531e-09,0.0
1802,3.1329761895904085e-08,0.0
1803,2.7304748684287006e-08,0.0
1804,1.730295728918918e-08,2.4718509461507665e-09
1805,3.980028751016107e-08,0.0
1806,3.458002950651462e-08,0.0
1807,1.4234775136401367e-08,3.701041606518629e-08
1808,2.2660739062985158e-08,3.172503681980743e-08
1809,4.969867006821005e-08,0.0
1810,1.0296557917399696e-07,0.0
1811,2.757784400841956e-08,2.2563691359778204e-08
1812,4.800974906515876e-08,2.6672082320544632e-09
1813,5.463909147351842e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,1.6183340889597275e-08,8.091670444798638e-09
1816,2.7811246638975717e-08,0.0
1817,2.0239355080775567e-08,0.0
1818,5.2453181353939726e-08,7.152706427149269e-09
1819,3.2088255608186955e-08,0.0
1820,4.153268307049984e-08,1.0679833017945839e-08
1821,6.804427243878308e-08,9.86148829262845e-10
1822,3.408709403629473e-08,4.010246357211145e-09
1823,4.249555374258307e-08,0.0
1824,3.2842340402794434e-08,9.263223965660927e-09
1825,5.0191026446100295e-08,4.4027217427355936e-09
1826,3.3470339388941284e-08,3.5231937367541377e-09
1827,5.622536392024813e-08,9.217273055917019e-10
1828,4.1275356466030644e-08,5.503380862137419e-09
1829,4.115124596637543e-08,1.714635211591542e-09
1830,3.1310506187764986e-08,5.218417697960831e-09
1831,6.704218691311326e-08,7.795603274018958e-09
1832,4.8707889277466165e-08,1.3529969367098715e-09
1833,3.243415847009601e-08,2.3167257001688313e-09
1834,3.547121707470069e-08,4.667265685043276e-09
1835,5.974839467626225e-08,1.0588323107185715e-08
1836,6.115882911217341e-08,2.016224964762614e-09
1837,4.383471363667013e-08,2.0873671680021744e-09
1838,4.102905393210676e-08,6.312161904276081e-10
1839,1.0487212875887053e-08,6.9914749545318955e-09
1840,4.0129037870428874e-08,3.821813088222825e-09
1841,4.237562123421412e-08,6.420548537278137e-10
1842,2.95163662400455e-08,2.0124795163667386e-09
1843,4.0757687003178944e-08,9.451057714215949e-09
1844,7.519329159322297e-08,0.0
1845,2.6785095030845696e-08,1.674068439427856e-09
1846,4.742146231251354e-08,0.0
1847,3.7752563741833e-08,3.235934187273415e-09
