year,en_ADP ondes_NOUN,en_ADP rondes_NOUN
1800,2.7354229814591235e-07,1.5720821977538435e-08
1801,2.500241578218265e-07,1.6668277424969347e-08
1802,1.7007585029205075e-07,2.2378401354217203e-09
1803,2.86699872731333e-07,0.0
1804,1.7302956223375077e-07,2.4718509461507665e-09
1805,8.24434565060983e-08,2.842877711017877e-09
1806,6.916006078938608e-08,1.729001475325731e-08
1807,3.9857372513552036e-08,8.540865792383556e-09
1808,7.704651494577774e-08,4.5321479902327155e-09
1809,7.228897658251299e-08,6.7770917766551975e-09
1810,1.0296557917399696e-07,1.1700633351097167e-08
1811,5.264861258069686e-08,5.0141535368197765e-09
1812,2.6672082320544632e-09,0.0
1813,5.463909147351842e-08,0.0
1814,9.440030979135372e-09,0.0
1815,8.90083740046066e-08,5.394447111228828e-09
1816,1.5064425440414198e-07,4.6352077731626196e-09
1817,4.981994905506326e-08,6.227493631882908e-09
1818,1.3351719019283337e-07,0.0
1819,6.83169290027763e-08,1.035105001712111e-09
1820,6.882559233645225e-08,7.119888678630559e-09
1821,1.1439326641493608e-07,1.0847637454958203e-08
1822,6.917674966189225e-08,7.017931125119503e-09
1823,7.41201550136239e-08,1.9765373782121287e-09
1824,3.9579230559638745e-08,0.0
1825,1.1182912373897125e-07,2.641632912414593e-09
1826,3.963592831723872e-08,1.4092774947016551e-08
1827,4.147772969531616e-08,0.0
1828,6.695779575238703e-08,9.172301140836225e-09
1829,5.3153691226270894e-08,2.571952872898464e-09
1830,4.905312778191728e-08,1.1480519646056564e-08
1831,5.456922025359745e-08,0.0
1832,2.2189149717632972e-07,2.3000948701223933e-08
1833,4.40177885252524e-08,1.0425265983826648e-08
1834,9.427876079826092e-08,8.401078055442213e-09
1835,8.24376584773745e-08,3.025235173481633e-09
1836,7.05678786516728e-08,6.048674894287842e-09
1837,6.262101948095733e-08,6.262101948095733e-09
1838,9.341999884782126e-08,1.0730675015224733e-08
1839,3.915226187700682e-08,3.0063343814390464e-08
1840,5.923810419972142e-08,2.5478754661634184e-09
1841,7.31942506604355e-08,1.2841097074556274e-09
1842,2.817471411731276e-08,6.037438549100216e-09
1843,5.0208743829216473e-08,2.008349753168659e-08
1844,5.1043620885593555e-08,2.195424508855126e-09
1845,4.8547981634783355e-08,1.1718478631905782e-08
1846,3.39561074813588e-08,2.9272506640865004e-09
1847,5.3392915866368185e-08,8.629157832729106e-09
1848,4.505324113779352e-08,1.126331028444838e-08
1849,6.452149392544015e-08,3.3517659758786067e-09
1850,7.060555873295016e-08,6.1100964288129944e-09
1851,6.191461210391935e-08,3.8696632564949596e-09
1852,4.492276417522589e-08,5.859490670445666e-09
1853,6.569124955113637e-08,1.7915795513800958e-09
