year,un_DET enseignement_NOUN,un_DET renseignement_NOUN
1800,5.062104833086778e-07,1.1947824418712116e-07
1801,2.6431127975179436e-07,4.7623650800687756e-08
1802,1.8350289110458107e-07,6.265952379180817e-08
1803,3.3740869298526377e-07,2.5354410126965377e-08
1804,3.905524579295161e-07,4.69651695311768e-08
1805,3.354595605742361e-07,1.194008660831969e-07
1806,3.8326200524352316e-07,2.881669125542885e-08
1807,1.8789903322158352e-07,1.224190668835945e-07
1808,2.4246991081611213e-07,2.4926814390369145e-08
1809,1.9427662523163747e-07,8.358412828535222e-08
1810,2.1763179347544792e-07,6.084329839950442e-08
1811,2.732713801911757e-07,1.679741479243546e-07
1812,1.7070132685148565e-07,1.1468995486652034e-07
1813,2.444380506894106e-07,4.026038169513413e-08
1814,4.1536139461229027e-07,1.2272040805783035e-07
1815,3.1557516422253684e-07,1.1598061178119679e-07
1816,3.8472225583063846e-07,3.244645441213834e-08
1817,2.8179408673167927e-07,6.694555310104988e-08
1818,4.756549831785861e-07,1.370935340805346e-07
1819,4.378494088408402e-07,8.177329569036829e-08
1820,5.600979129383177e-07,2.563159995361275e-07
1821,3.5501358452982856e-07,9.36841395571264e-08
1822,4.1806818273926183e-07,1.4938167680611514e-07
1823,5.544187082762164e-07,6.720227219148e-08
1824,4.016870693845931e-07,8.926379191365186e-08
1825,8.180256596546087e-07,9.15766094067294e-08
1826,8.570168805732692e-07,1.4797413472322773e-07
1827,1.065516716636239e-06,1.0507691072803027e-07
1828,8.603618653069134e-07,1.2566052021156793e-07
1829,7.904468262154296e-07,2.0146964241352094e-07
1830,9.434899528315555e-07,2.4944037235741234e-07
1831,1.4858419952190616e-06,2.073630449572761e-07
1832,1.3989988616458504e-06,2.408334580650262e-07
1833,1.4827044978460435e-06,2.455729148920227e-07
1834,1.453386484939756e-06,3.024388073313844e-07
1835,1.309170507113322e-06,2.707585551320335e-07
1836,1.2581243744591575e-06,3.2461221977087007e-07
1837,1.8862842203759556e-06,3.569398074887431e-07
1838,1.4505348122639816e-06,2.4554309696611654e-07
1839,2.125408464337397e-06,2.7616327802348906e-07
1840,1.9433920357414536e-06,4.4014547206927546e-07
1841,2.489888657919437e-06,3.47993720062334e-07
1842,2.1580487725714192e-06,2.8912621807819505e-07
1843,2.9197861834973082e-06,3.520518987443211e-07
1844,3.2119061152968698e-06,4.2207035733099474e-07
1845,2.839219938266524e-06,3.822456124957796e-07
1846,3.064245978734448e-06,4.221095490919424e-07
1847,2.7402969955403478e-06,4.071883932255105e-07
1848,3.3991062409199913e-06,3.580123646429456e-07
1849,4.032174480528283e-06,6.225905053725e-07
1850,4.740076896325718e-06,5.180004034599506e-07
1851,2.580420424891372e-06,4.4178656732896115e-07
1852,3.498767128462532e-06,5.15635196762787e-07
1853,3.017617132172745e-06,4.998506835107719e-07
1854,2.71681294350401e-06,4.494249674635853e-07
1855,2.869460900001286e-06,4.940758664417899e-07
1856,3.3118480153859764e-06,5.518883838817601e-07
1857,3.019701633633076e-06,5.823640307767164e-07
1858,3.1578891324102187e-06,6.611356306862604e-07
1859,2.803750724922338e-06,6.008764543707912e-07
1860,3.485067892938787e-06,7.090058051772985e-07
1861,3.3044757330458197e-06,7.130537298394302e-07
1862,3.5746306856765386e-06,6.040547848584765e-07
1863,3.852350971556007e-06,7.022436676606958e-07
1864,5.323586545813441e-06,7.863353665982231e-07
1865,4.6291815465338004e-06,8.439371974588994e-07
1866,4.285631945322166e-06,8.373719957432968e-07
1867,4.093346277045384e-06,7.361714953191267e-07
1868,4.910728701901235e-06,7.43451060714051e-07
1869,4.49723276574332e-06,8.824518893391087e-07
1870,4.207071754080971e-06,7.964593606857306e-07
1871,4.871933853678456e-06,8.985515762560681e-07
1872,5.310168482708377e-06,9.8571632634048e-07
1873,4.3015427664272465e-06,1.0475507394858141e-06
1874,3.779537657067067e-06,1.0604931368618509e-06
1875,4.359803540410212e-06,1.0172875555269911e-06
1876,3.978277540284125e-06,9.752221856729193e-07
1877,3.582863875806197e-06,9.93899902823614e-07
1878,4.250914365400149e-06,1.00973567285223e-06
1879,5.192926508357232e-06,1.006205849307662e-06
1880,4.452060046844508e-06,9.113341636890482e-07
1881,5.10736198577888e-06,1.1853262478211946e-06
1882,5.86605629848691e-06,1.1413985596675502e-06
1883,4.52591064004082e-06,1.1709735190379433e-06
1884,4.8588490813017415e-06,1.0734358966146829e-06
1885,4.5867145388456265e-06,1.0725537862299461e-06
1886,4.87688266304076e-06,1.1048329930929413e-06
1887,4.888205914710397e-06,1.2391898636110454e-06
1888,4.427017024966062e-06,1.1197525395800767e-06
1889,5.0390494052976464e-06,1.1358692759699807e-06
1890,4.851556788310063e-06,1.148328543365551e-06
1891,5.047107627831338e-06,1.1562834671963174e-06
1892,4.5377761637155345e-06,1.304477411423477e-06
1893,4.160626197347028e-06,1.1793367793444531e-06
1894,4.665029464945292e-06,1.1128518089265071e-06
1895,4.825123056662051e-06,1.1381200089033428e-06
1896,4.9989112653747725e-06,1.1316398413896422e-06
1897,5.419426450714582e-06,1.3145066013464657e-06
1898,5.8054721137068555e-06,1.258983978402739e-06
1899,7.49429068491736e-06,1.3056139991363125e-06
1900,6.819486486620008e-06,1.1217866351387329e-06
1901,7.315659232176586e-06,1.2021377209237016e-06
1902,6.0936624350915736e-06,1.091556068644195e-06
1903,6.324197812546117e-06,1.334934456309611e-06
1904,6.17383212642153e-06,1.3237701281809677e-06
1905,6.791042807208214e-06,1.338700936770465e-06
1906,6.93950508434682e-06,1.2819307890765685e-06
1907,6.320554305716541e-06,1.3134822225424614e-06
1908,6.582734599192008e-06,1.3678218024892885e-06
1909,7.040708723593525e-06,1.193713469405111e-06
1910,7.351948028144761e-06,1.1799885228924722e-06
1911,7.312322068742105e-06,1.2657170032071008e-06
1912,6.862370739213475e-06,1.2429679223657786e-06
1913,6.821766064035728e-06,1.2000665350342388e-06
1914,7.405929054016269e-06,1.3400184712963892e-06
1915,5.017426310871542e-06,1.467882938754883e-06
1916,5.755232422188783e-06,1.3261867017888562e-06
1917,7.18849119607512e-06,1.4037023063906418e-06
1918,7.021621726721605e-06,1.4369456664553582e-06
1919,6.998885339726257e-06,1.2973857792530907e-06
1920,6.836210587835012e-06,1.2077710032087907e-06
1921,6.913918269901842e-06,1.238901525368874e-06
1922,6.0314621208590324e-06,1.0528314220437096e-06
1923,6.326043305193707e-06,1.1327216107304139e-06
1924,5.511169447913744e-06,1.1834510829089595e-06
1925,5.8895243171264156e-06,1.1438105254057973e-06
1926,5.345687839053426e-06,1.14693768438201e-06
1927,5.092965935205029e-06,1.3367920992379823e-06
1928,5.56333927193009e-06,1.1414614728977313e-06
1929,5.3117456246809525e-06,1.2700062939074996e-06
1930,5.550103921336813e-06,1.1049790629158451e-06
1931,6.399545725344069e-06,1.2443243733173404e-06
1932,5.741701329498028e-06,1.619819556708535e-06
1933,5.145738882106343e-06,1.316831991005074e-06
1934,5.338992210113247e-06,1.4964993937383042e-06
1935,5.543709050925827e-06,1.2458983675855961e-06
1936,5.542206807263028e-06,1.2379333327317e-06
1937,6.125579176341489e-06,1.2339296304730851e-06
1938,6.0093770599678464e-06,1.0800023737544961e-06
1939,6.028914896205606e-06,1.0705834796453928e-06
1940,5.457004760955897e-06,1.1182803163478638e-06
1941,5.613758077060993e-06,1.0507349514909947e-06
1942,4.542215151559503e-06,1.0771451925961628e-06
1943,4.717757065009209e-06,1.085809927525716e-06
1944,6.71555905285004e-06,1.2659953512184074e-06
1945,5.385261900414662e-06,1.1589641388809468e-06
1946,6.428765857435792e-06,9.995352634462051e-07
1947,6.017655806545008e-06,1.010889896235767e-06
1948,5.67512553573124e-06,1.038265324382337e-06
1949,6.451738059354284e-06,8.305189300727989e-07
1950,6.438647872641923e-06,1.0401383825353605e-06
1951,5.723040558791581e-06,1.1215794906149767e-06
1952,5.887164078899332e-06,1.0239004843981547e-06
1953,6.439516525347244e-06,1.1258649479373162e-06
1954,6.3892842803170424e-06,1.1863858908611746e-06
1955,6.2189035645587865e-06,1.0577579594439612e-06
1956,6.055088505263484e-06,9.549649995221898e-07
1957,6.575034902311927e-06,1.0513695016811653e-06
1958,7.009898951082505e-06,9.298001657498389e-07
1959,6.912891848287472e-06,9.789194486131692e-07
1960,7.147144600594402e-06,9.301599916966552e-07
1961,6.606310009260596e-06,9.109036742671606e-07
1962,7.458775115765093e-06,9.582696414156544e-07
1963,7.623476960816333e-06,1.0041781060010635e-06
1964,7.477805269218152e-06,1.1492615925590144e-06
1965,7.568930229240323e-06,1.028744158304562e-06
1966,7.777414865017818e-06,1.0607327656231291e-06
1967,6.8457708977121e-06,9.37749838669788e-07
1968,8.364812686068035e-06,8.71783839784257e-07
1969,7.188239891320336e-06,8.384084750900911e-07
1970,7.504659336632358e-06,8.153539354793793e-07
1971,7.977361917710368e-06,8.622231035815275e-07
1972,7.721897247847664e-06,7.613137924522562e-07
1973,7.383833931839945e-06,9.030628014272679e-07
1974,7.676655044974723e-06,7.605772722740767e-07
1975,7.552290185230959e-06,6.84806483519651e-07
1976,7.19904384993697e-06,6.9705025751432e-07
1977,7.4905458973262284e-06,6.505597518469131e-07
1978,6.69148201382086e-06,6.629699758065044e-07
1979,6.574106706125349e-06,5.916345244827426e-07
1980,6.388972408899463e-06,7.22014139142857e-07
1981,7.424930174693145e-06,6.83159324665894e-07
1982,7.1169013722283125e-06,6.635819751465988e-07
1983,7.332713607866026e-06,6.447937650477797e-07
1984,7.252820054759468e-06,6.993604237948148e-07
1985,6.677871027704896e-06,6.087744957028463e-07
1986,6.8768736127822194e-06,6.821724678474084e-07
1987,6.356471516255624e-06,6.343027951771774e-07
1988,6.344353764120569e-06,5.540815930515919e-07
1989,6.349208447886667e-06,5.888754976979271e-07
1990,6.594502323764573e-06,6.58741923231787e-07
1991,6.611732885630772e-06,7.109957387285704e-07
1992,6.788251099010267e-06,6.209707077431403e-07
1993,6.6608968865011775e-06,6.30915737431792e-07
