year,certain_ADJ apport_NOUN,certain_ADJ rapport_NOUN
1800,0.0,5.596612595581973e-07
1801,0.0,4.667117821099964e-07
1802,0.0,7.228223921629251e-07
1803,0.0,3.998195268195559e-07
1804,0.0,3.238124861582037e-07
1805,0.0,3.553597025529598e-07
1806,0.0,7.52115624891303e-07
1807,2.8469551160981155e-09,2.761546511464985e-07
1808,6.798221985349073e-09,1.948823609154715e-07
1809,0.0,4.6761931571381865e-07
1810,0.0,2.8081521463718673e-07
1811,0.0,4.136676636790071e-07
1812,5.3344164641089264e-09,2.4805035536701325e-07
1813,0.0,3.9397659179485345e-07
1814,0.0,4.0277467405758216e-07
1815,0.0,3.506390555685357e-07
1816,0.0,5.052376650382939e-07
1817,0.0,3.456258923506539e-07
1818,0.0,3.945909838876105e-07
1819,0.0,2.898293871567148e-07
1820,0.0,3.370080605691328e-07
1821,0.0,3.6586121154869033e-07
1822,0.0,5.032859462517081e-07
1823,0.0,3.24152125585897e-07
1824,0.0,2.8126515871917945e-07
1825,0.0,3.6718697060678096e-07
1826,6.1655889282974385e-09,3.7962411170155974e-07
1827,1.8434546111834038e-09,2.903441043144994e-07
1828,0.0,3.43044064265996e-07
1829,0.0,3.6693194260806195e-07
1830,0.0,4.769634074364149e-07
1831,0.0,5.020368121222418e-07
1832,0.0,5.006088485970395e-07
1833,0.0,3.4519212022132706e-07
1834,0.0,3.724477721789299e-07
1835,0.0,4.5756681288366963e-07
1836,0.0,4.509623181547795e-07
1837,0.0,3.8616295228166564e-07
1838,0.0,5.308528443492833e-07
1839,0.0,4.7611945319658844e-07
1840,0.0,4.879181574324321e-07
1841,0.0,4.99518648666708e-07
1842,0.0,5.480652589540114e-07
1843,0.0,5.280778623273363e-07
1844,0.0,5.367812718759524e-07
1845,0.0,5.267735332381562e-07
1846,0.0,5.33930517576664e-07
1847,1.0786447290911383e-09,4.870080942964705e-07
1848,0.0,4.6340477410922176e-07
1849,8.379414939696517e-10,4.826542863156646e-07
1850,0.0,5.42440773187991e-07
1851,0.0,4.927371151097759e-07
1852,0.0,5.247499643701303e-07
1853,4.180352064508952e-09,5.6793072644723e-07
1854,5.195664454227256e-10,4.6137500930854003e-07
1855,0.0,5.084045824332861e-07
1856,5.177189232874468e-10,5.472289217323123e-07
1857,0.0,4.944968736708688e-07
1858,7.34051397444091e-09,5.358575094760454e-07
1859,6.110608019582742e-09,4.532034267867857e-07
1860,3.204028820036342e-09,4.7511167622360517e-07
1861,0.0,5.682736059497984e-07
1862,0.0,4.23335308141759e-07
1863,0.0,4.615029638443957e-07
1864,0.0,5.048848379374249e-07
1865,0.0,4.5938801918055105e-07
1866,0.0,4.5250200741975277e-07
1867,6.308654931785895e-09,4.2753268303385994e-07
1868,4.93987406535723e-10,4.470585963645135e-07
1869,0.0,5.786970405097236e-07
1870,5.734048791339319e-10,4.793664629687555e-07
1871,7.434824311758348e-09,4.7476663667112007e-07
1872,4.8378714367913744e-09,3.948912592477427e-07
1873,1.7958012854535355e-09,5.165921947991592e-07
1874,5.974609251779839e-09,4.773712589667412e-07
1875,1.1443054281912168e-09,4.834690230381966e-07
1876,5.441413541973361e-09,4.0145539514924167e-07
1877,1.8554447978047506e-09,4.187120339338435e-07
1878,1.2078177347163432e-09,4.595746361246711e-07
1879,6.10932526790009e-10,3.427331591865368e-07
1880,3.2089231272180996e-09,3.1254910481948173e-07
1881,0.0,3.374693733348977e-07
1882,6.655385131892899e-10,3.1879295647740946e-07
1883,5.0554711528150165e-09,3.8231999610616185e-07
1884,1.5183903911974994e-08,4.007229961189296e-07
1885,1.2891271383708158e-09,3.744914351955231e-07
1886,8.38950331427668e-09,3.18801113508016e-07
1887,7.834709769838355e-09,3.238346550915594e-07
1888,3.804368819970705e-09,3.189329333963542e-07
1889,5.6386229019267375e-09,2.7879858066626184e-07
