year,en_ADP aliments_NOUN,en_ADP ralliement_NOUN
1800,3.144164484325529e-09,0.0
1801,7.143547975374531e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,7.4155526164076946e-09,0.0
1805,1.9900143755080535e-08,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,1.7549536934780008e-08,0.0
1812,1.3336041604361526e-08,0.0
1813,0.0,0.0
1814,6.293354282149721e-09,0.0
1815,6.74305908887618e-08,0.0
1816,0.0,0.0
1817,6.227493631882908e-09,0.0
1818,8.940882878505363e-08,0.0
1819,1.7596784473994376e-08,2.070210003424222e-09
1820,6.882559233645225e-08,0.0
1821,2.5639868894700157e-08,0.0
1822,2.0051231786055723e-08,2.7069162911175226e-08
1823,1.581229902569703e-08,0.0
1824,4.884245186076441e-08,0.0
1825,1.937197424695114e-08,0.0
1826,2.3781558056157337e-08,0.0
1827,1.1982455028203276e-08,0.0
1828,5.503380862137419e-09,0.0
1829,1.714635211591542e-09,6.001223074036943e-09
1830,1.1480519646056564e-08,0.0
1831,1.5591206103948707e-09,0.0
1832,8.117981842303834e-09,1.7588959622116818e-08
1833,1.2741991461950875e-08,0.0
1834,2.42697808516823e-08,4.667265685043276e-09
1835,2.0420337421001022e-08,0.0
1836,3.965242711956307e-08,0.0
1837,8.071153700939249e-08,0.0
1838,5.7440672662778525e-08,0.0
1839,3.8453112694014635e-08,0.0
1840,8.790170369366024e-08,4.458782232319436e-09
1841,1.1364370777755539e-07,8.154096775569997e-08
1842,1.0397810967788246e-07,0.0
1843,6.615740488769006e-08,2.3627644285539873e-09
1844,4.171306500211358e-08,0.0
1845,9.318980431771706e-08,3.348136878855712e-09
1846,8.196301592988675e-08,3.5127007969038004e-09
1847,9.869599182366073e-08,5.393223645455691e-10
1848,1.1021953838508125e-07,2.413566457803995e-09
1849,1.6004682379389124e-07,1.5920887719289567e-08
1850,1.0115603998883671e-07,6.788996032014438e-10
1851,1.4188765362632694e-07,6.449438760824933e-10
1852,1.210961499964469e-07,2.6042181744401205e-09
1853,8.121827477225452e-08,0.0
1854,1.408025127602741e-07,0.0
1855,2.1015470963448024e-07,0.0
1856,1.5842199729831918e-07,0.0
1857,7.419893677251821e-08,0.0
1858,1.189163256754e-07,4.404308473482388e-09
1859,9.82789458703337e-08,0.0
1860,1.556242494871185e-07,0.0
1861,1.4289369687503495e-07,0.0
1862,7.409497726484915e-08,0.0
1863,1.0538649775071462e-07,0.0
1864,9.493561492490699e-08,0.0
1865,1.0684536988492255e-07,4.706844358715045e-10
1866,8.90407179099384e-08,0.0
1867,8.443892340892489e-08,0.0
1868,7.261614598519373e-08,0.0
1869,9.278686263769487e-08,0.0
1870,1.0607990219568819e-07,1.7202146374017957e-09
1871,1.635661277532563e-07,2.1242354542039266e-09
1872,8.466275147611668e-08,6.047339295989218e-10
1873,9.936767497720211e-08,0.0
1874,9.858104732529682e-08,0.0
