year,en_ADP an_NOUN,en_ADP rangs_NOUN
1800,4.904896533375336e-07,4.307505321321514e-07
1801,5.643402785082685e-07,1.0239084957675004e-07
1802,6.064546766992862e-07,2.1483265300048515e-07
1803,5.265915992147541e-07,1.9308357934733067e-07
1804,3.6830580740776497e-07,1.5819846055364906e-07
1805,4.918178508894755e-07,1.1655798459742073e-07
1806,4.3801370352980484e-07,1.123850950079941e-07
1807,4.526658616832435e-07,6.263301344233696e-08
1808,5.483899125913183e-07,5.4385775882792586e-08
1809,5.421673359151669e-07,2.710836710662079e-08
1810,5.943921879136838e-07,1.193464669313471e-07
1811,5.515568854974617e-07,5.766276700569506e-08
1812,3.6807472891808857e-07,9.068507722531649e-08
1813,4.658701489024253e-07,7.476928232108548e-08
1814,5.286417530392384e-07,1.6992056828257773e-07
1815,5.529308373386499e-07,7.012781111370714e-08
1816,5.400016984680178e-07,6.721051448721482e-08
1817,5.433488123873786e-07,5.1376822796100896e-08
1818,6.115563999653517e-07,4.410835785506606e-08
1819,4.896046665869846e-07,1.0144029261027754e-07
1820,5.517913699293331e-07,3.797273961936298e-08
1821,5.581602378068595e-07,3.155676253641104e-08
1822,5.323601897089247e-07,6.115625694746996e-08
1823,5.33665093671587e-07,8.597937939391898e-08
1824,5.793725446068265e-07,5.72635645568198e-08
1825,5.60906715518783e-07,1.0742640754735078e-07
1826,4.6241916806799566e-07,1.2066937926658028e-07
1827,6.286180035952604e-07,7.097300586123012e-08
1828,5.851928263078676e-07,6.328887991458032e-08
1829,5.735454887134672e-07,1.2945495148075636e-07
1830,3.7781346229337487e-07,1.1793624432598904e-07
1831,3.80425425827724e-07,1.3564348932959547e-07
1832,3.368962461225422e-07,1.1906372776593344e-07
1833,6.544750054127135e-07,1.2162809837068522e-07
1834,4.424567656702294e-07,1.0361329572106115e-07
1835,4.4092801942952065e-07,1.9512766868956533e-07
1836,3.8913142974550397e-07,1.6533044905342464e-07
1837,4.167776712638016e-07,1.0158520502567825e-07
1838,3.888291648657116e-07,7.44835075838779e-08
1839,4.1669192585302994e-07,1.5031671030119043e-07
1840,3.471480304884089e-07,1.324895279597449e-07
1841,3.7239181560622114e-07,9.566617364953345e-08
1842,5.138531156134718e-07,1.0464893307471357e-07
1843,3.378753090643727e-07,1.1518476505933961e-07
1844,3.485236398370617e-07,1.0647808773578404e-07
1845,3.5546052618018464e-07,1.328094237362798e-07
1846,3.2843752117983627e-07,1.1123552301484096e-07
1847,4.0395245015645287e-07,9.869599093548231e-08
1848,3.1456817606301257e-07,1.2309189401094045e-07
1849,4.725990050413742e-07,9.971503645012092e-08
1850,3.91725066606341e-07,7.807345525634446e-08
1851,4.456562066046388e-07,1.257640604990229e-07
1852,3.359441413941511e-07,6.380334838240742e-08
1853,5.482233342846143e-07,1.1645266795312637e-07
1854,3.3044426805961535e-07,1.070306892003714e-07
1855,4.1022623520348134e-07,1.3851105507001193e-07
1856,3.748285001270446e-07,1.3305376000971592e-07
1857,3.656250328054611e-07,1.1129840704615646e-07
1858,3.0976968945495287e-07,1.1549075717987023e-07
1859,3.5288760402707453e-07,1.0846328990510301e-07
1860,3.748713676143822e-07,1.9910750381768594e-07
1861,3.2870266553075567e-07,1.787350306092783e-07
1862,3.6189069990699707e-07,1.6535829419628278e-07
1863,3.995696622460798e-07,9.38988700127652e-08
1864,3.452204173637341e-07,1.2130661830589418e-07
1865,3.8266645119300335e-07,1.9298062170491903e-07
1866,3.824371657135117e-07,1.8635297749369784e-07
1867,3.663872796266787e-07,1.7955403031066908e-07
1868,4.5249248004086695e-07,1.8475128760186976e-07
1869,3.8775141508740063e-07,1.816669092935541e-07
1870,4.157185449216172e-07,1.227086383615017e-07
1871,3.887350770170883e-07,2.315416596232467e-07
1872,5.049528292166983e-07,2.1165688224300538e-07
1873,5.453249966036466e-07,1.6401652319641968e-07
1874,4.451083851497728e-07,2.031367156152264e-07
1875,3.804815484897972e-07,1.6020275950268115e-07
1876,4.885179869518197e-07,2.2249334175050706e-07
1877,3.525345166899285e-07,1.880184121727524e-07
1878,5.398945350232331e-07,1.835882929013266e-07
1879,4.1909971393305767e-07,1.527331300321677e-07
1880,4.3577175246056754e-07,1.8290861625303023e-07
1881,4.2741470163143447e-07,1.9732197131805407e-07
1882,4.199548004901743e-07,2.1230678726169572e-07
1883,4.069654357952146e-07,2.3634327411814482e-07
1884,3.366865382048445e-07,2.8321281231313833e-07
1885,4.202554444443507e-07,2.9005359736267167e-07
1886,4.491610913204269e-07,3.033128095353277e-07
1887,3.3166937818407405e-07,2.9380159421998897e-07
1888,4.7237579248182726e-07,2.54258654575068e-07
1889,3.2265454574798014e-07,3.051121622021924e-07
1890,3.454161583427151e-07,2.752842238606945e-07
1891,3.5823116739663874e-07,3.1488646090593875e-07
1892,3.2658949455921515e-07,2.707997406314888e-07
1893,2.7528121826492224e-07,2.826713230152933e-07
1894,3.610781962315457e-07,4.127508117512946e-07
1895,2.8167116128408054e-07,3.292182166880764e-07
1896,2.954411550959435e-07,2.85416205558775e-07
1897,3.018237670904256e-07,3.624215836328659e-07
1898,2.8744442459593955e-07,3.1856537152652464e-07
1899,2.802482299557596e-07,3.3773502750023e-07
1900,2.678583330695261e-07,3.592208874803049e-07
