year,on_PRON envoie_VERB,on_PRON renvoie_VERB
1800,1.0564392596279504e-06,3.0812811147029606e-07
1801,1.7287385105646536e-06,7.429289610172418e-07
1802,1.1502498011850548e-06,5.572221937200084e-07
1803,1.4178966694089468e-06,5.714494051289876e-07
1804,1.0332337012641801e-06,4.1774281100970256e-07
1805,1.0660791360805888e-06,2.1037295638848263e-07
1806,8.78909077073331e-07,3.458003092760009e-07
1807,8.654743623992545e-07,3.786450406551012e-07
1808,8.135205860071437e-07,3.081860526776836e-07
1809,1.2356896945675544e-06,3.0271009876514654e-07
1810,7.277794082938271e-07,2.3869292320455315e-07
1811,1.230974703503307e-06,3.434695230453144e-07
1812,8.668426687563624e-07,3.547387024127602e-07
1813,9.489947672136623e-07,2.875741671459764e-07
1814,7.803759416447065e-07,2.5488084531843924e-07
1815,5.879947480025294e-07,2.9399735979040997e-07
1816,7.578564691357315e-07,2.804300720526953e-07
1817,9.465790071772062e-07,5.355644532301085e-07
1818,9.262755042982462e-07,4.351229705434889e-07
1819,1.0299294501692202e-06,5.568864906990711e-07
1820,1.0703566033498646e-06,4.14140203019997e-07
1821,9.328967962574097e-07,3.905149483784953e-07
1822,8.040543946208345e-07,2.686865059331467e-07
1823,9.408318106807201e-07,2.688090745550653e-07
1824,7.469527076864324e-07,3.0737061251784326e-07
1825,8.127423996029393e-07,2.8881854063911305e-07
1826,8.094537662373114e-07,3.549617701992247e-07
1827,7.189472910340555e-07,2.6269227504371884e-07
1828,8.062452678814225e-07,2.944308654662109e-07
1829,6.781382353437948e-07,2.8291481157793896e-07
1830,7.59801665140003e-07,3.694639758577978e-07
1831,7.670873429788116e-07,6.517124262472862e-07
1832,7.022054120398025e-07,4.55959977330167e-07
1833,8.456049016558609e-07,3.5445902568653764e-07
1834,6.982229194818501e-07,3.9765100723343494e-07
1835,7.018545318260294e-07,2.064723076955488e-07
1836,7.386104527995485e-07,2.681579225338737e-07
1837,8.558205593089951e-07,2.3865566589620357e-07
1838,6.179606728551335e-07,2.1966323160427237e-07
1839,9.165824224055541e-07,3.8872602203809947e-07
1840,7.962110686321466e-07,5.102120610445127e-07
1841,6.170147202055887e-07,3.7945443409626023e-07
1842,6.621057622169246e-07,2.73026383723618e-07
1843,6.344022409621175e-07,2.805782699510928e-07
1844,7.673008610709076e-07,3.2437397123885603e-07
1845,6.032226593788437e-07,2.4273991527934413e-07
1846,6.281879763037068e-07,3.1438671754813186e-07
1847,5.776142444346988e-07,4.395477191110331e-07
1848,7.916498105942082e-07,3.749073442804729e-07
1849,7.197917710755064e-07,6.07507587346845e-07
1850,6.958721172622973e-07,4.4264253062920034e-07
1851,7.145977889422284e-07,1.8574383275904438e-07
1852,6.126423102159606e-07,1.9466531497869255e-07
1853,7.208121530766221e-07,2.0244848641937097e-07
1854,6.41664570366629e-07,1.9275915263960997e-07
1855,6.946780644057071e-07,2.080319383424012e-07
1856,8.842638976602757e-07,1.9103828208244522e-07
1857,1.137391620886774e-06,2.587199823267383e-07
1858,8.828191653265094e-07,2.177685800575091e-07
1859,9.349230083444127e-07,2.0623301821842688e-07
1860,8.930085755309847e-07,2.5861089625323075e-07
1861,9.568690302330651e-07,3.027648745046463e-07
1862,8.069123680343182e-07,2.5662161462491895e-07
1863,7.027431792039351e-07,2.627170516689148e-07
1864,7.599643936373468e-07,2.402158720826719e-07
1865,7.80865462957081e-07,2.0521842003518032e-07
1866,7.804443384884507e-07,2.2965692991760989e-07
1867,7.822732044360237e-07,2.994184740146011e-07
1868,6.861485246645316e-07,2.2377629704806168e-07
1869,7.418065877118352e-07,2.690819016493151e-07
1870,6.198506738996912e-07,2.7236731625635e-07
1871,7.753459527748419e-07,3.813002678043631e-07
1872,7.341469938637601e-07,2.5035983952648166e-07
1873,8.571958431957682e-07,2.2926396781031144e-07
1874,8.041823917892543e-07,2.1867069222025748e-07
1875,8.198948080462287e-07,2.3000539073336768e-07
1876,7.853773240640294e-07,2.1161051932949704e-07
1877,8.231990165086245e-07,2.269827419354442e-07
1878,7.452235450955413e-07,1.8419220992882401e-07
