year,un_DET athée_NOUN,un_DET raté_NOUN
1800,8.206269654920106e-07,0.0
1801,3.3098437524081703e-07,0.0
1802,6.154060372409731e-07,0.0
1803,3.569120750057664e-07,0.0
1804,7.267242025932319e-07,0.0
1805,4.0937439615973403e-07,0.0
1806,5.331088095417158e-07,0.0
1807,2.2490945106312665e-07,0.0
1808,2.5153421034929124e-07,0.0
1809,2.3268014248678526e-07,0.0
1810,2.3401267590372754e-07,0.0
1811,2.1059444277327088e-07,0.0
1812,4.0541565793361656e-07,0.0
1813,2.415622994966782e-07,5.751483289628823e-09
1814,1.6048053330663947e-07,0.0
1815,2.778140275605523e-07,0.0
1816,7.485860802347588e-07,0.0
1817,5.355644603355358e-07,0.0
1818,4.4108355456984327e-07,0.0
1819,5.682726715861008e-07,3.1053151161586356e-09
1820,6.716428160302712e-07,0.0
1821,9.427582590149086e-07,0.0
1822,4.792244254758771e-07,1.0025615893027862e-09
1823,3.794951766167287e-07,0.0
1824,3.461077380251254e-07,0.0
1825,4.314667005900219e-07,0.0
1826,3.8667051960317167e-07,1.7615968683770689e-09
1827,4.673157523171767e-07,0.0
1828,3.522163645186538e-07,0.0
1829,4.1151245044890317e-07,0.0
1830,5.875938562382998e-07,0.0
1831,5.831111111742615e-07,3.1182412207897414e-09
1832,4.004870933771443e-07,0.0
1833,5.258967448185103e-07,2.3167257001688313e-09
1834,4.19120445682708e-07,8.401078055442213e-09
1835,2.6848961454106757e-07,0.0
1836,3.165473181354628e-07,3.36037508930076e-09
1837,2.3448092800748555e-07,1.1828414692161004e-08
1838,3.2570756580696525e-07,1.2624323364462953e-08
1839,2.4749822324920956e-07,3.4957374772659477e-09
1840,2.3440453755796398e-07,1.9109065441114126e-09
1841,2.4141262899846083e-07,6.420548537278137e-09
1842,3.7499202720781e-07,5.366612043644636e-09
1843,5.333940791274472e-07,5.906911071384968e-10
1844,3.578542016047237e-07,0.0
1845,2.823595275924795e-07,1.674068439427856e-09
1846,2.903832552192398e-07,1.1709002656346001e-09
1847,3.41930377345534e-07,4.314578916364553e-09
1848,2.992822378811155e-07,3.218088684420195e-09
1849,2.279200934651726e-07,6.703531951757213e-09
1850,3.496332841024241e-07,1.3577992064028876e-09
1851,3.656831737419708e-07,1.2898877521649865e-09
1852,3.7761164706218153e-07,6.510545436100301e-10
1853,3.624962694459555e-07,4.180352064508952e-09
1854,3.2317033138440365e-07,2.5978321716024766e-09
1855,4.601114547142515e-07,1.5920811335945473e-09
1856,2.9820609803721254e-07,2.5885946719483854e-09
1857,3.9344963043141945e-07,0.0
1858,3.655575855354698e-07,6.361778603913848e-09
1859,3.859867268030115e-07,5.601390462572908e-09
1860,3.107907922128561e-07,3.661747127736703e-09
1861,2.971057100897845e-07,0.0
1862,2.435194597083523e-07,2.2589932147099034e-09
1863,4.065621285187504e-07,9.989241656072068e-10
1864,3.140546860347371e-07,4.794728170054441e-09
1865,3.1159309732409213e-07,3.2947911621228343e-09
1866,4.0871148154764114e-07,6.3252967308358166e-09
1867,2.960215059744087e-07,3.396968040192405e-09
1868,4.0408169788008763e-07,9.385760946223343e-09
1869,3.647988746635633e-07,6.348574776993132e-09
1870,3.5551103216846514e-07,9.747882945276842e-09
1871,2.59156714754738e-07,2.1242354542039266e-09
1872,2.709208068996105e-07,2.8422494358082417e-08
1873,2.460247818802941e-07,7.1832053083475955e-09
1874,1.911874946136649e-07,2.9873046258899194e-08
1875,4.439904918163151e-07,1.2015206607429718e-08
1876,3.7243451234125757e-07,2.4788660679675445e-08
1877,3.259397906019146e-07,1.2988113473610952e-08
1878,2.258619176132015e-07,8.4547240319921e-09
1879,4.417042038795671e-07,6.659164597522249e-08
1880,5.070098367809805e-07,1.4761046607247863e-08
1881,3.0260682870597577e-07,1.4642266066289267e-08
1882,2.895092534593857e-07,2.3959387140948252e-08
1883,3.064879456893266e-07,2.6541224329434954e-08
1884,2.7331026419830096e-07,6.733730995023279e-08
1885,1.882125553742675e-07,2.127059778311846e-08
1886,2.52975779879705e-07,5.679048142859244e-08
1887,1.8280988633989637e-07,3.525619307609418e-08
1888,2.1748308576263753e-07,2.9800888867725916e-08
1889,1.9985785826293068e-07,4.57354966121315e-08
1890,2.3726878373153681e-07,8.389614541970403e-08
1891,2.26922228119264e-07,5.354344700947422e-08
1892,2.657849365039766e-07,6.456567880341879e-08
