year,rien_PRON enseigné_VERB,rien_PRON renseigné_VERB
1800,2.5153315874604232e-08,0.0
1801,1.904946067554647e-08,0.0
1802,8.951360541686881e-09,0.0
1803,1.5602713787643552e-08,0.0
1804,1.9774807569206132e-08,0.0
1805,1.1371510844071508e-08,0.0
1806,4.8988376022407465e-08,0.0
1807,0.0,2.8469551160981155e-09
1808,1.1330369531492579e-08,0.0
1809,1.8072244145628247e-08,0.0
1810,2.8081521108447305e-08,0.0
1811,4.512738271955641e-08,0.0
1812,5.867858021701977e-08,0.0
1813,3.738464116054274e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,3.244645441213834e-08,0.0
1817,3.580808893843823e-08,0.0
1818,4.172412104708201e-08,0.0
1819,7.03871378959775e-08,0.0
1820,2.3732962262101864e-08,0.0
1821,5.818278125957477e-08,0.0
1822,6.917674966189225e-08,0.0
1823,3.755420863171821e-08,0.0
1824,5.9789897477458e-08,8.421112696055388e-10
1825,4.6668848341369085e-08,0.0
1826,4.315912249808207e-08,0.0
1827,3.502563927781921e-08,0.0
1828,5.870272801189458e-08,0.0
1829,4.543783305166471e-08,0.0
1830,3.444155893816969e-08,0.0
1831,6.080570358335535e-08,0.0
1832,1.7588959622116818e-08,0.0
1833,7.066013552048389e-08,0.0
1834,3.640467127752345e-08,0.0
1835,4.4622218808854086e-08,0.0
1836,7.661655132551459e-08,0.0
1837,6.818733311320102e-08,0.0
1838,5.23909449157145e-08,0.0
1839,3.915226187700682e-08,0.0
1840,3.4396318682183846e-08,0.0
1841,9.309795245826535e-08,0.0
1842,7.781587640920407e-08,0.0
1843,9.805472700463724e-08,0.0
1844,6.641159444598088e-08,0.0
1845,7.644912614068744e-08,0.0
1846,9.308656956363848e-08,0.0
1847,3.343798482546845e-08,0.0
1848,5.551202875153649e-08,0.0
1849,5.027649052635752e-08,0.0
1850,9.436704573317911e-08,0.0
1851,9.996630012665264e-08,0.0
1852,6.054807499822346e-08,0.0
1853,5.852493245583901e-08,5.971931837933653e-10
1854,7.429800064073788e-08,5.195664454227256e-10
1855,7.16436545644683e-08,0.0
1856,6.937433738585241e-08,0.0
1857,4.490988203542656e-08,9.763018171682347e-10
1858,5.138359782108637e-08,0.0
1859,6.263373109050008e-08,0.0
1860,5.080674014834585e-08,4.577183909670879e-10
1861,4.527325359049428e-08,0.0
1862,3.5692092836825395e-08,0.0
1863,5.4940830551686304e-08,0.0
1864,5.0824116470948866e-08,0.0
1865,3.388927893865912e-08,0.0
1866,2.0435575009969398e-08,0.0
1867,4.124889585455094e-08,0.0
1868,3.112120694481746e-08,0.0
1869,7.129938239813782e-08,0.0
1870,4.816600807089344e-08,0.0
1871,1.3807530230280918e-08,0.0
1872,4.5959779981785687e-08,0.0
1873,5.267683889087493e-08,5.986004469882289e-10
1874,4.301718448118663e-08,0.0
1875,3.089624556196213e-08,0.0
1876,5.562333527109331e-08,0.0
1877,1.5462040536817767e-08,0.0
1878,3.38188961279684e-08,0.0
1879,3.29903571127943e-08,0.0
1880,3.016387850607316e-08,0.0
1881,2.5798277292210514e-08,0.0
1882,2.994923420374107e-08,0.0
1883,1.8326083761621703e-08,0.0
1884,1.9144920315739e-08,0.0
1885,1.4180398189012067e-08,1.933690763067375e-09
1886,3.549405036551434e-08,6.453463874400711e-10
1887,2.0892558794116667e-08,3.264462256069578e-09
1888,2.3460273723685532e-08,0.0
1889,1.8795409673089125e-08,2.5060546970934183e-09
1890,2.3595791986963377e-08,0.0
1891,1.9122660788184476e-08,0.0
1892,2.5074049503359674e-08,1.8805537127519756e-09
1893,1.847524977449666e-08,0.0
1894,4.537108111435373e-08,0.0
1895,3.5509824414248214e-08,0.0
1896,1.592197840238896e-08,0.0
1897,1.2236098356765979e-08,0.0
1898,2.546259736391221e-08,0.0
1899,1.7688250864011934e-08,0.0
1900,1.764958135197503e-08,0.0
1901,2.2913829056392387e-08,0.0
1902,2.0132164380015638e-08,3.437198747846537e-09
1903,4.104167317109386e-08,0.0
1904,2.2573425795258117e-08,0.0
1905,3.560923644840841e-08,0.0
