year,on_PRON apporte_VERB,on_PRON rapporte_VERB
1800,1.2167916452199279e-06,2.2323567918647313e-06
1801,1.3144127706254949e-06,2.6026325485872803e-06
1802,1.2061958329923073e-06,3.3254303843932576e-06
1803,1.2540681382233743e-06,3.138095848953526e-06
1804,1.2210943793888873e-06,3.806650511251064e-06
1805,1.176951371917312e-06,2.868463639060792e-06
1806,1.0662175782272243e-06,4.47523223101598e-06
1807,1.0647611929925915e-06,2.926669822045369e-06
1808,1.0559904808360443e-06,3.956565251428401e-06
1809,1.3621954337850184e-06,3.1897510552880703e-06
1810,1.0015742759605928e-06,3.760583808798401e-06
1811,1.3713710131924017e-06,4.1441979874434764e-06
1812,1.0188735473093402e-06,3.112632043666963e-06
1813,9.144858381660015e-07,3.896629891642078e-06
1814,8.905096109401711e-07,3.854679334835964e-06
1815,7.498281604512158e-07,2.9076069267830462e-06
1816,1.3720215576995543e-06,3.5714275554710184e-06
1817,1.091368289962702e-06,3.006322572218778e-06
1818,8.654774745764371e-07,3.401111825951375e-06
1819,1.0599475217532017e-06,3.985154194197094e-06
1820,1.0976494877468213e-06,3.087658342337818e-06
1821,1.1084312916409544e-06,3.050158284167992e-06
1822,9.805052059164154e-07,3.4187348774139537e-06
1823,8.686882040365163e-07,3.217802941435366e-06
1824,8.387428493961124e-07,2.935599923148402e-06
1825,1.2186733329144772e-06,3.7114942870175582e-06
1826,8.869640168995829e-07,2.976217956529581e-06
1827,8.157286828236465e-07,2.876710937016469e-06
1828,9.089750392377027e-07,2.517796701795305e-06
1829,1.0004896751070191e-06,2.5402321170986397e-06
1830,1.0259409464197233e-06,2.5956410354410764e-06
1831,8.715483943433355e-07,2.5741081799424137e-06
1832,9.660398347932642e-07,2.089027248075581e-06
1833,1.04831838143582e-06,2.460362793499371e-06
1834,9.166509329361361e-07,2.552060777816223e-06
1835,9.10595815639681e-07,2.4655666948092403e-06
1836,8.844507135563617e-07,2.7749977107305313e-06
1837,9.260952680278933e-07,2.6307785674362094e-06
1838,7.92807554717001e-07,2.3531739543614094e-06
1839,8.564557134604911e-07,2.8210602067701984e-06
1840,7.777389896546083e-07,2.544053586461814e-06
1841,8.288928370348003e-07,2.441092533445044e-06
1842,8.41887242586381e-07,2.75173033514875e-06
1843,9.675520260543635e-07,2.56123666986241e-06
1844,8.073673427588801e-07,2.6806133064383175e-06
1845,7.661653143031799e-07,2.6796253678185167e-06
1846,8.553426198432135e-07,2.4366435127376462e-06
1847,8.246238820674989e-07,2.3584567543366575e-06
1848,9.21982390877929e-07,2.621937710500788e-06
1849,9.384944519297278e-07,1.6909659166230995e-06
1850,9.063309960311017e-07,2.4433596763628884e-06
1851,7.907011791985497e-07,2.5043170808203286e-06
1852,7.62384885888423e-07,2.138714194188651e-06
1853,8.515974911915691e-07,2.6634816094883718e-06
1854,8.120823764556917e-07,2.6243301363138016e-06
1855,7.652603386532064e-07,2.2819829155196203e-06
1856,7.667417349921379e-07,2.2898707356944215e-06
1857,7.102595560581904e-07,2.3406835225614486e-06
1858,8.147970476102273e-07,2.276538111800619e-06
1859,8.101647637204223e-07,2.1494063275895314e-06
1860,8.353360811952371e-07,2.2176456013767165e-06
1861,7.309743637051724e-07,1.9689148302859394e-06
1862,7.260403975806184e-07,2.02857586373284e-06
1863,8.845473615792798e-07,1.965383319202374e-06
1864,7.427033779094927e-07,1.9730305211851373e-06
1865,7.766293066424623e-07,1.9138029756504693e-06
1866,7.609818482023911e-07,1.7740024986778735e-06
1867,7.93919980424107e-07,2.0396366835484514e-06
1868,7.345592791807576e-07,1.8070059013552964e-06
1869,7.105520438699386e-07,1.6652800240990473e-06
1870,7.22490128168829e-07,2.2769908127884264e-06
1871,1.1067266569853018e-06,1.7355003478769504e-06
1872,7.160050046195465e-07,1.7313532225671224e-06
1873,6.913835193245177e-07,1.7616811760490236e-06
1874,8.43614813561544e-07,1.7123229554272257e-06
1875,8.05591028552044e-07,1.5585439996357309e-06
1876,8.936009692206426e-07,1.6608402688689239e-06
1877,9.029831460338755e-07,1.7725682823765965e-06
1878,8.044066390766602e-07,1.8250126458951854e-06
1879,7.581672747392076e-07,1.5810933859938814e-06
1880,7.592312130100254e-07,1.655162520819431e-06
1881,8.701689608869856e-07,1.4398228245227074e-06
1882,8.066326842026683e-07,1.4868130620016018e-06
1883,7.779106141470038e-07,1.6645138884996413e-06
1884,7.585349806049635e-07,1.4193648212312837e-06
1885,7.502719796548263e-07,1.4122387597126362e-06
1886,7.344041961232506e-07,1.3700703789254476e-06
1887,8.57247798080607e-07,1.0792312536977988e-06
1888,7.672143880199656e-07,1.346112526334764e-06
1889,7.912867800996537e-07,1.4184269616634992e-06
1890,8.166765468331505e-07,1.190276577744953e-06
1891,7.037138942678212e-07,1.187517227663193e-06
1892,1.5539642390649533e-06,1.2104497386644653e-06
1893,7.100654357827807e-07,1.0013585267643066e-06
1894,7.656369973574328e-07,1.2136764837578085e-06
1895,6.788997097828542e-07,1.0231644580471766e-06
1896,6.923112039203261e-07,1.0703107591325534e-06
1897,7.009536062696498e-07,1.133295796762468e-06
1898,8.334756671501964e-07,1.264076445295359e-06
1899,7.484341182362186e-07,1.5410888636324671e-06
1900,7.116933886663901e-07,1.1996523880952736e-06
1901,7.3436031300389e-07,1.129484132889047e-06
1902,7.08062913190588e-07,1.3905923879065085e-06
1903,6.663871516821018e-07,1.028741991149218e-06
1904,7.142876796706332e-07,1.1243716073749965e-06
1905,7.446975445191129e-07,1.0770504275114945e-06
1906,7.453923558387032e-07,1.2742144690491841e-06
1907,6.654839097564036e-07,9.858830480879988e-07
1908,6.394628542238934e-07,9.862069134669582e-07
1909,7.376819155524572e-07,1.2349707958492218e-06
1910,7.877277994339238e-07,9.063679442533612e-07
1911,5.996061531732266e-07,9.991662750508112e-07
1912,6.58991808677456e-07,1.0944993960038119e-06
1913,6.888583499176093e-07,8.903719788122544e-07
1914,6.442267448392158e-07,1.0025025289905898e-06
1915,5.536957985441404e-07,1.0543781741034763e-06
1916,7.845047917953707e-07,8.053809494867892e-07
1917,7.314604886232701e-07,9.376292950946663e-07
1918,6.972230153223791e-07,1.2910687132716703e-06
1919,6.16005067399783e-07,8.415973411501909e-07
1920,5.770040445440827e-07,9.53343942455831e-07
1921,6.656445208363948e-07,9.988453655296325e-07
1922,6.234355396372848e-07,9.86429967042568e-07
1923,5.923699291088269e-07,9.384498014242126e-07
1924,7.206417933502962e-07,1.0558240717273293e-06
1925,6.246965114087288e-07,9.656400266067067e-07
1926,6.219545269914306e-07,1.0722585273015284e-06
1927,6.979414592933608e-07,9.075469336039532e-07
1928,6.444287095064283e-07,7.49548320300164e-07
1929,6.918192383409405e-07,8.344164257323428e-07
1930,7.037414349042592e-07,8.781012468261906e-07
1931,6.888835173413099e-07,7.652994185036732e-07
1932,6.520924387132254e-07,8.789548360255139e-07
1933,5.815625740979158e-07,8.992998914436612e-07
1934,6.625814137350972e-07,1.0052545746930264e-06
1935,6.438936708264009e-07,1.014910509411493e-06
1936,6.389724660493812e-07,1.0063513400382362e-06
1937,5.200131667493224e-07,9.97216574205595e-07
1938,6.703015742459684e-07,1.0112867414591165e-06
1939,6.255266598031994e-07,1.0965834178477962e-06
1940,6.187310361838172e-07,9.43311249557155e-07
1941,4.929009378429328e-07,1.1865040505654179e-06
1942,5.582949853533137e-07,1.177274157271313e-06
1943,6.038728983526198e-07,1.2512943499132234e-06
1944,6.554899698585359e-07,1.0924832736236567e-06
1945,5.6423253624871e-07,9.868623180864233e-07
1946,5.916469376643363e-07,8.895585494883562e-07
1947,6.222694679536289e-07,1.0228107498733152e-06
1948,7.414627276602914e-07,1.0697937398163049e-06
1949,5.203014552535024e-07,8.265920996564091e-07
1950,6.85980793946328e-07,8.412571048665995e-07
1951,5.767818436197558e-07,8.539782641037164e-07
1952,5.546566796965635e-07,9.52195790659971e-07
1953,5.850188244949095e-07,9.308586754741555e-07
1954,6.02965471330208e-07,9.225274197888211e-07
1955,6.053716958831501e-07,1.0108299761668604e-06
1956,6.776327268198656e-07,8.616487718882127e-07
1957,4.7002400549445156e-07,9.179604205655778e-07
1958,5.898109520785511e-07,9.331090211617266e-07
1959,5.107742708787555e-07,1.6625353680410626e-06
1960,5.896549879480517e-07,8.900191517113853e-07
1961,5.106896878714906e-07,1.0123467859557422e-06
1962,5.10527499386626e-07,8.32698873409754e-07
1963,5.476747020338735e-07,1.1128077517241763e-06
1964,7.20950225741035e-07,9.119868593643332e-07
1965,5.942639091927049e-07,9.920814818542567e-07
1966,5.732942298664057e-07,9.914944030242623e-07
1967,5.719189175579231e-07,1.1418657663853082e-06
1968,6.184679932630388e-07,1.037517051827308e-06
1969,4.950515943846767e-07,1.0064535160836385e-06
1970,5.279336363628317e-07,9.243437375516805e-07
1971,5.09729034092743e-07,1.0842018696166633e-06
1972,5.981751058925511e-07,9.916573731061362e-07
1973,4.443642183105112e-07,1.0535732144489884e-06
1974,4.753608067176174e-07,1.0677335069431138e-06
1975,5.094640442848686e-07,8.915620526295243e-07
1976,4.5136863491279655e-07,9.330189527645416e-07
1977,4.389956060890654e-07,1.024323069032107e-06
1978,4.372275199671094e-07,9.451480877942231e-07
1979,4.8863978463487e-07,1.0001022303640639e-06
1980,4.1672155504102193e-07,9.590849003870972e-07
1981,4.902300929643388e-07,1.1088688438576355e-06
1982,5.046699200761395e-07,1.0298246309048409e-06
1983,4.471243784109902e-07,8.664613915243535e-07
1984,4.4826334288927683e-07,1.0270043730997713e-06
1985,4.05448616902504e-07,1.0112153177033179e-06
1986,4.717660218034325e-07,9.219518801728555e-07
1987,4.027028381869968e-07,9.386214401274628e-07
1988,3.9217463410068376e-07,8.98883399713668e-07
1989,3.962424344194915e-07,7.979729730323015e-07
1990,3.8249529410450123e-07,8.042208889946778e-07
1991,4.284730934500658e-07,8.059514584601857e-07
1992,3.8514510691811665e-07,8.050028554862365e-07
1993,4.315042474445363e-07,8.29773256327826e-07
1994,4.0353187102937227e-07,7.585344405924843e-07
1995,4.055993230167587e-07,9.662807372023963e-07
1996,4.286488177740466e-07,7.500019307826733e-07
1997,3.9366084791936373e-07,7.633471739154629e-07
1998,3.728677171466188e-07,7.762514258047304e-07
1999,3.5327654757111304e-07,9.103840739044244e-07
2000,3.923211835399343e-07,9.273448142721463e-07
2001,3.9430906184634296e-07,8.556506543300202e-07
2002,3.7809940778288365e-07,9.713168367397884e-07
2003,3.408542994520758e-07,8.267175246601255e-07
2004,3.849787688636752e-07,8.664224537824339e-07
2005,3.9768108450743966e-07,8.525598218511732e-07
2006,3.656686260455899e-07,8.178129178304516e-07
2007,3.5311197876808365e-07,1.0405618695585872e-06
2008,3.597536419874814e-07,7.66339155688911e-07
2009,3.433098640925891e-07,7.981954297520133e-07
2010,3.547568638850862e-07,7.161270048072765e-07
2011,3.8354438913756894e-07,7.647944073596591e-07
2012,3.877443930377922e-07,9.13020556936317e-07
2013,3.589603920772788e-07,6.275531347910146e-07
2014,4.1035187337001844e-07,5.400620466389228e-07
2015,3.9521540884379647e-07,7.201653602351143e-07
2016,4.405740412494197e-07,6.6262168729736e-07
2017,3.2778416425571777e-07,5.680250581008295e-07
2018,3.5107947837786924e-07,4.829924193927582e-07
2019,3.377507766799681e-07,5.341768343214426e-07
