year,en_PRON emplit_VERB,en_PRON remplit_VERB
1800,4.7162465932615305e-08,1.3991532341606217e-06
1801,5.714838380299625e-08,1.4453778476308798e-06
1802,2.0140561218795483e-08,1.0450713716636528e-06
1803,2.7304748684287006e-08,1.2579688473124406e-06
1804,7.4155526164076946e-09,9.64021865001996e-07
1805,1.9900143755080535e-08,9.381496397509181e-07
1806,3.7461699520235925e-08,7.492339477721544e-07
1807,4.839823830593559e-08,1.178639422505512e-06
1808,0.0,8.361813002011331e-07
1809,3.6144488291256494e-08,1.027858843372087e-06
1810,2.8081521108447305e-08,9.383908263771445e-07
1811,2.5070768572277302e-08,1.3061869594821474e-06
1812,1.3336041604361526e-08,1.0908881904470036e-06
1813,8.627225156487839e-09,1.0669001540009049e-06
1814,1.2586708564299443e-08,8.275761160803086e-07
1815,5.394447111228828e-09,8.253504120148136e-07
1816,1.622322720606917e-08,9.988872307076235e-07
1817,7.784366928831332e-09,7.92448588526895e-07
1818,1.4305412854298538e-08,9.072015814126644e-07
1819,5.175524897538253e-09,7.183628554230381e-07
1820,2.3732962262101864e-09,7.07242293174204e-07
1821,2.859831660373402e-08,7.307363034669834e-07
1822,2.5064039732569654e-08,1.0406589581180015e-06
1823,6.917880934764753e-09,1.0050692935692496e-06
1824,5.052667617633233e-08,1.0896919775404967e-06
1825,3.522177394188475e-08,8.919913625504705e-07
1826,5.284790383086602e-09,7.152083298933576e-07
1827,2.7651818612639545e-08,1.0876382248170557e-06
1828,7.337841001486822e-09,9.5850543857523e-07
1829,2.4862210068476998e-08,7.0557240405833e-07
1830,1.0436835395921662e-08,7.295348041225225e-07
1831,2.9623292263636358e-08,5.737563810725987e-07
1832,2.705993873419743e-09,7.035583848846727e-07
1833,1.1583628500844156e-09,7.575692961836467e-07
1834,1.8669062740173104e-08,6.991563736846729e-07
1835,1.0588323107185715e-08,8.054688578340574e-07
1836,6.72075017860152e-09,8.044737569434801e-07
1837,7.653680356156656e-09,7.737174883004627e-07
1838,3.28232410140572e-08,6.318473992905638e-07
1839,2.6567605004856887e-08,8.068162173913151e-07
1840,1.8472096741106725e-08,5.643544227496022e-07
1841,1.5409316489467528e-08,7.152490866246808e-07
1842,1.2745703159566801e-08,5.668483709087013e-07
1843,4.7255288571079745e-09,6.019142233526509e-07
1844,1.0428266250528395e-08,6.87167869273253e-07
1845,1.674068439427856e-09,5.435142043097585e-07
1846,1.2294452567118697e-08,4.988035016140202e-07
1847,1.240441438454809e-08,6.978831379456096e-07
1848,1.126331028444838e-08,5.937373543929425e-07
1849,1.005529792763582e-08,5.220375669523492e-07
1850,8.146795238417326e-09,5.94716027535469e-07
1851,9.029214709244116e-09,5.978629928904411e-07
1852,1.6276363368206148e-08,7.382958528978634e-07
1853,1.6721408258035808e-08,7.488802680200024e-07
1854,6.754363734984281e-09,7.923388238850748e-07
1855,1.1144567935161831e-08,7.403177164633234e-07
1856,6.73034605824796e-09,5.710439836548176e-07
1857,1.610898081594314e-08,4.905916739517124e-07
1858,3.3766365703513657e-08,4.6930352937124553e-07
1859,3.055303920973529e-08,5.58102215109102e-07
1860,8.696649622663699e-09,6.362285489558417e-07
1861,1.226150558863992e-08,4.824431130145967e-07
1862,1.490935552794781e-08,5.222792083259264e-07
1863,1.3485475847119233e-08,6.228291908882966e-07
1864,5.753673537611803e-09,6.079715149098774e-07
1865,1.97687466396701e-08,5.21989022672642e-07
