year,on_PRON achète_VERB,on_PRON rachète_VERB
1800,1.138187542437663e-06,2.829748035892976e-08
1801,9.596166137271211e-07,3.5717738988694236e-08
1802,5.773627549388038e-07,8.951360541686881e-09
1803,7.040724625539951e-07,4.095712213825209e-08
1804,1.122220325555645e-06,9.887403784603066e-09
1805,6.737619884233936e-07,8.528632911009026e-09
1806,5.244637790724482e-07,3.1698359492793315e-08
1807,3.330937445866766e-07,1.9928686256776018e-08
1808,7.908598291805902e-07,2.945896149242344e-08
1809,5.489444134809673e-07,1.581321384946932e-08
1810,6.341743699067592e-07,3.978215445954447e-08
1811,6.543470334463564e-07,1.0028307073639553e-08
1812,5.787841672599825e-07,0.0
1813,3.7384642581628214e-07,0.0
1814,5.066150094990007e-07,6.293354282149721e-09
1815,4.2076687734038387e-07,3.236668177919455e-08
1816,4.171687066900631e-07,0.0
1817,4.655051384361286e-07,3.113746771532533e-08
1818,4.5538896387142813e-07,1.192117715653751e-08
1819,7.235384060777506e-07,1.0351050239165716e-08
1820,4.936456150517188e-07,2.7292906601417144e-08
1821,5.147696882090713e-07,2.465372128668264e-08
1822,5.824882975957735e-07,3.208197085768916e-08
1823,5.346533527017527e-07,8.894418535021487e-09
1824,4.698980902162475e-07,2.189489300974401e-08
1825,3.78634048558979e-07,2.3774695989686734e-08
1826,5.628301806837044e-07,3.5231937256519075e-08
1827,5.539581167113283e-07,1.1060728055678481e-08
1828,6.503161458226714e-07,2.2930753518224378e-08
1829,5.349661762465985e-07,6.85854095738847e-09
1830,5.343659879031293e-07,1.878630451201957e-08
1831,5.862293619429693e-07,2.3386809822056875e-08
1832,6.41320525573974e-07,1.0823975604701275e-08
1833,5.386387158523576e-07,3.1275796175123105e-08
1834,4.909963138288731e-07,1.213489042584115e-08
1835,5.226093691135247e-07,3.100866052818674e-08
1836,4.798615549361784e-07,2.2850549452613222e-08
1837,5.782007193033678e-07,1.7394726992137066e-08
1838,4.3112065384320886e-07,2.7142295522253335e-08
1839,5.033862180425785e-07,5.5232654894155075e-08
1840,5.471562474212988e-07,3.3122380393990625e-08
1841,5.393260664732225e-07,4.173356416004026e-08
1842,4.226207082069777e-07,1.8783142152756227e-08
1843,6.214070111809633e-07,3.307870244384503e-08
