year,aucun_DET épi_NOUN,aucun_DET répit_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,4.7623651688866175e-09
1802,1.5664880947952042e-08,4.475680270843441e-09
1803,1.950339223455444e-09,0.0
1804,4.943701892301533e-09,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,5.76333825108577e-09
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,4.5321479902327155e-09,4.5321479902327155e-09
1809,5.1957702140725814e-08,0.0
1810,0.0,4.680253518074551e-09
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,3.1466771410748606e-09,6.293354282149721e-09
1815,0.0,2.697223555614414e-09
1816,1.1588019432906549e-08,2.3176038865813098e-09
1817,0.0,0.0
1818,1.3113295338484932e-08,1.1921177378582115e-09
1819,0.0,9.315945348475907e-09
1820,0.0,2.0173018810965004e-08
1821,2.070912508145284e-08,1.97229765852569e-09
1822,2.0051231786055723e-09,8.02049271442229e-09
1823,1.087095569118901e-08,3.162459805139406e-08
1824,1.0947446504872005e-08,9.263223965660927e-09
1825,1.7610886970942374e-08,2.201360693732113e-08
1826,0.0,5.2847905607222856e-08
1827,3.6869092223668076e-09,4.608636583469661e-09
1828,0.0,4.586150570418113e-09
1829,1.714635211591542e-09,1.457439946506156e-08
1830,1.2524203008013046e-08,2.6092090266160994e-08
1831,1.7150327158432788e-08,2.9623292263636358e-08
1832,1.0823975715723577e-08,6.764984572527055e-09
1833,8.108540172635514e-09,1.1583628500844156e-09
1834,6.534171426153534e-09,3.733812370398937e-09
1835,3.781543966852041e-09,7.563087933704082e-09
1836,3.3603749782784575e-09,1.9490174807401672e-08
1837,6.262101504006523e-09,1.6698937344017395e-08
1838,6.943378094703689e-09,6.312161904276081e-09
1839,7.690622805256453e-09,4.4046291947097416e-08
1840,1.46502836528839e-08,2.4841785517537573e-08
1841,2.5682194149112547e-09,2.6966304744746594e-08
1842,6.037438549100216e-09,4.293289634915709e-08
1843,2.9534555912036353e-09,1.7720733325177207e-08
1844,3.2931368743049916e-09,1.4270259640625227e-08
1845,2.790114028705659e-09,5.30121653241622e-08
1846,2.3418005312692003e-09,3.9810608143397985e-08
1847,7.011190739092399e-09,1.77976389181822e-08
1848,4.022610855525244e-09,2.735375304041554e-08
1849,2.513824481908955e-09,1.8434713311421547e-08
1850,5.431196825611551e-09,2.7155984128057753e-08
1851,1.2898877521649865e-08,3.5471913406581734e-08
1852,3.906327261660181e-09,2.669323606596663e-08
1853,4.180352286553557e-09,1.6721408258035808e-08
1854,2.0782658372020535e-09,1.7665259477439577e-08
1855,1.2736649068756378e-08,2.4942604426314574e-08
1856,6.730345836203355e-09,2.7439103433835044e-08
1857,1.7085282077999864e-08,2.147863931156735e-08
1858,7.3405139189297586e-09,1.4191660291373864e-08
1859,1.0693564478359008e-08,1.9350258284589472e-08
1860,7.781212785218372e-09,3.524431591017674e-08
1861,1.3676295207432076e-08,2.169343282787395e-08
1862,3.614389121331385e-09,2.5752521892741242e-08
1863,7.491931297565202e-09,2.5472566278494924e-08
1864,5.274200853833122e-09,2.685047595374357e-08
1865,5.177528850097701e-09,3.3418594114209554e-08
1866,5.352174092809747e-09,1.9462451206209153e-08
1867,2.426405742994575e-09,4.658699204185268e-08
1868,1.0373735426227881e-08,3.013323279787983e-08
1869,6.836927024522765e-09,3.125452252561445e-08
1870,7.454263428741115e-09,3.7844721134661086e-08
1871,4.248470908407853e-09,7.434824311758348e-08
1872,6.047339295989218e-09,3.3260366905096816e-08
1873,5.387404078405211e-09,2.8732820900323475e-08
1874,1.792382742227261e-09,3.7042575229406793e-08
1875,8.58229043387837e-09,4.577221801582709e-08
1876,1.209202959984168e-09,4.413590981577897e-08
1877,1.4225077227258964e-08,2.72131899237138e-08
1878,6.64299765196219e-09,1.268208649207736e-08
1879,6.720257683667796e-09,3.4823152361695975e-08
1880,2.5671385017744797e-09,3.786529134686134e-08
1881,2.789003084036068e-09,2.649552932609822e-08
1882,1.3310770263785798e-09,2.7952617998039386e-08
1883,0.0,2.5277355319985872e-08
1884,8.582206056928499e-09,4.35711999813293e-08
1885,2.5782542767416317e-09,2.3848851782304337e-08
1886,3.872078213618124e-09,4.7755634113855194e-08
1887,7.1818171409887555e-09,4.0479331886444925e-08
1888,1.268122939990235e-09,5.896771781976895e-08
1889,6.891650361495749e-09,3.257871128425904e-08
1890,8.520702587944129e-09,4.1948073459252555e-08
1891,4.461953806433883e-09,2.995883363610119e-08
1892,3.761107425503951e-09,4.011847920537548e-08
1893,1.4780199730779486e-08,5.0499014969673794e-08
1894,3.780923574225881e-09,4.915200690902566e-08
1895,4.814891596538473e-09,5.476939080040211e-08
1896,1.179405795248556e-09,4.8355636328434315e-08
