year,on_PRON entrera_VERB,on_PRON rentrera_VERB
1841,7.833068949025801e-08,2.439808444165692e-08
1842,1.1135720168198304e-07,4.024958988324556e-08
1843,8.092468495313199e-08,2.0674188139224725e-08
1844,5.543446879308078e-08,3.018708671920223e-08
1845,6.361459536918801e-08,1.5624638138866942e-08
1846,7.552306802161013e-08,2.4003455889598513e-08
1847,4.0449177340917686e-08,4.476375536910382e-08
1848,1.222873695638782e-07,3.137636589434223e-08
1849,7.206296714912241e-08,2.178647862116634e-08
1850,5.702756666892128e-08,3.666057768469955e-08
1851,5.224045196428051e-08,3.353708155628965e-08
1852,5.2735418698546255e-08,4.687592625174375e-08
1853,6.748282999069488e-08,1.970737439904724e-08
1854,5.0397944928448624e-08,1.5586992863081406e-08
1855,4.8823821430232783e-08,3.980202833986368e-08
1856,9.267168898929867e-08,5.332504837696206e-08
1857,6.297146715183999e-08,1.4644527424056974e-08
1858,9.346921281405685e-08,2.7893953813418193e-08
1859,7.078121022630057e-08,3.3099126994784456e-08
1860,7.003091440083153e-08,1.6935580382515525e-08
1861,6.083593095951301e-08,3.0182167876091626e-08
1862,6.18964133280997e-08,4.743885662072955e-08
1863,5.793760138317339e-08,3.696019545973428e-08
1864,6.424935339310878e-08,7.767459342389316e-08
1865,1.1814179678992787e-07,4.0008176549477525e-08
1866,7.006482505289569e-08,2.919367680931373e-08
1867,9.026229186304136e-08,3.833720896295745e-08
1868,5.9772476745934e-08,5.1374691167893616e-08
1869,5.274200809424201e-08,3.5649689533734374e-08
1870,6.536815533308982e-08,2.408300492362514e-08
1871,1.2745412547587875e-07,3.611200316555596e-08
1872,6.228759552584506e-08,3.205089793567595e-08
1873,6.644465022631607e-08,3.232442402634206e-08
1874,5.795370849881465e-08,3.4055272379873713e-08
1875,7.037478155780263e-08,2.574687263390274e-08
1876,8.464420986342702e-08,1.6928841439778353e-08
1877,6.865146051637794e-08,2.9068634388451642e-08
1878,4.891661786743384e-08,1.2078177513696886e-08
1879,8.980707910666297e-08,3.665595027513291e-08
1880,7.1238092758108e-08,5.904418642899145e-08
1881,8.01838364594687e-08,3.346803678638821e-08
1882,5.4574156749254144e-08,2.861815673327328e-08
1883,5.561018401323281e-08,2.2117685738454185e-08
1884,4.291103117282091e-08,1.8484751507230612e-08
1885,7.541394086985065e-08,2.1270597949651915e-08
1886,6.066255853198754e-08,2.4523161945566585e-08
1887,6.006610675513002e-08,3.1991730153890785e-08
1888,4.057993541195515e-08,2.9166828063864614e-08
1889,6.578393740852562e-08,2.1301465202849812e-08
1890,4.1948071682895716e-08,5.24350920461103e-08
1891,7.45783754751983e-08,2.5496879274555795e-08
1892,4.7013841708576365e-08,3.008885940403161e-08
1893,5.542574843531156e-08,1.7243566130531462e-08
1894,5.4823390271963035e-08,2.3945849081385973e-08
1895,4.5741471055293914e-08,2.1065149624632795e-08
1896,7.194375406527342e-08,3.3023362711048776e-08
1897,6.234583604936006e-08,3.146425275879494e-08
1898,4.922768592763305e-08,3.168678741616304e-08
1899,9.839089365470954e-08,2.819064981451902e-08
1900,5.60633726109927e-08,1.3496737838458728e-08
1901,6.371162264429131e-08,1.8442837923515754e-08
1902,5.155798010747503e-08,2.2587305192889318e-08
1903,5.778235578901558e-08,2.75411240480139e-08
1904,5.8045950268592605e-08,2.7948050984605288e-08
1905,7.070239682605006e-08,2.838417412220906e-08
1906,5.8643705003191826e-08,2.5206504439267974e-08
1907,5.965698424148513e-08,2.9314207061759134e-08
1908,6.974172528373401e-08,3.634427958587594e-08
1909,6.271121222312104e-08,2.530452514193371e-08
1910,4.649411078361254e-08,2.5651923252212327e-08
1911,4.735132819178034e-08,1.8089272302290738e-08
1912,7.501566656742398e-08,2.813087496278399e-08
1913,5.2499598446331674e-08,2.0151360580200617e-08
1914,8.638799364746319e-08,2.6786975526604806e-08
1915,7.893110787193791e-08,2.5917676671483036e-08
1916,2.5271162495954513e-08,2.307367097387214e-08
1917,6.908847360875825e-08,2.8512704197680705e-08
1918,4.2499591401679027e-08,4.020231614276781e-08
1919,4.051453217357448e-08,3.038589913018086e-08
1920,6.20922984140293e-08,4.1647274073852714e-08
1921,4.619375904013623e-08,1.8931868517313433e-08
1922,8.48462566871433e-08,8.853522692753302e-09
1923,4.24637929263838e-08,5.307974060286824e-09
1924,3.738571141553848e-08,1.5469949654622894e-08
1925,4.8391982421236435e-08,1.7597084234211025e-08
1926,4.56991671171636e-08,1.4489979882625903e-08
1927,5.2401356143150224e-08,1.5608914605280688e-08
1928,5.0274581830933585e-08,2.0566873981664457e-08
1929,3.8991420758804907e-08,2.1166772334879624e-08
1930,3.88633343284539e-08,2.2057567772293396e-08
1931,3.079446209142134e-08,2.3951248984133144e-08
1932,3.835837647514495e-08,1.2055490383744427e-08
1933,4.3588516795978194e-08,1.3764794859483231e-08
1934,4.193552882725271e-08,1.7972370258689807e-08
1935,3.351119470806907e-08,1.6755597798123745e-08
1936,3.152425787078528e-08,8.487299751891442e-09
1937,3.1477795481293924e-08,2.5182235852128088e-08
1938,3.8895642262559704e-08,1.9447821797413667e-08
1939,5.505858169385647e-08,2.7529289958749814e-08
1940,4.817987586669403e-08,3.8036742644464994e-08
1941,2.6563522936839945e-08,3.246652813260198e-08
1942,6.068423630267716e-08,1.5171058853624686e-08
1943,2.9032352522051497e-08,2.6129116870166058e-08
1944,3.534504777746861e-08,2.5705489292704442e-08
1945,5.446260331609665e-08,2.178504043826024e-08
1946,3.2018538931311014e-08,3.897909106598263e-08
1947,3.9338874380234756e-08,1.4305044926388177e-08
1948,4.566192934873925e-08,3.044128593643336e-08
1949,3.435952944386145e-08,2.3560820405776894e-08
1950,3.82873022175545e-08,1.808011473869442e-08
1951,5.543928871531989e-08,2.1322804411028073e-08
1952,4.745161596986236e-08,1.687168582620302e-08
1953,4.955960442032392e-08,1.6160741189708006e-08
1954,3.127211556375187e-08,1.07497895029951e-08
1955,1.8771216137025704e-08,1.970977603349411e-08
1956,3.226822276047869e-08,1.9186510602509088e-08
1957,3.268964032798749e-08,1.9437083054185678e-08
1958,2.0680608781020737e-08,1.3235589735316466e-08
1959,2.6352542814578328e-08,1.5501495642666896e-08
1960,2.9759583242139342e-08,1.868625032486193e-08
1961,3.821487482014163e-08,1.667558269247138e-08
1962,4.883306381486818e-08,2.3465239529230075e-08
1963,3.168366191630412e-08,1.7458343215537298e-08
1964,5.29305257401802e-08,2.251068265124445e-08
1965,3.228505551788885e-08,1.3132903653456651e-08
1966,4.265087483190655e-08,1.1078149286802841e-08
1967,3.500538170442269e-08,2.0214375284766106e-08
1968,3.772789369804741e-08,1.4372530721118437e-08
1969,4.814263121488693e-08,2.2708788960379422e-08
1970,3.95490351579042e-08,1.241655755990223e-08
1971,5.44670148983073e-08,1.6956712034499333e-08
1972,4.6684338173008655e-08,8.208234980600082e-09
1973,4.190034896822681e-08,1.8193572426383753e-08
1974,3.206575804881595e-08,1.012602890426706e-08
1975,4.283610266497817e-08,1.8276736124533954e-08
1976,3.085304589589555e-08,1.371246471926213e-08
1977,4.113747298362114e-08,1.586731124270102e-08
1978,3.1485134499575906e-08,1.7227715254364284e-08
1979,4.7400982694512095e-08,1.287434114871644e-08
1980,4.4912690455589654e-08,2.2740603622395383e-08
1981,4.111607232459846e-08,1.391620885193845e-08
1982,4.593551672371632e-08,1.5518756057986138e-08
1983,2.1472074784867345e-08,2.273513821648976e-08
1984,3.189454655938562e-08,2.0296530234276133e-08
1985,3.9702682030906544e-08,1.3835783185811579e-08
1986,3.956360483670096e-08,2.6975184752586756e-08
1987,5.010869941202145e-08,1.8332450668623324e-08
1988,3.53796680840901e-08,1.6190694784867787e-08
1989,4.335616576867096e-08,1.0427432028947692e-08
1990,3.378163615508356e-08,1.5801087993594365e-08
1991,3.341035270665316e-08,1.699824903056424e-08
1992,3.7467620117581646e-08,1.1570882474387645e-08
1993,3.877445298172688e-08,2.2710749725263213e-08
1994,3.2177051689785685e-08,1.6879764919153217e-08
1995,3.036572415737737e-08,2.060531301140145e-08
1996,4.911044904076789e-08,2.6690461396583487e-08
1997,3.883864518883229e-08,1.3905193441132724e-08
1998,2.3840645901884727e-08,1.43043876743576e-08
1999,4.798711294995428e-08,1.5995704316651427e-08
2000,3.578605500820231e-08,1.1045079073568331e-08
2001,3.9430906539905664e-08,1.0953029039306728e-08
2002,3.417352711920785e-08,2.4534840825651827e-08
2003,1.8334460616387105e-08,2.2084692297141828e-08
2004,3.215497645925325e-08,2.995257997184808e-08
2005,3.738112219764389e-08,1.8465373674558805e-08
2006,2.9648807853277503e-08,2.635449591892325e-08
2007,4.1942034734177014e-08,2.676301313897511e-08
2008,3.2356542334355254e-08,3.363377443221793e-08
2009,3.099325152078336e-08,3.337734666430947e-08
2010,2.692561995587539e-08,5.9519791761886154e-08
2011,3.1738967898320425e-08,6.997868862157475e-08
2012,3.2340400579755624e-08,8.170206555746518e-08
2013,3.904775081053913e-08,8.953091423791193e-08
2014,4.2442724890179306e-08,1.011262877881336e-07
2015,4.3888191747498695e-08,9.974588977001986e-08
2016,4.4119543574083764e-08,1.0460266963718823e-07
2017,6.616057923736207e-08,1.2074934119254976e-07
2018,4.440122758353482e-08,1.401736451356328e-07
2019,4.08158040698936e-08,1.4438590945076157e-07
