year,on_PRON entrera_VERB,on_PRON rentrera_VERB
1800,4.7162467708972144e-08,3.144164484325529e-09
1801,1.4048977892144876e-07,1.4287095950749062e-08
1802,1.0517848636482086e-07,1.3427040812530322e-08
1803,7.606322860453929e-08,1.5602713787643552e-08
1804,1.6808586167371686e-07,9.887403784603066e-09
1805,1.2224374401625937e-07,8.24434565060983e-08
1806,1.3255677799861587e-07,8.933174200365102e-08
1807,7.686778857873833e-08,2.8469550272802735e-08
1808,9.744118045773575e-08,1.8128591960930862e-08
1809,3.162642769893864e-08,4.0662548883574345e-08
1810,1.0764583002753625e-07,4.212228255084938e-08
1811,7.521230127593981e-08,4.763445815569867e-08
1812,2.9339290108509886e-08,0.0
1813,7.764502640839055e-08,2.8757416448144113e-09
1814,9.44003133440674e-08,1.2901375612273114e-07
1815,1.6183340889597275e-08,2.7781402955895373e-07
1816,5.7940097164532745e-08,8.806894413737609e-08
1817,7.472992624713015e-08,7.784366928831332e-09
1818,6.199012148044858e-08,3.9339884239097955e-08
1819,1.0040518283460642e-07,1.4491469912947252e-08
1820,9.255854926948359e-08,2.0173017922786585e-08
1821,8.480879820638165e-08,1.0847637454958203e-08
1822,6.115625694746996e-08,3.909990198280866e-08
1823,6.226092885697199e-08,1.7788837070042973e-08
1824,1.1115868758793113e-07,1.0105335235266466e-08
1825,7.660735334980018e-08,2.553578504205234e-08
1826,7.927186018719112e-08,6.1655891503420435e-09
1827,9.954655055821604e-08,2.5808364112478444e-08
1828,9.264024214417077e-08,3.66892045633449e-08
1829,9.85915242779356e-08,5.401101077495696e-08
1830,7.931994971954737e-08,4.383470919577803e-08
1831,6.236482441579483e-08,6.392394169552063e-08
1832,3.111893054352777e-08,3.3824925083081325e-08
1833,1.1351955642169287e-07,2.89590715851773e-08
1834,7.934351486937885e-08,4.947301501800894e-08
1835,7.033671778344797e-08,2.3445572594482655e-08
1836,6.653542605761231e-08,4.838939982043655e-08
1837,9.462731398457436e-08,3.75726116885744e-08
1838,8.395175221664886e-08,1.7674053109928423e-08
1839,5.033862038317238e-08,1.957613093850341e-08
1840,6.688173037616707e-08,4.5224788136621896e-08
