year,bon_ADJ emplacement_NOUN
1800,9.432493897065797e-09
1801,2.1430643926123594e-08
1802,2.2378401354217203e-08
1803,9.751696339321825e-09
1804,7.4155526164076946e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,3.008491944456182e-08
1812,2.6672083208723052e-08
1813,0.0
1814,0.0
1815,0.0
1816,1.3905623319487859e-08
1817,0.0
1818,0.0
1819,2.070210003424222e-09
1820,0.0
1821,9.86148829262845e-10
1822,1.1028177482330648e-08
1823,0.0
1824,1.6842225392110777e-09
1825,9.68598712347557e-09
1826,0.0
1827,1.013900075008678e-08
1828,6.420610709767516e-09
1829,9.430493719264632e-09
1830,2.400472176589119e-08
1831,1.5591206103948707e-09
1832,4.058990921151917e-09
1833,4.6334514003376626e-09
1834,4.667265685043276e-09
1835,7.563087933704082e-09
1836,4.032449929525228e-09
1837,1.0436836284100082e-08
1838,1.3255539776935166e-08
1839,0.0
1840,3.1848443882154243e-09
1841,5.1364388298225094e-09
1842,6.037438549100216e-09
1843,1.0041748765843295e-08
1844,4.390849017710252e-09
1845,3.459741293454499e-08
1846,1.2294452567118697e-08
1847,5.393223645455691e-10
1848,0.0
1849,0.0
1850,4.752297222410107e-09
1851,2.579775504329973e-09
1852,3.2552727180501506e-09
1853,2.388772735173461e-09
1854,6.754363734984281e-09
1855,1.0613874223963649e-09
1856,1.65670055451983e-08
1857,4.881508974818871e-09
1858,2.936205500958522e-09
1859,1.0693564256314403e-08
1860,9.612086238064421e-09
1861,2.357981809808507e-09
1862,6.776979449840681e-09
1863,8.990317823531768e-09
1864,7.671564716815737e-09
1865,5.177528628053096e-09
1866,5.838735717134114e-09
1867,4.367530337390235e-09
1868,3.457911734727759e-09
1869,1.1720445947105418e-08
1870,5.160643912205387e-09
1871,1.911811864374613e-08
1872,1.2094678591978436e-09
1873,2.9930022904522957e-09
1874,1.3741600746186577e-08
1875,4.577221712764867e-09
1876,4.232210137899983e-09
1877,1.1751150275074451e-08
1878,7.850815053611626e-09
1879,8.553055041993218e-09
1880,4.492492600149944e-09
1881,7.669758161910067e-09
1882,1.3310770263785798e-08
1883,1.0742875922176154e-08
1884,1.7164412113856997e-08
1885,1.4180398189012067e-08
1886,2.452316216761119e-08
1887,1.1752064210668323e-08
1888,3.550744054336974e-08
1889,1.6915869316402876e-08
1890,9.831579994568074e-09
1891,1.3385862196457765e-08
1892,1.1283322720601063e-08
1893,1.1085149798084615e-08
1894,1.1972924207626079e-08
1895,2.467631965430428e-08
1896,3.5382172747233653e-09
1897,7.574727511894253e-09
1898,2.7160103499568322e-08
1899,2.1557555740514545e-08
1900,1.4534948911126833e-08
1901,1.1736351446245408e-08
1902,9.820567470342212e-09
1903,7.020286574288548e-09
1904,1.9886114088762952e-08
1905,2.37394921498435e-08
1906,1.491813489407079e-08
1907,2.1085658274966335e-08
1908,1.6698722404839828e-08
1909,1.7053048750881317e-08
1910,1.710128205711925e-08
1911,1.5961121979657378e-08
1912,1.562826373868731e-08
1913,2.121195802340381e-08
1914,1.2054139020278853e-08
1915,1.0602685729388384e-08
1916,2.0876177231343718e-08
1917,1.973956464951243e-08
1918,1.1486376294556067e-08
1919,1.1049418269237776e-08
1920,2.3473917920568965e-08
1921,8.330022005509363e-09
1922,1.696925178151787e-08
1923,1.3800733000834953e-08
1924,1.2891624656674594e-08
1925,9.898360353588487e-09
1926,8.916910765321973e-09
1927,1.8953683067479687e-08
1928,1.5996457491951332e-08
1929,1.1140405931087116e-08
1930,1.575540586884472e-08
1931,2.2810713318222042e-08
1932,2.301502632917618e-08
1933,2.1794258842078307e-08
1934,1.9170528275935794e-08
1935,1.6755597798123745e-08
1936,1.4549657034734764e-08
1937,1.2591118259130951e-08
1938,5.186085783037697e-09
1939,2.7529290846928234e-08
1940,2.5357829169792012e-09
1941,1.4757512545315876e-08
1942,3.944475324146879e-08
1943,2.322588166236983e-08
1944,1.927911696952833e-08
1945,2.3963544037997053e-08
1946,1.9489545977080525e-08
1947,3.4570524887200804e-08
1948,1.956939787994827e-08
1949,1.8652316025047355e-08
1950,2.1270722072586068e-08
1951,2.5587365115598004e-08
1952,2.0035128001083535e-08
1953,2.8011951869189033e-08
1954,1.759056522665503e-08
1955,2.815682309531553e-08
1956,1.7442282951307675e-08
1957,2.0320586824329467e-08
1958,1.6544486669545222e-08
1959,1.9376869886400527e-08
1960,2.2838749558218296e-08
1961,2.1539294070560544e-08
1962,1.9025868547295488e-08
1963,1.6811738556832267e-08
1964,1.520992043424485e-08
1965,1.5321720781003023e-08
1966,1.495550172592175e-08
1967,2.120044340081506e-08
1968,2.6050211293648928e-08
1969,1.226274581878073e-08
1970,1.4256047370375668e-08
1971,1.798439086542203e-08
1972,2.975485147160839e-08
1973,2.7014698922300795e-08
1974,1.856438580638553e-08
1975,1.8847885030481848e-08
1976,1.542652228181396e-08
1977,1.880570188461661e-08
1978,1.7227715365386587e-08
1979,1.8141116719938566e-08
1980,2.7288724169238776e-08
1981,1.3916208740916147e-08
1982,3.538276271974894e-08
1983,3.157658079455672e-08
1984,1.681712458179163e-08
1985,2.5265342928904033e-08
1986,3.476801424540099e-08
1987,3.2387329484961924e-08
1988,3.358070083114839e-08
1989,2.030605195102453e-08
1990,2.5063794595325817e-08
1991,2.3445860364290638e-08
1992,2.5896737698705152e-08
1993,3.101956319584431e-08
1994,4.0616935148563016e-08
1995,3.687266492136132e-08
