year,mon_DET habit_NOUN,mon_DET rabbi_NOUN
1800,7.200136451501749e-07,0.0
1801,5.976768129301036e-07,0.0
1802,5.23654620110392e-07,0.0
1803,5.051378337839196e-07,0.0
1804,7.291960031352573e-07,0.0
1805,5.628897845610936e-07,0.0
1806,4.3801370441798326e-07,0.0
1807,3.900328415795684e-07,0.0
1808,3.3311287017667723e-07,0.0
1809,6.09938224371831e-07,0.0
1810,9.009487875744071e-07,0.0
1811,6.869390132280273e-07,0.0
1812,5.601137544886114e-07,0.0
1813,6.499176272711793e-07,0.0
1814,3.744545926664955e-07,0.0
1815,4.531335546786863e-07,0.0
1816,4.171686889264947e-07,0.0
1817,4.7951699500004e-07,0.0
1818,5.471820365698932e-07,0.0
1819,3.157070125325845e-07,0.0
1820,4.710992875800457e-07,0.0
1821,9.545920676146125e-07,0.0
1822,7.519211777662349e-07,0.0
1823,7.985211212258037e-07,0.0
1824,6.677942430144412e-07,0.0
1825,8.911108437814619e-07,0.0
1826,5.029358991492927e-07,0.0
1827,3.290566414904106e-07,0.0
1828,7.035155107359969e-07,0.0
1829,6.224125597142915e-07,0.0
1830,6.606516880225399e-07,9.39315203396518e-09
1831,6.158526684174603e-07,0.0
1832,8.253281258419065e-07,0.0
1833,7.992703654480238e-07,0.0
1834,6.356815838159946e-07,0.0
1835,8.455532451989711e-07,0.0
1836,6.015071551956908e-07,0.0
1837,4.940102620309972e-07,0.0
1838,5.16966084163073e-07,0.0
1839,4.705262721671488e-07,0.0
1840,5.095751145489658e-07,0.0
1841,3.8009648051229306e-07,0.0
1842,4.4878293792294244e-07,0.0
1843,4.855480852938854e-07,0.0
1844,3.1229912345054345e-07,0.0
1845,3.74433289707099e-07,0.0
1846,4.349894364708007e-07,0.0
1847,2.815262654110029e-07,0.0
1848,4.4490075801206785e-07,0.0
1849,5.061166667985617e-07,0.0
1850,3.937617698568374e-07,0.0
1851,3.2569664654147346e-07,0.0
1852,4.1732596400834154e-07,0.0
1853,3.816064442219158e-07,0.0
1854,3.351203563539684e-07,0.0
1855,3.916519624169723e-07,1.0613874223963649e-09
1856,4.65429312868082e-07,0.0
1857,6.219042560928756e-07,0.0
1858,5.720707090262067e-07,0.0
1859,5.092173349652285e-07,0.0
1860,4.499371684119069e-07,2.746310290291376e-09
1861,4.34811852301209e-07,0.0
1862,4.2243172693190445e-07,0.0
1863,5.069540289781571e-07,0.0
1864,4.181002672964951e-07,2.3973640850272204e-09
1865,3.652511217921983e-07,0.0
1866,4.607735490935738e-07,0.0
1867,4.192829177185331e-07,4.85281148598915e-09
1868,3.57152883267986e-07,0.0
1869,4.717479509253053e-07,0.0
1870,4.3005364602777263e-07,1.7202146374017957e-09
1871,4.152880439534101e-07,0.0
1872,4.6020252320033705e-07,0.0
1873,3.328218376452696e-07,0.0
1874,3.6146385440360973e-07,0.0
1875,3.432916315659895e-07,0.0
1876,4.1959342844677394e-07,0.0
1877,4.6880903958879117e-07,0.0
1878,3.774430545888663e-07,0.0
1879,3.909968278037468e-07,6.10932526790009e-10
1880,3.6774259726257696e-07,0.0
1881,3.6047863716248685e-07,0.0
1882,3.5739418535740697e-07,0.0
1883,3.760006705988417e-07,0.0
1884,4.7466200214785204e-07,0.0
1885,2.8876447011327855e-07,3.86738152613475e-09
1886,2.858884613488044e-07,1.2906927748801422e-09
1887,3.146941622844679e-07,0.0
1888,3.8994779494316845e-07,0.0
1889,3.433295070465192e-07,2.5060546970934183e-09
1890,3.2182037656980356e-07,0.0
1891,2.6580496559347466e-07,0.0
1892,2.977543402948868e-07,0.0
1893,2.4880003524074823e-07,1.2316833108982905e-09
1894,3.0184372512565005e-07,0.0
1895,3.436629008035652e-07,0.0
1896,3.3495125340010645e-07,0.0
1897,2.289898493046394e-07,0.0
1898,2.1671499172981612e-07,0.0
1899,3.222578150996469e-07,0.0
1900,2.1542870598523223e-07,0.0
1901,2.352859080900771e-07,0.0
1902,1.7284199582690007e-07,0.0
1903,2.1276867556707657e-07,0.0
1904,2.3218381439704672e-07,0.0
1905,2.2242871722255586e-07,0.0
1906,1.8313296479277597e-07,1.0288369045596824e-09
1907,3.080563200086317e-07,2.057137349353866e-09
1908,2.318175660320776e-07,4.911389073214423e-10
1909,2.6514740625316335e-07,5.500983557560346e-10
