year,bien_ADV assembler_VERB,bien_ADV rassembler_VERB
1800,9.432493897065797e-09,2.5153315874604232e-08
1801,2.3811825400343878e-08,2.6193008650921e-08
1802,6.713520406265161e-09,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,1.152667650217154e-08
1807,0.0,8.540865792383556e-09
1808,0.0,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,0.0
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,5.3344164641089264e-09,2.6672082320544632e-09
1813,2.8757416448144113e-09,0.0
1814,0.0,3.1466771410748606e-09
1815,5.394447111228828e-09,5.394447111228828e-09
1816,2.5493642752394408e-08,4.6352077731626196e-09
1817,1.71256075987003e-08,9.341240669868967e-09
1818,1.1921177378582115e-09,2.2650237241350624e-08
1819,1.035105001712111e-09,2.070209959015301e-08
1820,9.493184904840746e-09,1.1866481131050932e-09
1821,9.86148829262845e-10,3.0570614484304315e-08
1822,6.015369535816717e-09,2.105379337535851e-08
1823,9.882686891060644e-10,4.941343334508019e-09
1824,0.0,1.1789557774477544e-08
1825,8.805443485471187e-09,8.805443041381977e-10
1826,7.927186018719112e-09,9.688783109140786e-09
1827,2.7651818612639545e-09,6.452091305675367e-09
1828,1.9261833017480967e-08,1.8344602503717056e-09
1829,3.429270423183084e-09,3.429270423183084e-09
1830,1.0436835840010872e-09,6.262101504006523e-09
1831,1.5591206103948707e-09,2.9623292263636358e-08
1832,1.8941957335982806e-08,1.0823975493678972e-08
1833,1.1583628500844156e-09,3.4750886612755494e-09
1834,9.334530925997342e-10,1.213489042584115e-08
1835,4.5378527602224494e-09,3.781543966852041e-09
1836,1.3441500135158435e-09,1.0753200108126748e-08
1837,6.957890930081589e-10,6.957891152126194e-09
1838,0.0,6.312161904276081e-09
1839,9.088918062616358e-09,6.292327547896548e-09
1840,6.369688665408546e-10,3.821813088222825e-09
1841,0.0,5.1364388298225094e-09
1842,5.366612043644636e-09,1.341653010911159e-09
1843,1.1813822142769936e-09,4.7255288571079745e-09
1844,6.037417232818143e-09,2.195424508855126e-09
1845,3.9061593959388574e-09,5.022205318283568e-09
1846,5.854501328173001e-10,5.854501328173001e-09
1847,8.629157832729106e-09,2.6966118227278457e-09
1848,1.6090443422100975e-09,1.126331028444838e-08
1849,1.6758829879393033e-09,5.02764896381791e-09
1850,1.0183494048021657e-08,2.7155984128057753e-09
1851,6.449438760824933e-10,1.2898877521649865e-09
1852,1.3021090872200602e-08,1.3021090872200602e-09
1853,1.1943863675867306e-09,5.3747388761848924e-09
1854,3.117398783558656e-09,7.27393034694046e-09
1855,3.1841622671890946e-09,1.1675261646360013e-08
1856,1.5531567143511893e-09,2.0708756931497874e-09
1857,4.881509085841174e-10,9.763018171682347e-10
1858,5.3830437884982985e-09,2.2510910469009104e-08
1859,2.800695320104296e-08,1.323965115318515e-08
1860,4.57718396518203e-09,1.0527522853465143e-08
1861,5.187560159214399e-09,5.187560159214399e-09
1862,2.710791813242963e-09,7.680577063240435e-09
1863,3.496234635136375e-09,3.995696662428827e-09
1864,1.4384183844029508e-09,1.4384183844029508e-09
1865,3.294791106611683e-09,7.0602665935837194e-09
1866,1.751620715140234e-08,4.865612801552288e-09
1867,6.308654931785895e-09,2.426405742994575e-09
1868,8.89177353968762e-09,5.9278488784286765e-09
1869,2.9301114867763545e-09,5.371870948067681e-09
1870,3.4404292748035914e-09,9.747882501187632e-09
1871,3.18635318130589e-09,6.37270636261178e-09
1872,6.047339518033823e-09,3.628403577593531e-09
1873,5.986004469882289e-10,1.7958012854535355e-09
