year,on_PRON ira_VERB,on_PRON rira_VERB
1800,2.4524483421828336e-07,5.659496338239478e-08
1801,4.4766233031623415e-07,5.4767200552419126e-08
1802,3.2672465977157117e-07,3.3567602031325805e-08
1803,2.632957887271914e-07,4.290746247193056e-08
1804,4.276302263406251e-07,5.685257131737842e-08
1805,3.781027473337417e-07,5.685755333217912e-08
1806,6.858372643137045e-07,5.4751713385314815e-08
1807,2.6191987245738346e-07,7.402083568308626e-08
1808,2.2207524530415412e-07,5.6651851210176574e-08
1809,2.891558992246246e-07,6.099382376945073e-08
1810,3.697400323687816e-07,8.892481773159489e-08
1811,4.061464267124393e-07,4.262030550705731e-08
1812,1.8137015800334666e-07,5.601137331723294e-08
1813,2.070533930975671e-07,1.121539270343419e-07
1814,2.8949429520253034e-07,4.09068032780624e-08
1815,1.8071397889229956e-07,2.4275011334395913e-08
1816,3.151941356804855e-07,6.025770105111405e-08
1817,3.6119462976103023e-07,6.85024303948012e-08
1818,2.884924796831001e-07,6.199012148044858e-08
1819,2.5360073152569385e-07,2.173720581311045e-08
1820,2.586892833278398e-07,3.559944250497438e-08
1821,2.0117435539646067e-07,6.705812083396268e-08
1822,2.686865059331467e-07,3.5089655625597516e-08
1823,1.4626377087267883e-07,4.5460359032745146e-08
1824,2.5852815710436516e-07,5.136878744593787e-08
1825,2.0692791125043186e-07,4.754939375573031e-08
1826,2.431003629510542e-07,5.460950269764453e-08
1827,2.6361400529140155e-07,4.424290978022327e-08
1828,2.5865889341503134e-07,6.604056679293535e-08
1829,2.323330718922989e-07,6.429882049019398e-08
1830,2.901440403491051e-07,7.72325829956344e-08
1831,2.7284611547884197e-07,5.3010099421157975e-08
1832,2.7601137375654616e-07,9.470978312720035e-08
1833,3.1854979098966396e-07,2.6642345218874652e-08
1834,2.7163484617176437e-07,6.90755275201127e-08
1835,3.600029714334596e-07,4.9160071569076536e-08
1836,3.461186182107667e-07,3.09154501998421e-08
1837,2.497882825025499e-07,5.914207434898344e-08
1838,3.0235255366051206e-07,3.28232410140572e-08
1839,2.684726503332513e-07,4.544458853672495e-08
1840,3.0001234918586306e-07,5.350538323511955e-08
1841,3.0947044749041197e-07,6.292137477714732e-08
1842,2.8644292271451377e-07,3.354132438460056e-08
1843,2.56950627885999e-07,4.016699417519476e-08
1844,3.1888541229818657e-07,3.2931366966693076e-08
1845,2.840336037479574e-07,3.236532286621241e-08
1846,3.0033591968958717e-07,1.8734404250153602e-08
1847,3.1820018797645844e-07,3.074137566727586e-08
1848,3.4353097078110295e-07,2.091757700384278e-08
1849,2.7400686164469334e-07,6.4521495701797e-08
1850,3.048259102911288e-07,1.765138968323754e-08
1851,2.5539777936955943e-07,8.190787426087809e-08
1852,3.365951997125194e-07,4.362065642027346e-08
1853,3.1591519444873484e-07,4.001194220393245e-08
1854,3.1070074513195323e-07,4.364358208164276e-08
1855,2.5791714719503034e-07,4.776243400783642e-08
1856,3.2046800413354504e-07,5.901995692170203e-08
1857,2.894734869585136e-07,4.881509063636713e-08
1858,3.361955265290817e-07,5.1872966366772744e-08
1859,3.51869175574393e-07,4.939408171367177e-08
1860,3.908915005013114e-07,4.989130530930197e-08
1861,3.4237896073818774e-07,5.0932406736592384e-08
1862,3.7815544473573937e-07,4.563166289273113e-08
1863,2.9767939935254617e-07,6.393114837521807e-08
1864,3.706324704921826e-07,5.897515542585552e-08
1865,3.628976941172368e-07,3.7654753981541944e-08
1866,3.002083168723857e-07,3.600553633020809e-08
1867,3.9113660221801183e-07,4.6586988489139e-08
1868,3.848161966857333e-07,5.532659130835782e-08
1869,3.5356678296238897e-07,4.248661689132405e-08
1870,3.5436422507473253e-07,3.096386436141074e-08
1871,6.595751216309509e-07,3.611200227737754e-08
1872,4.7048300189089787e-07,4.595977820542885e-08
1873,3.813084958892432e-07,4.309923351542011e-08
1874,4.206124941674716e-07,3.644511537004291e-08
1875,4.0794488143092167e-07,4.520006413599731e-08
1876,3.2588020104640236e-07,3.023007444369341e-08
1877,4.007760878721456e-07,5.071549225021954e-08
1878,3.291303372066068e-07,3.804625858805366e-08
1879,3.916077417898123e-07,5.1929265332262275e-08
1880,3.6389188551311236e-07,6.995452395130997e-08
1881,3.9464393353227933e-07,4.1835046538096776e-08
1882,3.780258808205872e-07,2.861815673327328e-08
1883,4.2213182638306534e-07,3.4124429504345244e-08
1884,3.5715181212481184e-07,3.9610181801208455e-08
1885,3.796479361994898e-07,3.1583614834573837e-08
1886,4.194751426211951e-07,2.3877816390793782e-08
1887,3.714958012324132e-07,3.3297516743857614e-08
1888,3.82339074178617e-07,5.7699592659332666e-08
1889,3.765347074136116e-07,3.3205225236088154e-08
1890,3.7884355208461784e-07,3.6704564720935196e-08
1891,4.5575672658060284e-07,3.25085212082854e-08
1892,4.0808016166238303e-07,4.8894395199283736e-08
1893,3.688891538899952e-07,5.3578224523676e-08
1894,5.034929912994812e-07,3.087754230080009e-08
1895,3.906080934257261e-07,3.972285611553161e-08
1896,3.833068760172864e-07,3.656157954168293e-08
1897,4.463262541776203e-07,2.6220210003202737e-08
1898,3.966506696428951e-07,4.130599151608294e-08
1899,4.908489472654765e-07,2.7637891975018647e-08
1900,4.24109053653865e-07,5.1391428002034445e-08
1901,3.459429436247774e-07,4.359216276839106e-08
1902,3.3733650184331054e-07,3.437198792255458e-08
1903,4.087966800625509e-07,3.6181475593366486e-08
1904,3.9449747646358446e-07,4.192207647690793e-08
1905,3.710585616545359e-07,2.4771643847287805e-08
1906,3.95073371350918e-07,4.78409170057148e-08
1907,3.8519896605748727e-07,1.7485667136440952e-08
1908,3.6589847951518095e-07,4.371136341774218e-08
1909,4.257761361259327e-07,3.850688479190012e-08
1910,4.5585605334963475e-07,3.366814915750638e-08
1911,4.224377079253827e-07,4.5223181643905264e-08
1912,4.485311606572395e-07,4.7926674184850526e-08
1913,4.0090601771680667e-07,3.606032983327623e-08
1914,4.453334483400795e-07,3.75017652487486e-08
1915,4.865454812374992e-07,1.295883844676382e-08
1916,4.823495771688613e-07,1.9777432136436346e-08
1917,5.592876561877347e-07,2.3029491202919417e-08
1918,4.468200245355547e-07,3.331049125421259e-08
1919,4.318481003906527e-07,3.038589913018086e-08
1920,5.171834160933031e-07,4.921950491620919e-08
1921,4.520930119156219e-07,4.013556331727841e-08
1922,4.1242660131501907e-07,4.795657915224183e-08
1923,3.9703645882127603e-07,5.307974015877903e-08
1924,4.357369078888951e-07,6.574728494967985e-08
1925,4.2672931499510014e-07,3.959343963799711e-08
1926,3.834271566915959e-07,5.5730691173039304e-08
1927,4.2478546191659916e-07,6.020581544419201e-08
1928,3.690611478646133e-07,5.3702393643106916e-08
1929,4.3113372782954684e-07,3.5649300400564243e-08
1930,3.9388513783933377e-07,4.2014415058133636e-08
1931,3.9804695717293725e-07,2.9653926425510235e-08
1932,4.18654302336563e-07,4.603005265835236e-08
1933,4.221203582233102e-07,3.9000251028653565e-08
1934,4.7087608834317507e-07,3.1152108448395666e-08
1935,4.152994677042443e-07,2.154291145473053e-08
1936,3.3342966077043457e-07,3.516167268458048e-08
1937,3.7017886711510073e-07,2.7700459703794422e-08
1938,3.7988076684314365e-07,2.3337385357535823e-08
1939,3.181162568921536e-07,2.5999885799876665e-08
1940,2.7386455059286163e-07,4.817987520056022e-08
1941,3.3647129527025754e-07,4.132103814669108e-08
1942,4.09618593266714e-07,3.337632992206352e-08
1943,4.81937036056479e-07,1.4516176261025748e-08
1944,4.2414056622419594e-07,5.1410976809052045e-08
1945,5.511615128739322e-07,4.357008087652048e-08
1946,4.301621316926685e-07,1.3921104269343232e-08
1947,4.398801394245311e-07,5.364391952866754e-08
1948,4.120445566968556e-07,5.0010685370693864e-08
1949,4.506006661131323e-07,3.6322930885290816e-08
1950,4.605111456612576e-07,4.4668517773516214e-08
1951,4.1153010954531055e-07,4.157946698057913e-08
1952,4.2179216563908994e-07,3.268889114949047e-08
1953,4.395721475702885e-07,1.6160740745618796e-08
1954,3.7917439499324246e-07,3.322662323057557e-08
1955,3.8105568478385976e-07,4.411235643431155e-08
1956,4.238474957674043e-07,2.1802853744645745e-08
1957,3.9227568748856356e-07,3.180613461495341e-08
1958,4.996435194470905e-07,4.3015665696088945e-08
