year,son_DET art_NOUN,son_DET rare_ADJ
1800,9.429349617562366e-06,2.4838898760037864e-07
1801,7.50072515387501e-06,2.500241649272539e-07
1802,7.210320831063655e-06,2.0811913259422e-07
1803,8.257735927941212e-06,2.2818969003246536e-07
1804,1.0690754919551182e-05,3.979679981114259e-07
1805,8.852721435914646e-06,3.6104546374815527e-07
1806,1.11376510858463e-05,3.313919449965397e-07
1807,9.856158271759341e-06,3.8433893934097796e-07
1808,1.0473793537357778e-05,4.3282012995859986e-07
1809,6.71383854466967e-06,3.320774748516442e-07
1810,1.107114007936616e-05,2.878355918056741e-07
1811,1.0111040367632995e-05,4.537808884208516e-07
1812,1.167170358939984e-05,2.640536251874437e-07
1813,1.2216150807375925e-05,3.0195287092915635e-07
1814,8.367014821430985e-06,3.2725441201364447e-07
1815,6.446364160694884e-06,1.8071398422137008e-07
1816,6.21117844445962e-06,4.403447491085899e-07
1817,7.809276809211951e-06,4.265833055683288e-07
1818,6.792686932044489e-06,3.826698069531176e-07
1819,6.90000979375327e-06,3.1674213829546716e-07
1820,7.226686776107272e-06,3.476878971397923e-07
1821,8.19785518046956e-06,3.569858888496924e-07
1822,9.42808900106229e-06,3.318478860592222e-07
1823,9.079224390973195e-06,3.3304654145638324e-07
1824,7.807213421529013e-06,3.1073905848444383e-07
1825,8.221642104899729e-06,2.9586289507221863e-07
1826,5.538460349896468e-06,2.677627168878871e-07
1827,6.381118240028627e-06,2.71909549987015e-07
1828,5.922554905168909e-06,2.4856936420292186e-07
1829,7.336066886409753e-06,2.9491725861419127e-07
1830,6.041884375918016e-06,2.3065407717126618e-07
1831,5.023486412625289e-06,1.7929887174972237e-07
1832,6.815045551888943e-06,2.0024354363545882e-07
1833,5.871741173280043e-06,2.5368145273318987e-07
1834,6.677923273912256e-06,2.4456470626432747e-07
1835,5.631475460177171e-06,2.8890995906749595e-07
1836,5.702556514108892e-06,2.0834325820118238e-07
1837,5.507170861562827e-06,2.2404408372977969e-07
1838,5.211321052911444e-06,2.695293019883138e-07
1839,5.649112125638567e-06,2.104434084770901e-07
1840,5.762020578004012e-06,2.0574093895220358e-07
1841,6.236920846447447e-06,1.4574645845755185e-07
1842,6.659965528399425e-06,1.5630257088616872e-07
1843,6.385370959094416e-06,2.646296026753703e-07
1844,5.765184795336609e-06,1.9813705609550425e-07
1845,6.1577816836688726e-06,1.9921413541013067e-07
1846,5.876748318200953e-06,2.2071469985007752e-07
1847,6.598069873575696e-06,1.8768417842096596e-07
1848,5.613955785577218e-06,2.236571567948431e-07
1849,5.803582666885632e-06,1.3407063681469822e-07
1850,6.237050776292108e-06,2.681653343827861e-07
1851,6.2759488415053966e-06,2.302449590985134e-07
1852,7.018367981004303e-06,2.3763491441286533e-07
1853,6.4514780149238504e-06,3.0038817211419655e-07
1854,7.134686221377251e-06,3.294051253988073e-07
1855,7.226456276043791e-06,3.433588382506514e-07
1856,6.2949444412652156e-06,2.6869611247093417e-07
1857,5.937867442185052e-06,3.124165726120509e-07
1858,5.853325752980254e-06,3.293444059693229e-07
1859,6.4568756812377615e-06,3.6409038983720166e-07
1860,5.873442340487145e-06,2.792082192115686e-07
1861,6.493881883784525e-06,3.2775948355379114e-07
1862,6.149883049033633e-06,3.239396031418096e-07
1863,5.916128564820156e-06,2.762025177460714e-07
1864,5.62517487878722e-06,2.982320701505614e-07
1865,5.3799230030904255e-06,3.162999515637921e-07
1866,5.481112914651476e-06,2.5593122909839394e-07
1867,5.431266757227604e-06,2.431258501189859e-07
1868,5.46893436847995e-06,2.28716166006393e-07
1869,5.303990327831798e-06,2.4759443384425595e-07
1870,6.145180030614483e-06,3.3200142901534946e-07
1871,3.7970707928991487e-06,1.6037977346172738e-07
1872,4.80158755777893e-06,1.8807224666517186e-07
1873,4.779824685385847e-06,1.9933394845850216e-07
1874,4.348320700842123e-06,2.3659452086377541e-07
1875,4.67391539871187e-06,2.443092057546892e-07
1876,5.509128506275829e-06,2.067737092659172e-07
1877,4.843329499237825e-06,2.746058260783002e-07
1878,5.6568143733670695e-06,2.8746062419315876e-07
1879,4.589325207859929e-06,2.3337622501173882e-07
1880,6.126475867063164e-06,2.701913244251841e-07
1881,4.803360489802344e-06,2.2312024672288544e-07
1882,5.152599115376688e-06,2.7819510250992607e-07
1883,5.379021359885883e-06,2.123297937473012e-07
1884,4.862809916517108e-06,1.8946870916636271e-07
1885,5.103654487470521e-06,1.7467672197568618e-07
1886,5.762943146692123e-06,2.2587123016393207e-07
1887,5.4046438009436315e-06,1.9913219695411044e-07
1888,5.2012063491702065e-06,1.921206305155465e-07
1889,5.148689368184023e-06,1.7229126125783978e-07
1890,4.943973564763837e-06,1.3633123963074922e-07
1891,5.016511224198439e-06,1.3194636050428699e-07
1892,4.984093976645454e-06,2.0560720592754933e-07
1893,5.550580709723363e-06,1.4102774148483377e-07
1894,5.77536093260278e-06,1.7014155595518332e-07
1895,5.7200912664256975e-06,1.3602068094087372e-07
1896,5.602177495234173e-06,1.780902731951528e-07
1897,5.206168452787097e-06,1.479985245467219e-07
1898,5.8677140941654216e-06,1.6578979389336723e-07
1899,5.90621749552156e-06,1.2823981876408652e-07
1900,6.22199631550302e-06,1.0485927637304826e-07
1901,5.706661198701113e-06,1.3468860876608701e-07
1902,5.162672437108995e-06,9.6732591714499e-08
1903,5.648090365184544e-06,1.2096492718605134e-07
1904,6.030867027106979e-06,8.868131384787148e-08
1905,6.53403679962139e-06,1.0063479871647019e-07
1906,6.418399237873018e-06,1.0699903629785013e-07
1907,6.826096026202322e-06,1.105711309179469e-07
1908,6.951089034146207e-06,1.2131131121861927e-07
1909,7.355915329299023e-06,1.1442045977361204e-07
1910,6.9794606361028855e-06,1.1543365641131231e-07
1911,7.4325628531823895e-06,9.523469435279708e-08
1912,7.536990807466282e-06,1.2346328470691503e-07
1913,7.332974163887229e-06,9.757501384655143e-08
1914,6.850768940580565e-06,1.1317496717566655e-07
1915,4.376552823259772e-06,5.890381116202548e-08
1916,5.303648109133974e-06,5.933229574317522e-08
1917,5.495275189559834e-06,4.825226584959097e-08
1918,5.79257947208589e-06,7.466144591461443e-08
1919,7.130557889922784e-06,9.299927150596687e-08
1920,8.392304465587586e-06,8.556621633459827e-08
1921,9.091083214229911e-06,6.966927618146102e-08
1922,9.215779229521104e-06,7.894390713358845e-08
1923,8.709323395805768e-06,1.0828267260620805e-07
1924,8.616761817847873e-06,1.0055467036806931e-07
1925,8.266230466347224e-06,8.468596890409685e-08
1926,7.890351270134488e-06,9.808602108307696e-08
1927,7.76320550244236e-06,8.250426741795991e-08
1928,7.903392628350048e-06,7.084145448033041e-08
1929,8.18597044371927e-06,1.1586022941045826e-07
1930,7.902911249857425e-06,9.243171428252595e-08
1931,6.902521903384695e-06,8.32591009469752e-08
1932,6.696276670936641e-06,7.78127131617623e-08
1933,6.726396321710126e-06,8.717703003924271e-08
1934,5.969223280999358e-06,6.829500698302127e-08
1935,7.822470308838092e-06,5.6250937241486554e-08
1936,6.902599906766227e-06,6.668593055536576e-08
1937,6.242676235501676e-06,4.280980003823487e-08
1938,6.9623200715795974e-06,4.6674770715071645e-08
1939,6.720205846022509e-06,3.823512795264605e-08
1940,6.169559952695636e-06,5.0715657229361e-08
1941,7.198714939704587e-06,5.01755446080665e-08
1942,8.46545077592964e-06,6.978686917236132e-08
1943,8.192929840333818e-06,5.516146828199453e-08
1944,8.26752776106332e-06,8.354284375400312e-08
1945,7.20649140362184e-06,4.574858669670334e-08
1946,8.198138345960615e-06,5.568441707737293e-08
1947,8.008440943285677e-06,5.4836005958236456e-08
1948,7.779923038242487e-06,4.674911635582646e-08
1949,6.813003778916027e-06,3.043272656100271e-08
1950,6.765153372612076e-06,2.6588404367089424e-08
1951,7.186850893958763e-06,4.797630781538942e-08
1952,6.238306070827093e-06,6.115986384003236e-08
1953,7.064398744205391e-06,3.016671668021331e-08
1954,7.362628934970417e-06,3.322662278648636e-08
1955,7.370517749905048e-06,5.3497966501225847e-08
1956,6.643765573244309e-06,3.750090837861819e-08
1957,7.0865835368749686e-06,3.268963910674216e-08
1958,6.428360336485639e-06,5.2115132875840686e-08
1959,6.0510089667786815e-06,2.945284249822322e-08
1960,6.669607017784074e-06,3.806458326316431e-08
1961,6.408287276826741e-06,5.419564219621975e-08
1962,5.8789936900893736e-06,4.249110663323563e-08
1963,6.4770455026064155e-06,4.073613357746808e-08
1964,6.02860433218666e-06,4.258777841492645e-08
1965,6.175201150426801e-06,4.870118530675427e-08
1966,5.8874826436294825e-06,4.265087660826339e-08
1967,5.969650260340131e-06,8.775997573096106e-08
1968,7.761166784803208e-06,8.982831589676721e-08
