year,son_DET an_NOUN,son_DET rang_NOUN
1800,1.1947824818392405e-07,5.461413778107271e-06
1801,1.5715804924099075e-07,6.422049473542302e-06
1802,1.1860552717735118e-07,5.341724630625322e-06
1803,1.4042442475492578e-07,4.655459532543205e-06
1804,9.887403673580764e-08,5.628404721846891e-06
1805,1.7910129024301114e-07,6.174730273755813e-06
1806,1.0950343032334331e-07,6.129310030189572e-06
1807,2.021338083579849e-07,6.442659220340374e-06
1808,1.4049658636494655e-07,7.2015829459814995e-06
1809,9.713831272684104e-08,6.3298036963033155e-06
1810,9.828532210320873e-08,6.589796925027258e-06
1811,1.3036799018095735e-07,6.3579467735053186e-06
1812,1.0668832839400011e-07,6.411968506370158e-06
1813,8.914798788062228e-08,7.172099621755024e-06
1814,1.2272040805783035e-07,7.3632245474186675e-06
1815,1.7262230644909948e-07,7.991873310686515e-06
1816,1.3442102897442965e-07,6.069804541652957e-06
1817,1.1053801518556838e-07,7.172515722686512e-06
1818,1.7762553694566918e-07,6.305110758830779e-06
1819,1.7079232339511918e-07,7.186734023889585e-06
1820,1.0798497562802822e-07,6.969184148886143e-06
1821,1.400331290923873e-07,6.740327350485131e-06
1822,1.1128433641260926e-07,6.94574656279201e-06
1823,1.462637607696493e-07,7.01571929084821e-06
1824,1.3221146666353434e-07,7.936056704238581e-06
1825,1.5673689013340208e-07,6.626095938599974e-06
1826,1.1538459276927426e-07,6.2290066153991575e-06
1827,1.4747636600809244e-07,6.735061461426994e-06
1828,1.2199160820403065e-07,6.2775230560419e-06
1829,8.74463982336593e-08,6.789955310892992e-06
1830,6.053364831615227e-08,7.12105315159306e-06
1831,7.639690879912564e-08,5.378966037028476e-06
1832,7.71208219507713e-08,5.9978352346945485e-06
1833,1.1583628245492861e-07,5.868266157449398e-06
1834,1.0641365477681575e-07,5.3328175404487865e-06
1835,1.550433026409337e-07,6.545852798467422e-06
1836,8.468145001883087e-08,6.183089912070727e-06
1837,9.393152344827627e-08,5.508562082923163e-06
1838,1.1677499323070606e-07,5.69672613437433e-06
1839,1.1326189996996305e-07,5.456846224660694e-06
1840,9.427138925044432e-08,5.781766589052495e-06
1841,6.741575964142044e-08,4.965652436794699e-06
1842,7.714504635103481e-08,5.342462284119165e-06
1843,7.560846043697111e-08,5.102980537685653e-06
1844,8.232841669508772e-08,5.709201658987695e-06
1845,7.812318997268974e-08,5.095306057967264e-06
1846,6.557041376531458e-08,4.950566236061604e-06
1847,7.065122886729114e-08,5.487605047704847e-06
1848,6.75798647598036e-08,4.629220740071105e-06
1849,6.703532084983976e-08,4.345564732943785e-06
1850,6.992665557703504e-08,4.443398079700955e-06
1851,6.384944617465749e-08,4.757750939887728e-06
1852,6.64075603395986e-08,4.4577706184156796e-06
1853,1.361600512339578e-07,4.837264878432279e-06
1854,8.78067258902604e-08,5.400373829900218e-06
1855,8.384960636931282e-08,5.05485772706038e-06
1856,6.885661679723043e-08,5.045688460825204e-06
1857,6.882927949813933e-08,5.203200423409271e-06
1858,7.780944633051234e-08,5.660515064676019e-06
1859,7.027199155906771e-08,5.155825689939775e-06
1860,6.316513795345813e-08,5.5008597001915405e-06
1861,5.4233584068086316e-08,5.06824643764503e-06
1862,4.9246050931595065e-08,4.863612012684371e-06
1863,6.842630428938179e-08,4.38877344777211e-06
1864,6.376988459511068e-08,4.986996508193897e-06
1865,5.64821325821363e-08,4.8325170496354986e-06
1866,5.936047775545461e-08,4.404352592857208e-06
1867,8.589476685472164e-08,4.017157266389404e-06
1868,1.0027944497004171e-07,4.148012223481601e-06
1869,5.71371735480497e-08,4.087017078546751e-06
1870,7.511604183108034e-08,4.259824770258547e-06
1871,7.22240054429335e-08,3.93833234113572e-06
1872,6.228759585891197e-08,4.035389508771914e-06
1873,5.028243821314504e-08,3.92442467855858e-06
1874,6.03435516555173e-08,3.9635557094186424e-06
1875,6.122034090783046e-08,4.013079163200928e-06
1876,6.227395332736307e-08,3.870054278820589e-06
1877,6.061119739442233e-08,4.24773181606497e-06
1878,6.52221585073498e-08,3.785904688413666e-06
1879,5.254019630474005e-08,4.028489215102127e-06
1880,6.096953786283166e-08,3.874453589958193e-06
1881,6.414706832380546e-08,3.7616679016139187e-06
1882,6.988154366283084e-08,3.828843034625606e-06
1883,6.192952090033899e-08,3.715139310855875e-06
1884,5.0172896060018957e-08,3.7616469761303506e-06
1885,6.832373844467554e-08,3.648874471906538e-06
1886,4.0656823463436353e-08,4.0172811957006616e-06
1887,5.8760320276185496e-08,3.457065638201584e-06
1888,7.355113318396889e-08,3.668045604143799e-06
1889,3.696430755928404e-08,3.7196115947324415e-06
1890,4.653614438243636e-08,3.224102622212399e-06
1891,4.398211705947119e-08,3.299933766243157e-06
1892,5.955086601616699e-08,3.3229383404886903e-06
1893,4.3108915770417866e-08,3.1685052626073684e-06
1894,5.6713853835432815e-08,3.2780607810423135e-06
1895,4.333402414680165e-08,3.1134292513002038e-06
1896,4.8945341502015793e-08,3.1401679869702548e-06
1897,3.7290966981018414e-08,3.1755588594251094e-06
1898,2.4330925163518202e-08,3.167547150795258e-06
1899,4.2009595802028343e-08,3.020821550236974e-06
1900,3.062721309898819e-08,3.214819200181296e-06
1901,5.58873880507349e-08,2.892172354052036e-06
1902,3.830021277906326e-08,2.4477765290242814e-06
1903,4.3201761279476614e-08,2.8691370488331813e-06
1904,4.245953988402107e-08,2.722785140463202e-06
1905,3.767354206374307e-08,2.593281378082679e-06
1906,3.7552547016428406e-08,2.768085648696683e-06
1907,5.2457003574257755e-08,2.71079280977915e-06
1908,4.2729083382653243e-08,2.9669702072965265e-06
